Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carole Freeman,Sonia Jurado,Pierre-Paul Routhier,Brian Sarwer-Foner,Linda Schwey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 157","Delson",117,34,22,7,34,6,220,368
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 158","Delson",94,51,36,3,46,4,234,362
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 159","Delson",89,24,38,7,46,2,206,361
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 160","Delson",99,26,38,11,21,3,198,378
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 161","Saint-Constant",115,43,33,9,50,10,260,417
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 162","Saint-Constant",138,22,27,8,33,3,231,405
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 163","Saint-Constant",120,41,50,5,48,6,270,484
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 164","Saint-Constant",117,42,28,8,20,9,224,425
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 165","Saint-Constant",148,36,45,9,39,6,283,480
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 166","Saint-Constant",132,50,40,9,47,4,282,504
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 167","Saint-Constant",134,63,34,9,53,3,296,484
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 168","Saint-Constant",166,33,47,9,43,7,305,477
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 169","Saint-Constant",148,57,45,12,51,3,316,499
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 170","Saint-Constant",154,58,54,10,50,9,335,496
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 171A","Saint-Constant",106,28,22,7,48,4,215,343
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 171B","Saint-Constant",104,42,21,8,40,1,216,345
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 172","Saint-Constant",130,43,38,9,59,4,283,433
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 173","Saint-Constant",82,24,14,2,24,2,148,348
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 174","Saint-Constant",117,15,19,8,32,3,194,433
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 175","Saint-Constant",154,54,40,15,62,4,329,545
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 176","Saint-Constant",50,18,18,0,10,2,98,187
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 176-1","Saint-Constant",149,50,34,10,62,3,308,494
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177A","Saint-Constant",237,72,75,15,86,6,491,359
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177B","Saint-Constant",120,40,33,7,39,0,239,388
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177-1A","Saint-Constant",Merged with No. 177A/Fusionné avec le nº 177A,,,,,,,179
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 177-1B","Saint-Constant",Merged with No. 177B/Fusionné avec le nº 177B,,,,,,,159
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 178","Saint-Constant",105,51,24,10,27,2,219,350
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 179","Saint-Constant",123,31,28,13,39,3,237,412
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 180","Saint-Constant",118,44,23,11,38,2,236,407
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 181","Saint-Constant",160,31,33,0,39,9,272,506
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 182","Saint-Constant",128,53,33,8,45,6,273,459
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 183","Saint-Constant",114,36,24,8,38,1,221,363
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 184A","Saint-Constant",158,53,18,5,41,3,278,503
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 184B","Saint-Constant",152,50,42,8,34,9,295,516
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 185","Saint-Constant",146,45,29,13,32,2,267,453
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 186","Saint-Constant",109,24,37,6,38,1,215,404
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 187","Saint-Mathieu",101,22,31,6,30,9,199,308
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 188","Saint-Mathieu",67,28,36,4,19,4,158,301
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 189","Saint-Mathieu",135,36,20,5,55,0,251,395
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 190A","Saint-Mathieu",121,32,66,5,43,2,269,484
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 190B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,12
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 400","Sainte-Catherine",52,13,32,1,49,6,153,208
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 500","Mobile poll/Bureau itinérant",20,2,20,4,28,6,80,118
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 501","Mobile poll/Bureau itinérant",50,13,47,3,39,5,157,201
24015,"Châteauguay--Saint-Constant/Châteauguay--Saint-Constant"," 502","Mobile poll/Bureau itinérant",42,7,37,4,50,2,142,174
