Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dave Burkhart,Peter Johnston,Brent Rathgeber,Sam Sleiman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 111","Edmonton",46,17,124,21,3,211,383
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 112","Edmonton",54,9,120,29,2,214,384
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 113","Edmonton",46,19,158,41,0,264,525
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 114","Edmonton",26,9,101,16,0,152,354
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 115","Edmonton",36,16,35,4,0,91,246
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 116","Edmonton",40,14,120,27,0,201,442
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 117","Edmonton",41,12,90,18,0,161,314
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 118","Edmonton",53,9,122,23,0,207,447
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 119A","Edmonton",23,15,112,27,0,177,410
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 119B","Edmonton",28,13,84,19,0,144,370
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 119-1","Edmonton",15,5,119,32,0,171,470
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 119-2","Edmonton",53,27,103,17,0,200,465
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 119-3","Edmonton",40,20,88,32,0,180,473
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 119-4","Edmonton",31,14,137,41,0,223,553
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 119-5","Edmonton",27,10,93,28,0,158,378
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 120","Edmonton",36,21,119,52,0,228,493
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 121","Edmonton",26,11,106,29,2,174,345
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 122","Edmonton",23,18,111,32,0,184,467
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 123","Edmonton",31,7,84,17,1,140,334
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 124","Edmonton",28,15,60,30,0,133,395
48015,"Edmonton--St. Albert/Edmonton--St. Albert"," 125A","Edmonton",17,9,81,25,0,132,353
