Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,André Côté,Véronique Poulin,Nicolas Rochette,René Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Beauce/Beauce"," 198","Saint-Martin",144,28,11,12,14,8,217,399
24005,"Beauce/Beauce"," 199","Saint-Martin",89,33,11,10,29,2,174,305
24005,"Beauce/Beauce"," 200","Saint-Martin",158,41,21,15,27,4,266,463
24005,"Beauce/Beauce"," 201","Saint-Martin",109,26,12,9,20,0,176,317
24005,"Beauce/Beauce"," 202","Saint-René",142,45,23,16,18,7,251,481
24005,"Beauce/Beauce"," 203","Saint-Théophile",139,26,16,12,25,1,219,349
24005,"Beauce/Beauce"," 204","Saint-Théophile",108,17,7,9,14,1,156,246
24005,"Beauce/Beauce"," 205","Saint-Gédéon-de-Beauce",119,21,9,10,22,1,182,414
24005,"Beauce/Beauce"," 206","Saint-Gédéon",116,31,28,15,26,2,218,431
24005,"Beauce/Beauce"," 207","Saint-Gédéon",71,13,8,7,10,0,109,173
24005,"Beauce/Beauce"," 207-1","Saint-Gédéon-de-Beauce",94,21,12,8,14,2,151,332
24005,"Beauce/Beauce"," 208","Saint-Gédéon",141,29,9,7,19,5,210,433
24005,"Beauce/Beauce"," 209","Saint-Ludger",64,23,7,2,12,3,111,236
24005,"Beauce/Beauce"," 210","Saint-Ludger",92,40,15,11,38,2,198,357
24005,"Beauce/Beauce"," 211","Saint-Ludger",83,30,13,5,12,2,145,314
24005,"Beauce/Beauce"," 212","Saint-Robert-Bellarmin",164,19,19,7,20,4,233,498
24005,"Beauce/Beauce"," 400","Saint-Georges",83,3,5,1,19,3,114,160
24005,"Beauce/Beauce"," 401","Saint-Georges",153,45,7,5,51,4,265,342
24005,"Beauce/Beauce"," 402","Saint-Georges",82,10,4,0,15,1,112,138
24005,"Beauce/Beauce"," 403","Sainte-Marie",110,16,3,2,28,4,163,202
24005,"Beauce/Beauce"," 500","Mobile poll/Bureau itinérant",29,7,1,1,14,4,56,122
24005,"Beauce/Beauce"," 501","Mobile poll/Bureau itinérant",30,4,1,0,13,0,48,98
24005,"Beauce/Beauce"," 502","Mobile poll/Bureau itinérant",43,2,0,1,17,2,65,73
24005,"Beauce/Beauce"," 503","Mobile poll/Bureau itinérant",42,3,1,0,5,1,52,111
24005,"Beauce/Beauce"," 504","Mobile poll/Bureau itinérant",63,5,1,7,21,7,104,240
24005,"Beauce/Beauce"," 505","Mobile poll/Bureau itinérant",73,7,2,2,15,4,103,106
24005,"Beauce/Beauce"," 506","Mobile poll/Bureau itinérant",37,4,1,0,7,1,50,122
24005,"Beauce/Beauce"," 507","Mobile poll/Bureau itinérant",38,2,1,0,6,4,51,102
24005,"Beauce/Beauce"," 508","Mobile poll/Bureau itinérant",45,4,2,2,10,1,64,161
24005,"Beauce/Beauce"," 509","Mobile poll/Bureau itinérant",12,1,1,0,8,1,23,102
24005,"Beauce/Beauce"," 600","Saint-Isidore--Sainte-Marguerite",102,14,9,3,18,1,147,
24005,"Beauce/Beauce"," 601","Saint-Bernard--Saint-Elzéar",53,16,5,0,5,0,79,
