Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michael Bell,Barry Devolin,Dave Switzer,Marlene White,Stephen Yardy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 44","Galway-Cavendish and Harvey",13,144,1,44,40,1,243,496
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 45","Galway-Cavendish and Harvey",26,116,0,49,40,1,232,481
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 46","Harvey",20,75,1,40,24,0,160,318
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 47","North Kawartha",17,114,1,39,24,0,195,362
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 48","Galway-Cavendish and Harvey",17,97,0,24,9,0,147,239
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 49","Galway-Cavendish and Harvey",23,109,6,67,39,0,244,397
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 50","Somerville",29,118,0,48,40,0,235,526
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 51","Somerville",14,107,3,33,26,1,184,343
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 51-1","Kawartha Lakes",17,98,2,33,39,1,190,326
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 52","Somerville",27,193,2,46,39,1,308,568
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 53","Somerville",11,45,0,11,19,0,86,212
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 54","Bexley",9,65,0,18,22,1,115,244
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 55","Bexley",20,97,2,31,23,2,175,394
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 56","Bexley",16,126,4,31,27,2,206,467
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 57","Laxton, Digby and Longford",11,82,0,36,24,1,154,277
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 58","Laxton, Digby and Longford",11,82,2,32,30,1,158,365
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 59","Laxton, Digby and Longford",12,63,1,20,12,0,108,275
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 60","Dalton",35,87,2,37,32,1,194,371
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 61","Carden",24,147,3,53,42,0,269,448
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 62","Carden",6,59,1,13,15,0,94,284
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 63","Eldon",17,132,0,47,40,0,236,456
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 64","Eldon",25,91,0,50,35,0,201,382
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 65A","Eldon",17,102,1,33,18,0,171,311
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 65B","Eldon",19,114,2,25,10,0,170,307
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 66","Brock",24,134,2,34,45,2,241,554
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 67","Brock",17,83,0,33,32,0,165,371
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 68","Brock",27,89,2,30,33,0,181,342
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 69","Brock",8,84,4,29,23,0,148,306
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 70","Brock",16,90,1,52,9,1,169,364
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 70-1","Brock",8,71,1,32,11,1,124,283
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 71","Brock",18,86,2,25,21,1,153,372
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 72","Brock",11,96,0,31,30,0,168,362
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 73","Brock",16,98,1,38,14,1,168,398
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 74","Brock",12,105,4,25,13,1,160,341
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 75","Brock",24,111,2,57,52,1,247,454
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 76","Cannington",26,111,4,47,42,0,230,469
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 77","Brock",18,107,2,35,42,0,204,346
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 78","Brock",22,171,0,53,18,0,264,435
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 79","Brock",15,116,0,41,10,1,183,418
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 80","Brock",10,50,0,13,13,0,86,165
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 81","Manilla",9,81,0,24,26,0,140,263
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 82","Brock",7,54,0,15,11,0,87,143
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 82-1","Brock",25,106,4,34,31,0,200,378
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 83","Sunderland",29,108,0,45,35,0,217,427
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 83-1","Brock",11,62,0,34,18,1,126,183
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 84","Brock",21,93,0,45,22,0,181,308
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 84-1","Brock",10,56,0,28,12,1,107,167
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 85","Brock",25,127,2,60,21,0,235,403
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 86A","Mariposa",21,79,0,39,14,0,153,296
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 86B","Mariposa",11,97,0,45,27,0,180,336
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 86-1","Kawartha Lakes",26,79,0,7,29,1,142,285
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 87","Mariposa",23,116,2,43,35,2,221,434
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 88","Mariposa",18,144,2,29,46,0,239,466
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 89","Mariposa",14,106,2,33,29,1,185,373
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 90","Mariposa",21,98,2,49,25,0,195,355
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 90-1","Kawartha Lakes",11,70,1,35,31,3,151,254
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 91","Mariposa",6,57,1,21,33,0,118,236
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 92","Mariposa",15,91,2,19,31,0,158,274
35029,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 92-1","Kawartha Lakes",13,85,0,31,22,0,151,288
