Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Andrea Matrosovs,Caley McKibbin,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Simcoe--Grey/Simcoe--Grey"," 120","Springwater",31,19,71,42,0,1,2,166,339
35085,"Simcoe--Grey/Simcoe--Grey"," 121","Springwater",31,64,152,62,0,4,0,313,496
35085,"Simcoe--Grey/Simcoe--Grey"," 122","Springwater",18,21,118,25,0,0,0,182,271
35085,"Simcoe--Grey/Simcoe--Grey"," 123","Springwater",21,22,125,31,2,9,0,210,340
35085,"Simcoe--Grey/Simcoe--Grey"," 124","Springwater",24,30,142,40,0,10,1,247,444
35085,"Simcoe--Grey/Simcoe--Grey"," 125","Springwater",12,21,62,49,0,2,0,146,314
35085,"Simcoe--Grey/Simcoe--Grey"," 126","Springwater",8,18,102,22,0,3,0,153,377
35085,"Simcoe--Grey/Simcoe--Grey"," 127","Springwater",19,32,130,31,0,1,0,213,439
35085,"Simcoe--Grey/Simcoe--Grey"," 128","Springwater",10,21,110,27,0,1,0,169,323
35085,"Simcoe--Grey/Simcoe--Grey"," 129","Springwater",12,14,135,50,0,0,1,212,375
35085,"Simcoe--Grey/Simcoe--Grey"," 130","Springwater",12,21,110,45,0,2,0,190,309
35085,"Simcoe--Grey/Simcoe--Grey"," 131","Springwater",14,7,84,41,0,0,2,148,267
35085,"Simcoe--Grey/Simcoe--Grey"," 132","Springwater",9,17,130,59,0,0,0,215,355
35085,"Simcoe--Grey/Simcoe--Grey"," 133","Springwater",13,21,119,32,0,6,1,192,396
35085,"Simcoe--Grey/Simcoe--Grey"," 134","Springwater",19,42,112,73,0,0,0,246,449
35085,"Simcoe--Grey/Simcoe--Grey"," 135","Springwater",12,19,118,55,1,0,0,205,378
