Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Heinrichs,Trevor Kennerd,Anita Neville,Vere Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 34","Winnipeg",24,77,139,19,1,260,411
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 35","Winnipeg",25,108,179,14,0,326,436
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 36","Winnipeg",30,82,137,23,0,272,386
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 37","Winnipeg",15,90,171,30,2,308,433
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 38","Winnipeg",30,83,165,33,0,311,458
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 39","Winnipeg",14,83,181,18,0,296,452
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 40","Winnipeg",24,77,123,29,0,253,385
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 41","Winnipeg",19,109,172,19,1,320,440
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 42","Winnipeg",20,94,138,28,0,280,390
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 43","Winnipeg",27,95,140,20,0,282,381
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 44","Winnipeg",37,84,141,24,0,286,437
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 45","Winnipeg",20,93,120,13,0,246,352
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 46","Winnipeg",23,97,151,18,3,292,418
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 47","Winnipeg",25,97,103,18,1,244,364
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 48","Winnipeg",20,87,122,14,0,243,412
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 49","Winnipeg",20,77,126,21,0,244,400
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 50","Winnipeg",13,112,157,19,1,302,449
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 51","Winnipeg",17,111,109,12,1,250,412
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 52","Winnipeg",8,78,118,11,1,216,327
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 53","Winnipeg",22,64,54,8,0,148,274
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 54","Winnipeg",37,81,63,15,0,196,348
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 55A","Winnipeg",11,71,117,24,0,223,322
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 55B","Winnipeg",6,65,82,7,0,160,293
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 56","Winnipeg",12,114,39,5,0,170,206
