Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arpin,Jean-Claude JC D'Amours,Jean-Pierre Ouellet,Thérèse Tremblay-Philippe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 128","Edmundston",8,113,60,26,4,211,399
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 129","Sainte-Anne",1,56,35,15,4,111,265
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 130","Sainte-Anne",3,123,56,22,4,208,378
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 131","Sainte-Anne",6,111,93,23,6,239,364
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 132","Sainte-Anne",5,84,85,13,3,190,300
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 133","Sainte-Anne",8,100,53,37,2,200,387
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 134","Notre-Dame-de-Lourdes",5,52,36,28,5,126,236
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 135","Saint-Léonard",17,55,96,30,5,203,426
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 136","Saint-Léonard",12,55,82,21,5,175,367
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 137A","Saint-Léonard",4,45,53,16,2,120,267
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 137B","Mobile poll/Bureau itinérant",Merged with No. 504/Fusionné avec le nº 504,,,,,,14
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 138","Saint-Léonard",6,70,81,28,1,186,421
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 139","Saint-Léonard",7,46,79,18,4,154,321
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 140","Edmundston",2,35,49,11,2,99,179
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 141","Edmundston",7,90,75,16,3,191,327
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 142","Saint-Hilaire",7,83,77,25,1,193,291
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 143","Saint-Hilaire",5,74,98,16,2,195,302
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 144","Baker Brook",4,74,117,4,3,202,296
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 145","Baker Brook",Void/Supprimé,,,,,,
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 146","Baker Brook",2,71,148,7,2,230,368
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 147","Lac-Baker",3,64,92,21,0,180,286
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 148","Lac-Baker",9,87,96,13,1,206,316
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 149","Clair",0,40,65,4,1,110,222
13005,"Madawaska--Restigouche/Madawaska--Restigouche"," 150","Clair",0,90,64,8,1,163,348
