Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Orlando Da Silva,Jamie Kropf,Rod McNeil,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 100","Kitchener",98,56,22,33,2,211,437
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 101","Kitchener",68,52,22,19,1,162,276
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 102","Kitchener",45,34,6,43,0,128,239
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 103","Kitchener",65,74,36,33,1,209,406
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 104","Kitchener",93,76,20,62,3,254,496
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 105","Kitchener",60,25,20,55,2,162,392
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 106","Kitchener",125,63,43,63,2,296,557
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 107","Kitchener",85,47,38,39,1,210,414
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 108","Kitchener",90,47,30,36,1,204,383
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 109","Kitchener",48,43,15,28,0,134,409
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 110","Kitchener",42,46,21,36,0,145,449
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 111","Kitchener",30,23,11,35,0,99,291
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 112","Kitchener",35,50,19,54,0,158,534
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 113","Kitchener",105,57,26,51,0,239,430
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 114","Kitchener",77,51,21,67,1,217,455
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 115","Kitchener",93,77,25,46,1,242,430
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 116","Kitchener",60,38,19,43,2,162,514
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 117","Kitchener",88,54,23,36,0,201,340
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 118","Kitchener",66,31,12,33,0,142,358
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 119","Kitchener",61,51,20,43,3,178,379
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 120","Kitchener",74,52,25,70,2,223,520
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 121","Kitchener",94,71,22,34,0,221,389
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 122","Kitchener",67,38,17,47,0,169,379
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 123","Kitchener",51,27,30,55,1,164,395
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 124","Kitchener",70,43,10,50,1,174,403
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 125","Kitchener",70,41,16,35,0,162,341
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 126","Kitchener",69,31,13,37,1,151,398
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 127","Kitchener",89,50,14,60,0,213,398
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 128","Kitchener",39,25,15,32,1,112,373
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 129","Kitchener",45,33,9,32,0,119,316
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 130","Kitchener",53,58,16,43,1,171,404
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 131","Kitchener",26,16,10,23,0,75,237
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 132","Kitchener",99,47,15,39,0,200,388
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 133","Kitchener",58,29,12,40,1,140,389
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 134","Kitchener",63,51,18,46,2,180,418
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 135","Kitchener",99,98,13,35,1,246,430
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 136","Kitchener",60,70,28,75,0,233,530
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 137","Kitchener",37,28,13,28,3,109,291
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 138","Kitchener",94,64,29,79,1,267,641
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 139","Kitchener",Void/Supprimé,,,,,,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 140A","Kitchener",56,41,18,55,0,170,364
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 140B","Kitchener",63,31,5,38,1,138,327
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 141","Kitchener",102,67,23,47,2,241,403
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 142","Kitchener",119,56,36,55,1,267,502
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 143A","Kitchener",107,63,21,56,0,247,434
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 143B","Kitchener",93,52,8,42,0,195,354
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 144A","Kitchener",58,56,12,31,0,157,317
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 144B","Kitchener",62,58,14,35,1,170,301
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 145","Kitchener",127,75,19,57,0,278,450
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 146","Kitchener",121,60,36,25,0,242,538
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147","Kitchener",104,63,20,23,1,211,371
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-1A","Kitchener",111,66,24,50,0,251,500
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-1B","Kitchener",104,65,27,44,2,242,472
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 147-2","Kitchener",98,62,33,26,2,221,318
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 148","Kitchener",152,80,39,33,0,304,457
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 149","Kitchener",120,85,24,42,2,273,441
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 150","Kitchener",98,57,23,35,0,213,341
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 151","Kitchener",98,57,35,54,1,245,430
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 152","Kitchener",71,31,14,49,0,165,349
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 153","Kitchener",105,67,23,40,2,237,479
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 154","Kitchener",94,51,30,57,0,232,419
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 155","Kitchener",85,61,23,33,0,202,516
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 156","Kitchener",59,30,23,18,0,130,251
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 157","Kitchener",90,47,27,43,0,207,336
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 158","Kitchener",62,32,29,30,1,154,297
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 159","Kitchener",58,27,20,31,2,138,317
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160","Kitchener",115,66,11,29,0,221,540
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160-1","Kitchener",167,65,23,23,1,279,525
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160-2","Kitchener",128,53,13,30,0,224,445
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 160-3","Kitchener",148,82,23,41,1,295,561
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 161A","Kitchener",113,62,14,18,1,208,294
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 161B","Kitchener",117,61,15,10,0,203,327
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 162","Kitchener",104,82,11,13,2,212,336
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 162-1","Kitchener",144,91,36,44,2,317,614
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 163","Kitchener",149,126,25,48,3,351,601
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 164","Kitchener",95,70,27,44,1,237,475
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 165","Kitchener",90,59,27,48,1,225,400
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 166","Kitchener",38,37,18,28,0,121,281
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 167","Kitchener",57,52,22,27,1,159,316
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 168","Kitchener",101,50,36,39,3,229,446
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 169","Kitchener",60,50,14,36,0,160,378
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 170","Kitchener",188,66,20,12,0,286,529
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 170-1","Kitchener",135,66,13,26,0,240,399
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 170-2","Kitchener",106,58,17,13,0,194,330
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 171","Kitchener",167,70,21,21,1,280,482
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 400","Kitchener",74,54,18,52,2,200,288
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 401","Kitchener",56,49,9,31,0,145,389
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 402","Kitchener",37,31,21,30,2,121,305
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 403","Kitchener",25,15,26,29,0,95,172
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 500","Mobile poll/Bureau itinérant",17,13,3,9,0,42,104
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 501","Mobile poll/Bureau itinérant",43,14,6,6,3,72,89
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 600","Bloomingdale",181,86,19,19,0,305,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 601","Elmira",352,102,64,36,2,556,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 602","Heidelberg",226,64,39,19,1,349,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 603","Baden",375,113,53,36,0,577,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 604","New Hamburg",239,78,49,33,1,400,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 605","Kitchener",133,82,25,35,0,275,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 606","Kitchener",135,65,14,59,0,273,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 607","Kitchener",193,91,24,39,1,348,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 608","Kitchener",219,104,29,58,0,410,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 609","Kitchener",295,104,41,46,1,487,
35038,"Kitchener--Conestoga/Kitchener--Conestoga"," 610","Kitchener",289,119,34,28,0,470,
35038,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 1/Groupe 1,36,11,4,2,3,56,139
35038,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 2/Groupe 2,366,167,58,62,6,659,

