Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Blair,Russ Hiebert,Judy Higginbotham,Brian Marlatt,Peter Prontzos,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 142","Surrey",25,96,31,1,17,3,173,289
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 143","Surrey",23,123,46,0,22,1,215,373
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 144","Surrey",29,156,36,2,22,1,246,444
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 145","Surrey",14,181,42,1,37,1,276,459
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 146","Surrey",26,53,33,1,21,0,134,217
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 147","Surrey",10,48,10,1,10,1,80,192
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 148","Surrey",Void/Supprimé,,,,,,,
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 149","Surrey",17,78,47,0,25,0,167,291
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 149-1A","Surrey",25,73,35,0,24,1,158,257
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 149-1B","Surrey",14,86,26,1,21,0,148,258
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 150","Surrey",32,78,42,0,30,0,182,280
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 151","Surrey",26,173,58,1,58,2,318,453
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 152","Surrey",20,92,48,0,24,2,186,338
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 153","Surrey",28,113,36,2,31,0,210,314
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 154","Surrey",24,177,70,1,27,0,299,440
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 155","Surrey",12,103,41,0,32,2,190,318
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 156","Surrey",11,16,9,1,6,0,43,112
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 157","White Rock",34,93,53,1,34,0,215,335
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 158","White Rock",26,113,50,0,30,0,219,364
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 159","White Rock",27,107,56,1,16,0,207,340
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 160","White Rock",20,114,54,2,32,1,223,360
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 161","White Rock",24,117,47,1,17,0,206,348
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 162","White Rock",19,81,39,1,20,3,163,295
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 163","White Rock",20,61,34,0,12,1,128,228
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 163-1","White Rock",20,94,57,0,23,1,195,359
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 164","White Rock",22,91,55,1,19,0,188,364
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 165","White Rock",14,33,25,0,6,0,78,123
59027,"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 166","White Rock",21,82,45,1,36,0,185,399
