Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Comartin,Denise Ghanam,Steve Mastroianni,Kyle Prestanski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 205","Tecumseh",120,63,90,13,2,288,550
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 206A","Tecumseh",68,47,41,20,0,176,322
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 206B","Tecumseh",72,48,46,13,0,179,364
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 207","Tecumseh",62,53,46,12,0,173,384
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 208","Tecumseh",64,85,52,8,3,212,398
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 209","Tecumseh",60,36,27,8,1,132,301
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 210A","Tecumseh",81,67,35,13,0,196,326
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 210B","Tecumseh",67,45,41,9,0,162,277
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 400","Windsor",143,39,46,12,8,248,392
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 401","Windsor",169,64,51,14,0,298,417
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 402","Windsor",84,73,41,8,2,208,383
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 500","Mobile poll/Bureau itinérant",27,16,14,4,0,61,116
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 501","Mobile poll/Bureau itinérant",23,12,19,4,5,63,130
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 502","Mobile poll/Bureau itinérant",21,20,27,2,2,72,167
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 503","Mobile poll/Bureau itinérant",36,18,25,4,4,87,237
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 504","Mobile poll/Bureau itinérant",25,9,17,1,0,52,152
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 600","Windsor",130,60,74,17,3,284,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 601","Windsor",271,157,130,44,0,602,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 602","Windsor",175,111,81,26,6,399,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 603","Windsor",151,50,44,7,1,253,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 604","Windsor",219,153,105,26,2,505,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 605","Windsor",158,48,33,21,0,260,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 606","Windsor",146,50,28,11,0,235,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 607","Windsor",158,50,40,12,1,261,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 608","Windsor",221,123,92,21,3,460,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 609","Tecumseh",315,201,170,51,2,739,
35101,"Windsor--Tecumseh/Windsor--Tecumseh"," 610","Tecumseh",153,86,88,17,4,348,
35101,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 1/Groupe 1,20,50,14,8,2,94,216
35101,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 2/Groupe 2,290,144,112,27,6,579,

