Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raphaël Déry,Pierre Ducasse,Paul Fréchette,Gabriel Girard-Bernier,Frédéric Pouyot,Marcel Proulx,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Hull--Aylmer/Hull--Aylmer"," 142","Hull",49,26,20,1,4,64,2,166,319
24023,"Hull--Aylmer/Hull--Aylmer"," 143","Hull",52,43,18,0,6,57,0,176,328
24023,"Hull--Aylmer/Hull--Aylmer"," 144","Hull",56,42,24,0,13,62,1,198,368
24023,"Hull--Aylmer/Hull--Aylmer"," 145","Hull",78,46,23,1,14,45,0,207,377
24023,"Hull--Aylmer/Hull--Aylmer"," 146","Hull",83,77,30,1,14,128,1,334,515
24023,"Hull--Aylmer/Hull--Aylmer"," 147A","Hull",34,43,20,0,10,84,0,191,345
24023,"Hull--Aylmer/Hull--Aylmer"," 147B","Hull",54,50,23,0,12,83,1,223,363
24023,"Hull--Aylmer/Hull--Aylmer"," 148","Hull",39,38,27,1,11,73,1,190,314
24023,"Hull--Aylmer/Hull--Aylmer"," 148-1","Hull",32,33,13,0,6,59,2,145,247
24023,"Hull--Aylmer/Hull--Aylmer"," 149","Hull",71,48,42,3,12,69,1,246,359
24023,"Hull--Aylmer/Hull--Aylmer"," 150","Hull",65,66,16,0,7,85,2,241,377
24023,"Hull--Aylmer/Hull--Aylmer"," 151","Hull",76,49,25,2,3,117,0,272,457
24023,"Hull--Aylmer/Hull--Aylmer"," 152","Hull",60,43,20,1,11,60,4,199,441
24023,"Hull--Aylmer/Hull--Aylmer"," 153","Hull",Void/Supprimé,,,,,,,,
24023,"Hull--Aylmer/Hull--Aylmer"," 154","Hull",64,40,20,1,5,56,1,187,385
24023,"Hull--Aylmer/Hull--Aylmer"," 155","Hull",46,43,17,2,5,52,2,167,321
24023,"Hull--Aylmer/Hull--Aylmer"," 156","Hull",59,60,11,0,13,47,2,192,421
24023,"Hull--Aylmer/Hull--Aylmer"," 157","Hull",53,26,29,0,10,59,0,177,363
24023,"Hull--Aylmer/Hull--Aylmer"," 158","Hull",67,42,30,0,5,55,1,200,396
24023,"Hull--Aylmer/Hull--Aylmer"," 159","Hull",33,32,18,0,11,67,3,164,317
24023,"Hull--Aylmer/Hull--Aylmer"," 160","Hull",44,28,21,2,11,60,2,168,378
24023,"Hull--Aylmer/Hull--Aylmer"," 161","Hull",58,31,15,3,16,55,3,181,406
24023,"Hull--Aylmer/Hull--Aylmer"," 162","Hull",38,27,5,1,2,29,0,102,270
24023,"Hull--Aylmer/Hull--Aylmer"," 163","Hull",35,31,14,0,8,34,1,123,317
24023,"Hull--Aylmer/Hull--Aylmer"," 164","Hull",44,30,11,0,3,51,0,139,295
24023,"Hull--Aylmer/Hull--Aylmer"," 165","Hull",37,54,19,0,8,74,1,193,405
24023,"Hull--Aylmer/Hull--Aylmer"," 166","Hull",39,34,22,0,9,48,3,155,392
24023,"Hull--Aylmer/Hull--Aylmer"," 167","Hull",35,23,19,0,7,64,1,149,289
24023,"Hull--Aylmer/Hull--Aylmer"," 168","Hull",47,37,41,0,10,102,4,241,470
24023,"Hull--Aylmer/Hull--Aylmer"," 169","Hull",52,59,31,1,10,96,0,249,514
24023,"Hull--Aylmer/Hull--Aylmer"," 170","Hull",28,11,11,1,8,36,0,95,347
24023,"Hull--Aylmer/Hull--Aylmer"," 171","Hull",38,35,15,1,11,51,0,151,437
24023,"Hull--Aylmer/Hull--Aylmer"," 172","Hull",62,23,24,1,7,56,0,173,424
24023,"Hull--Aylmer/Hull--Aylmer"," 173","Hull",Void/Supprimé,,,,,,,,
24023,"Hull--Aylmer/Hull--Aylmer"," 174","Hull",33,23,18,1,8,33,0,116,333
24023,"Hull--Aylmer/Hull--Aylmer"," 175","Hull",33,35,20,1,14,54,2,159,327
24023,"Hull--Aylmer/Hull--Aylmer"," 176","Hull",24,21,6,0,14,46,0,111,262
24023,"Hull--Aylmer/Hull--Aylmer"," 177","Hull",36,36,15,0,10,50,1,148,354
24023,"Hull--Aylmer/Hull--Aylmer"," 178","Hull",32,19,11,0,8,51,3,124,367
24023,"Hull--Aylmer/Hull--Aylmer"," 179","Hull",35,19,22,0,7,48,4,135,300
24023,"Hull--Aylmer/Hull--Aylmer"," 180","Hull",19,17,12,0,7,37,1,93,325
24023,"Hull--Aylmer/Hull--Aylmer"," 181","Hull",31,32,14,0,9,58,1,145,423
24023,"Hull--Aylmer/Hull--Aylmer"," 182","Hull",21,28,9,0,7,46,4,115,340
24023,"Hull--Aylmer/Hull--Aylmer"," 183","Hull",40,47,9,1,5,56,3,161,441
24023,"Hull--Aylmer/Hull--Aylmer"," 184","Hull",27,29,14,2,8,31,0,111,271
24023,"Hull--Aylmer/Hull--Aylmer"," 185","Hull",30,33,6,2,12,64,1,148,305
24023,"Hull--Aylmer/Hull--Aylmer"," 186","Hull",34,43,23,0,7,59,4,170,345
24023,"Hull--Aylmer/Hull--Aylmer"," 186-1","Hull",20,30,7,0,3,32,0,92,200
24023,"Hull--Aylmer/Hull--Aylmer"," 187","Hull",55,40,35,0,13,117,1,261,377
24023,"Hull--Aylmer/Hull--Aylmer"," 188","Hull",36,27,24,0,18,85,0,190,337
24023,"Hull--Aylmer/Hull--Aylmer"," 188-1","Hull",43,23,48,0,9,164,1,288,398
24023,"Hull--Aylmer/Hull--Aylmer"," 189","Hull",82,43,14,0,13,129,0,281,423
24023,"Hull--Aylmer/Hull--Aylmer"," 190","Hull",89,47,21,1,32,71,4,265,386
24023,"Hull--Aylmer/Hull--Aylmer"," 191","Hull",83,49,15,0,11,63,0,221,334
24023,"Hull--Aylmer/Hull--Aylmer"," 192","Hull",61,45,16,0,8,38,2,170,322
24023,"Hull--Aylmer/Hull--Aylmer"," 193","Hull",28,24,16,0,9,36,0,113,291
24023,"Hull--Aylmer/Hull--Aylmer"," 194","Hull",24,30,7,1,6,49,0,117,389
24023,"Hull--Aylmer/Hull--Aylmer"," 195","Hull",40,36,21,1,11,86,0,195,333
24023,"Hull--Aylmer/Hull--Aylmer"," 196","Hull",99,36,19,0,19,77,4,254,439
24023,"Hull--Aylmer/Hull--Aylmer"," 197","Hull",110,38,32,0,23,116,2,321,545
24023,"Hull--Aylmer/Hull--Aylmer"," 400","Aylmer",10,13,30,0,5,87,1,146,217
24023,"Hull--Aylmer/Hull--Aylmer"," 401","Hull",5,3,9,1,1,20,3,42,221
24023,"Hull--Aylmer/Hull--Aylmer"," 402","Hull",22,33,23,2,6,64,4,154,330
24023,"Hull--Aylmer/Hull--Aylmer"," 403","Hull",12,3,29,2,4,87,6,143,206
24023,"Hull--Aylmer/Hull--Aylmer"," 500","Mobile poll/Bureau itinérant",3,12,31,0,2,44,0,92,145
24023,"Hull--Aylmer/Hull--Aylmer"," 501","Mobile poll/Bureau itinérant",24,19,20,1,0,104,4,172,270
24023,"Hull--Aylmer/Hull--Aylmer"," 502","Mobile poll/Bureau itinérant",15,10,20,0,1,73,2,121,228
24023,"Hull--Aylmer/Hull--Aylmer"," 503","Mobile poll/Bureau itinérant",16,12,12,0,5,58,3,106,233
24023,"Hull--Aylmer/Hull--Aylmer"," 504","Mobile poll/Bureau itinérant",29,28,31,0,3,111,1,203,332
24023,"Hull--Aylmer/Hull--Aylmer"," 505","Mobile poll/Bureau itinérant",19,14,28,4,6,78,1,150,241
24023,"Hull--Aylmer/Hull--Aylmer"," 506","Mobile poll/Bureau itinérant",21,16,16,0,2,66,0,121,224
24023,"Hull--Aylmer/Hull--Aylmer"," 600","Gatineau",97,78,94,0,24,211,3,507,
24023,"Hull--Aylmer/Hull--Aylmer"," 601","Gatineau",45,59,80,0,26,183,2,395,
24023,"Hull--Aylmer/Hull--Aylmer"," 602","Gatineau",53,74,92,1,22,169,3,414,
24023,"Hull--Aylmer/Hull--Aylmer"," 603","Gatineau",97,92,124,0,38,264,2,617,
24023,"Hull--Aylmer/Hull--Aylmer"," 604","Gatineau",66,50,101,0,27,211,4,459,
24023,"Hull--Aylmer/Hull--Aylmer"," 605","Gatineau",53,51,93,0,17,162,3,379,
24023,"Hull--Aylmer/Hull--Aylmer"," 606","Gatineau",135,55,59,0,20,173,1,443,
24023,"Hull--Aylmer/Hull--Aylmer"," 607","Gatineau",103,48,57,0,13,131,2,354,
24023,"Hull--Aylmer/Hull--Aylmer"," 608","Gatineau",116,48,69,0,13,218,0,464,
24023,"Hull--Aylmer/Hull--Aylmer"," 609","Gatineau",118,44,66,0,14,192,3,437,
24023,"Hull--Aylmer/Hull--Aylmer"," 610","Gatineau",102,52,50,1,12,166,5,388,
24023,"Hull--Aylmer/Hull--Aylmer"," 611","Gatineau",111,40,50,0,10,183,2,396,
24023,"Hull--Aylmer/Hull--Aylmer"," 612","Gatineau",111,51,63,1,19,165,1,411,
24023,"Hull--Aylmer/Hull--Aylmer"," 613","Gatineau",48,25,31,1,11,110,3,229,
24023,"Hull--Aylmer/Hull--Aylmer"," 614","Gatineau",69,43,34,1,17,107,0,271,
24023,"Hull--Aylmer/Hull--Aylmer"," 615","Gatineau",129,45,40,1,18,192,1,426,
24023,"Hull--Aylmer/Hull--Aylmer",,Group 1/Groupe 1,50,48,97,2,26,82,13,318,596
24023,"Hull--Aylmer/Hull--Aylmer",,Group 2/Groupe 2,156,107,108,1,40,223,10,645,

