Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bekkering,Hilary Crowley,Lindsay Gidney,Jay Hill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Prince George--Peace River/Prince George--Peace River"," 605","Fort St. John",29,25,14,194,0,262,
59022,"Prince George--Peace River/Prince George--Peace River"," 606","Chetwynd",25,15,13,116,0,169,
59022,"Prince George--Peace River/Prince George--Peace River"," 607","Nukko Lake",20,22,16,91,0,149,
59022,"Prince George--Peace River/Prince George--Peace River"," 608","Pineview",38,29,18,138,0,223,
59022,"Prince George--Peace River/Prince George--Peace River"," 609","Prince George",58,24,26,184,0,292,
59022,"Prince George--Peace River/Prince George--Peace River"," 610","Prince George",76,34,29,212,0,351,
59022,"Prince George--Peace River/Prince George--Peace River"," 611","Prince George",78,39,29,140,1,287,
59022,"Prince George--Peace River/Prince George--Peace River"," 612","Sunset Prairie",17,12,5,112,0,146,
59022,"Prince George--Peace River/Prince George--Peace River"," 613","Pouce Coupe",9,8,4,63,0,84,
59022,"Prince George--Peace River/Prince George--Peace River"," 614","Tumbler Ridge",15,5,12,87,0,119,
59022,"Prince George--Peace River/Prince George--Peace River"," 615","Dawson Creek",36,24,15,182,3,260,
59022,"Prince George--Peace River/Prince George--Peace River"," 616","Dawson Creek",48,27,20,213,2,310,
59022,"Prince George--Peace River/Prince George--Peace River"," 617","McBride",7,6,2,39,1,55,
59022,"Prince George--Peace River/Prince George--Peace River",,Group 1/Groupe 1,28,10,32,46,11,127,188
59022,"Prince George--Peace River/Prince George--Peace River",,Group 2/Groupe 2,68,46,47,315,5,481,

