Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel E. Bernard,Bill Casey,Karen Olsson,Tracy Parsons,Rick Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 19","Amherst",9,119,17,12,3,2,162,398
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 20","Amherst",11,185,14,16,1,3,230,356
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 21","Amherst",12,147,26,17,1,0,203,318
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 22","Amherst",11,214,20,20,4,0,269,485
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 23A","Amherst",15,100,18,15,1,0,149,286
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 23B","Amherst",9,101,19,14,2,0,145,268
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 24","Amherst",13,189,19,20,3,0,244,402
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 25","Amherst",6,128,14,11,4,3,166,362
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 26","Amherst",4,67,6,6,1,0,84,209
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 27","Amherst",5,137,11,11,5,2,171,314
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 28","Amherst",3,164,15,23,3,2,210,452
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 29","Amherst",5,79,10,8,1,0,103,252
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 30","Amherst",7,109,10,11,3,0,140,349
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 31","Amherst",10,136,17,14,3,0,180,406
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 32","Amherst",4,95,14,7,2,0,122,364
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 33","Amherst",8,146,25,20,7,1,207,387
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 34","Amherst",11,131,16,7,4,1,170,444
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 35A","Amherst",5,129,11,14,1,1,161,283
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 35B","Amherst",8,118,10,9,3,2,150,299
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 36","Amherst Shore",4,131,8,6,5,0,154,229
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 37","Tidnish",5,246,19,20,3,2,295,465
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 38","Amherst Head",6,119,16,7,4,2,154,270
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 39","Mount Pleasant",10,103,6,15,7,0,141,271
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 40","Oxford Junction",16,161,12,6,5,0,200,327
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 41","Oxford",13,122,12,18,0,1,166,323
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 42","Oxford",7,95,11,6,2,1,122,201
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 43","Oxford",7,113,19,15,2,1,157,339
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 44","Oxford",5,96,12,10,3,1,127,246
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 45","River Philip",16,97,20,15,13,10,171,305
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 46","Rodney",18,119,23,10,7,1,178,270
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 47","Collingwood Corner",6,96,20,13,2,0,137,209
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 48","Millvale",7,62,4,10,4,1,88,135
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 49","Springhill",9,136,20,9,9,3,186,349
12007,"Cumberland--Colchester--Musquodoboit Valley/Cumberland--Colchester--Musquodoboit Valley"," 50","Springhill",9,152,27,14,13,3,218,351
