Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sébastien Caron,Gilles Duceppe,François Yo Gourd,François Grégoire,Serge Lachapelle,Daniel "F4J" Laforest,Charles K. Langford,Samie Pagé-Quirion,Dylan Perceval-Maxwell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 18","Montréal",24,93,1,40,0,0,5,0,10,1,174,286
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 19","Montréal",39,148,1,33,0,0,12,0,14,3,250,392
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 20","Montréal",34,105,2,29,0,0,7,0,7,2,186,369
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 21","Montréal",18,97,3,37,0,0,4,0,11,1,171,289
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 22","Montréal",43,123,2,29,0,0,13,0,13,2,225,375
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 23","Montréal",26,59,3,28,0,0,7,0,11,1,135,275
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 24","Montréal",24,192,6,46,0,0,8,3,25,4,308,437
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 25","Montréal",23,157,2,44,1,0,9,2,20,3,261,453
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 26","Montréal",25,111,1,32,0,1,11,0,18,3,202,382
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 27","Montréal",36,107,0,27,0,0,7,0,19,2,198,362
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 28","Montréal",34,146,1,34,5,2,9,0,17,7,255,450
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 29","Montréal",22,139,2,47,0,0,4,1,10,4,229,423
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 30","Montréal",25,131,2,49,0,0,7,0,6,1,221,373
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 31","Montréal",23,138,0,33,0,0,7,0,16,0,217,362
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 32","Montréal",17,84,1,19,0,1,10,0,10,3,145,340
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 33","Montréal",24,136,3,33,1,0,9,0,19,0,225,378
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 34","Montréal",26,162,5,43,1,1,2,0,13,1,254,458
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 35","Montréal",33,140,3,38,0,0,14,0,20,3,251,406
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 36","Montréal",20,160,2,44,0,0,6,0,16,0,248,363
24031,"Laurier--Sainte-Marie/Laurier--Sainte-Marie"," 37","Montréal",35,159,3,43,3,0,14,1,15,1,274,435
