Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Philip Bender,Manuel Couto,Drew Garvie,Tom King,Kornelis Klevering,Gloria Kovach,Karen Levenson,Mike Nagy,John Turmel,Frank Valeriote,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Guelph/Guelph"," 155","Guelph",0,0,0,35,1,23,0,32,0,59,2,152,318
35027,"Guelph/Guelph"," 156","Guelph",2,0,0,63,3,84,0,76,0,83,0,311,495
35027,"Guelph/Guelph"," 157A","Guelph",1,0,0,32,0,52,0,51,0,52,2,190,360
35027,"Guelph/Guelph"," 157B","Guelph",0,0,1,31,0,57,0,37,0,60,2,188,377
35027,"Guelph/Guelph"," 158","Guelph",0,0,0,34,1,32,0,67,0,60,0,194,332
35027,"Guelph/Guelph"," 159","Guelph",1,0,0,62,0,47,0,52,1,80,1,244,514
35027,"Guelph/Guelph"," 160","Guelph",Void/Supprimé,,,,,,,,,,,,
35027,"Guelph/Guelph"," 161","Guelph",1,0,0,36,1,94,0,38,0,116,0,286,401
35027,"Guelph/Guelph"," 162","Guelph",0,0,1,41,0,50,1,55,0,61,1,210,402
35027,"Guelph/Guelph"," 163","Guelph",0,0,0,43,1,63,0,33,0,92,0,232,347
35027,"Guelph/Guelph"," 164","Guelph",0,0,0,63,2,56,0,45,0,61,0,227,403
35027,"Guelph/Guelph"," 165","Guelph",0,0,0,43,0,49,1,44,0,31,0,168,387
35027,"Guelph/Guelph"," 166","Guelph",0,0,0,19,0,82,0,46,0,121,3,271,421
35027,"Guelph/Guelph"," 167","Guelph",0,1,0,20,0,49,0,50,0,60,0,180,265
35027,"Guelph/Guelph"," 168","Guelph",0,1,1,39,1,79,0,83,0,113,0,317,548
35027,"Guelph/Guelph"," 169","Guelph",1,0,0,43,0,76,0,44,0,98,0,262,398
35027,"Guelph/Guelph"," 170","Guelph",1,0,0,41,1,68,0,69,1,110,1,292,440
35027,"Guelph/Guelph"," 171","Guelph",1,1,0,41,1,73,0,67,0,73,1,258,473
35027,"Guelph/Guelph"," 172","Guelph",1,0,0,19,0,69,0,48,0,77,0,214,437
35027,"Guelph/Guelph"," 173","Guelph",0,0,0,19,0,56,0,43,0,51,0,169,318
35027,"Guelph/Guelph"," 174A","Guelph",1,1,2,44,2,36,0,68,0,56,0,210,352
35027,"Guelph/Guelph"," 174B","Guelph",0,0,0,45,0,19,0,42,0,45,0,151,312
35027,"Guelph/Guelph"," 175","Guelph",0,0,0,51,5,64,1,84,0,95,1,301,556
35027,"Guelph/Guelph"," 176","Guelph",1,0,4,33,1,63,0,79,0,77,1,259,411
35027,"Guelph/Guelph"," 177","Guelph",1,0,0,16,1,59,0,43,0,66,0,186,319
35027,"Guelph/Guelph"," 178","Guelph",1,0,0,22,1,69,0,35,1,101,1,231,381
35027,"Guelph/Guelph"," 179","Guelph",1,0,0,38,1,88,0,43,0,100,2,273,471
35027,"Guelph/Guelph"," 180","Guelph",0,0,2,26,0,73,0,50,0,67,1,219,316
35027,"Guelph/Guelph"," 181","Guelph",1,0,1,30,1,39,0,47,0,34,0,153,243
35027,"Guelph/Guelph"," 182","Guelph",1,0,0,25,0,81,0,36,1,98,1,243,426
35027,"Guelph/Guelph"," 183","Guelph",4,0,0,22,0,114,0,47,0,157,0,344,577
35027,"Guelph/Guelph"," 184","Guelph",0,0,0,21,0,87,0,27,0,73,0,208,327
35027,"Guelph/Guelph"," 185","Guelph",0,0,0,24,0,62,0,21,0,66,0,173,279
35027,"Guelph/Guelph"," 186","Guelph",0,0,1,17,0,95,0,34,0,82,0,229,409
