Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Aubin,Jean Guy Dubé,Yvon Godin,Odette Robichaud,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 187","Val-Comeau",2,33,163,72,1,271,398
13001,"Acadie--Bathurst/Acadie--Bathurst"," 188","Tracadie Beach",5,42,139,45,4,235,373
13001,"Acadie--Bathurst/Acadie--Bathurst"," 189A","Leech",2,26,123,30,1,182,255
13001,"Acadie--Bathurst/Acadie--Bathurst"," 189B","Leech",4,20,114,23,1,162,252
13001,"Acadie--Bathurst/Acadie--Bathurst"," 190","Pont-Lafrance",4,17,170,40,1,232,354
13001,"Acadie--Bathurst/Acadie--Bathurst"," 191","Pont-Lafrance",2,25,111,49,2,189,297
13001,"Acadie--Bathurst/Acadie--Bathurst"," 192","Tracadie-Sheila",5,61,108,34,1,209,353
13001,"Acadie--Bathurst/Acadie--Bathurst"," 193","Tracadie-Sheila",5,55,99,37,6,202,356
13001,"Acadie--Bathurst/Acadie--Bathurst"," 194","Tracadie-Sheila",3,32,89,49,3,176,315
13001,"Acadie--Bathurst/Acadie--Bathurst"," 195A","Tracadie-Sheila",0,60,73,48,1,182,328
13001,"Acadie--Bathurst/Acadie--Bathurst"," 195B","Mobile poll/Bureau itinérant",Merged with No. 518/Fusionné avec le nº 518,,,,,,24
13001,"Acadie--Bathurst/Acadie--Bathurst"," 196","Tracadie-Sheila",0,33,109,35,1,178,368
13001,"Acadie--Bathurst/Acadie--Bathurst"," 197","Tracadie-Sheila",4,53,89,40,7,193,415
13001,"Acadie--Bathurst/Acadie--Bathurst"," 198","Tracadie-Sheila",4,66,102,73,0,245,481
13001,"Acadie--Bathurst/Acadie--Bathurst"," 199","Pointe-à-Boileau",4,65,129,84,9,291,459
13001,"Acadie--Bathurst/Acadie--Bathurst"," 200","Tracadie-Sheila",3,45,138,57,5,248,438
13001,"Acadie--Bathurst/Acadie--Bathurst"," 201","Tracadie-Sheila",4,82,96,72,2,256,395
13001,"Acadie--Bathurst/Acadie--Bathurst"," 500","Mobile poll/Bureau itinérant",1,6,9,13,2,31,80
13001,"Acadie--Bathurst/Acadie--Bathurst"," 501","Mobile poll/Bureau itinérant",1,16,50,40,1,108,150
13001,"Acadie--Bathurst/Acadie--Bathurst"," 502A","Mobile poll/Bureau itinérant",2,2,21,12,0,37,43
13001,"Acadie--Bathurst/Acadie--Bathurst"," 502B ","Mobile poll/Bureau itinérant",1,2,12,17,0,32,30
13001,"Acadie--Bathurst/Acadie--Bathurst"," 503","Mobile poll/Bureau itinérant",0,3,24,15,2,44,78
13001,"Acadie--Bathurst/Acadie--Bathurst"," 504","Mobile poll/Bureau itinérant",3,7,24,26,1,61,100
13001,"Acadie--Bathurst/Acadie--Bathurst"," 505","Mobile poll/Bureau itinérant",4,10,23,32,5,74,101
13001,"Acadie--Bathurst/Acadie--Bathurst"," 506","Mobile poll/Bureau itinérant",3,10,20,31,0,64,120
13001,"Acadie--Bathurst/Acadie--Bathurst"," 507A","Mobile poll/Bureau itinérant",1,16,20,32,2,71,131
13001,"Acadie--Bathurst/Acadie--Bathurst"," 507B","Mobile poll/Bureau itinérant",3,2,13,4,2,24,14
13001,"Acadie--Bathurst/Acadie--Bathurst"," 508","Mobile poll/Bureau itinérant",2,9,41,18,3,73,97
13001,"Acadie--Bathurst/Acadie--Bathurst"," 509","Mobile poll/Bureau itinérant",1,7,9,16,0,33,49
13001,"Acadie--Bathurst/Acadie--Bathurst"," 510","Mobile poll/Bureau itinérant",1,5,13,18,4,41,47
13001,"Acadie--Bathurst/Acadie--Bathurst"," 511","Mobile poll/Bureau itinérant",0,9,21,12,0,42,50
13001,"Acadie--Bathurst/Acadie--Bathurst"," 512","Mobile poll/Bureau itinérant",4,7,50,23,1,85,108
13001,"Acadie--Bathurst/Acadie--Bathurst"," 513A","Mobile poll/Bureau itinérant",1,8,16,8,0,33,41
13001,"Acadie--Bathurst/Acadie--Bathurst"," 513B","Mobile poll/Bureau itinérant",0,13,25,22,2,62,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 514","Mobile poll/Bureau itinérant",0,1,17,6,2,26,48
13001,"Acadie--Bathurst/Acadie--Bathurst"," 515","Mobile poll/Bureau itinérant",0,20,20,23,1,64,66
