Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Gerald Derome,Philip Fernandez,David Peter Gentili,El- Farouk Khaki,Ellen Michelson,Bob Rae,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Toronto Centre/Toronto-Centre"," 447","Toronto",1,0,0,9,28,17,53,0,1,109,223
35093,"Toronto Centre/Toronto-Centre"," 448","Toronto",1,0,1,36,34,30,102,0,0,204,334
35093,"Toronto Centre/Toronto-Centre"," 448-1","Toronto",1,0,0,23,34,22,103,0,1,184,263
35093,"Toronto Centre/Toronto-Centre"," 449","Toronto",0,0,0,22,8,7,64,0,0,101,149
35093,"Toronto Centre/Toronto-Centre"," 450","Toronto",0,1,0,29,11,8,53,0,0,102,159
35093,"Toronto Centre/Toronto-Centre"," 451","Toronto",2,0,0,22,23,13,90,0,0,150,275
35093,"Toronto Centre/Toronto-Centre"," 452","Toronto",0,0,0,19,24,18,96,0,1,158,295
35093,"Toronto Centre/Toronto-Centre"," 453","Toronto",1,1,0,21,9,18,104,0,1,155,281
35093,"Toronto Centre/Toronto-Centre"," 453-1","Toronto",0,0,1,25,25,13,76,0,0,140,242
35093,"Toronto Centre/Toronto-Centre"," 454","Toronto",1,0,0,21,33,16,88,0,1,160,285
35093,"Toronto Centre/Toronto-Centre"," 455","Toronto",1,0,0,19,8,2,40,0,0,70,142
35093,"Toronto Centre/Toronto-Centre"," 456","Toronto",0,1,0,24,17,9,66,0,0,117,279
35093,"Toronto Centre/Toronto-Centre"," 457","Toronto",3,1,1,44,29,8,111,2,2,201,300
35093,"Toronto Centre/Toronto-Centre"," 458","Toronto",0,0,0,22,30,14,87,0,0,153,347
35093,"Toronto Centre/Toronto-Centre"," 459","Toronto",1,0,0,27,69,39,71,0,1,208,341
35093,"Toronto Centre/Toronto-Centre"," 460","Toronto",0,0,1,24,50,40,76,2,1,194,354
35093,"Toronto Centre/Toronto-Centre"," 461","Toronto",2,2,0,8,21,2,40,0,3,78,272
35093,"Toronto Centre/Toronto-Centre"," 462","Toronto",0,2,1,19,44,6,84,0,1,157,333
35093,"Toronto Centre/Toronto-Centre"," 463","Toronto",3,2,0,13,36,8,100,2,0,164,333
35093,"Toronto Centre/Toronto-Centre"," 464","Toronto",1,1,0,10,43,3,91,1,3,153,354
35093,"Toronto Centre/Toronto-Centre"," 465","Toronto",0,0,0,23,22,25,79,1,1,151,288
35093,"Toronto Centre/Toronto-Centre"," 466","Toronto",0,1,1,28,23,33,79,0,0,165,324
35093,"Toronto Centre/Toronto-Centre"," 467","Toronto",0,0,0,30,16,14,73,1,0,134,245
35093,"Toronto Centre/Toronto-Centre"," 468","Toronto",3,0,0,43,50,45,142,0,0,283,437
35093,"Toronto Centre/Toronto-Centre"," 469","Toronto",2,0,0,54,26,26,139,0,2,249,365
35093,"Toronto Centre/Toronto-Centre"," 469-1","Toronto",0,0,0,53,21,19,85,0,3,181,283
35093,"Toronto Centre/Toronto-Centre"," 470","Toronto",0,0,0,22,13,9,58,0,0,102,250
35093,"Toronto Centre/Toronto-Centre"," 471","Toronto",0,0,0,59,26,37,157,2,1,282,449
35093,"Toronto Centre/Toronto-Centre"," 472","Toronto",0,0,0,20,31,21,65,0,0,137,302
35093,"Toronto Centre/Toronto-Centre"," 473","Toronto",0,0,0,7,16,11,45,0,0,79,139
35093,"Toronto Centre/Toronto-Centre"," 474","Toronto",1,0,0,10,20,7,68,0,0,106,252
35093,"Toronto Centre/Toronto-Centre"," 475","Toronto",1,0,0,15,31,12,50,0,0,109,250
35093,"Toronto Centre/Toronto-Centre"," 476","Toronto",0,0,0,8,34,20,81,0,0,143,260
35093,"Toronto Centre/Toronto-Centre"," 477","Toronto",0,0,1,23,31,20,73,0,0,148,288
35093,"Toronto Centre/Toronto-Centre"," 478","Toronto",0,0,0,19,16,18,56,0,0,109,192
35093,"Toronto Centre/Toronto-Centre"," 479","Toronto",1,0,0,18,34,14,57,0,0,124,372
35093,"Toronto Centre/Toronto-Centre"," 480","Toronto",0,0,0,35,23,18,81,0,0,157,364
