Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adele Boucher Rymhs,Liliane Maisonneuve,Edwin Siggelkow,Mélanie Simard,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,Peace River/Peace River,73,Peace River,39,22,0,2,17,68,1,149,332
48022,Peace River/Peace River,74,Peace River,23,10,0,0,22,52,0,107,398
48022,Peace River/Peace River,75,Peace River,36,21,2,2,24,87,0,172,417
48022,Peace River/Peace River,76,Peace River,29,9,1,3,12,56,0,110,382
48022,Peace River/Peace River,77,Peace River,34,5,1,1,8,103,0,152,371
48022,Peace River/Peace River,78,Peace River,23,16,0,2,15,112,0,168,360
48022,Peace River/Peace River,79,Peace River,29,12,0,0,22,107,0,170,351
48022,Peace River/Peace River,80,Peace River,25,13,0,0,15,70,0,123,267
48022,Peace River/Peace River,81,Three Creeks,17,2,2,2,4,34,1,62,135
48022,Peace River/Peace River,82,Cadotte Lake,27,21,2,0,2,14,0,66,342
48022,Peace River/Peace River,83,Little Buffalo,10,4,0,0,0,3,0,17,128
48022,Peace River/Peace River,84,Bison Lake,Electors voted by special ballot in Group 2/Les électeurs ont voté par bulletin spécial dans le Groupe 2,,,,,,,,2
48022,Peace River/Peace River,85,St. Isidore,35,43,0,2,5,69,0,154,304
48022,Peace River/Peace River,86,Harmon Valley,13,0,0,0,4,19,0,36,64
48022,Peace River/Peace River,87,Reno,23,4,0,1,4,50,0,82,185
48022,Peace River/Peace River,88,Nampa,22,9,3,0,8,83,0,125,236
48022,Peace River/Peace River,89,Nampa,17,4,1,0,6,76,0,104,271
48022,Peace River/Peace River,90,Marie-Reine,20,11,0,1,5,65,1,103,168
48022,Peace River/Peace River,91,Jean Côté,28,11,1,11,4,88,2,145,228
48022,Peace River/Peace River,92,Donnelly,44,19,1,6,11,110,0,191,377
48022,Peace River/Peace River,93,McLennan,18,18,0,1,6,112,2,157,246
48022,Peace River/Peace River,94,McLennan,28,12,0,2,8,85,1,136,308
48022,Peace River/Peace River,95,McLennan,16,7,1,0,6,67,0,97,208
48022,Peace River/Peace River,96,Guy,18,18,1,2,6,108,0,153,248
48022,Peace River/Peace River,97,Whitemud Creek,8,1,0,0,1,32,0,42,170
48022,Peace River/Peace River,98,Culp,21,16,0,6,9,83,0,135,244
