Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine Gibson,Shirley Hiebert,Ross Martin,David Reimer,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 45","St. Adolphe",14,49,55,2,106,0,226,384
46008,"Provencher/Provencher"," 46","St. Adolphe",17,51,56,5,121,0,250,402
46008,"Provencher/Provencher"," 47","Glenlea",12,16,24,1,72,0,125,215
46008,"Provencher/Provencher"," 48","Ste. Agathe",30,78,57,7,167,4,343,491
46008,"Provencher/Provencher"," 49A","Niverville",5,11,16,6,218,1,257,369
46008,"Provencher/Provencher"," 49B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,21
46008,"Provencher/Provencher"," 50","Niverville",21,16,27,14,305,3,386,594
46008,"Provencher/Provencher"," 51","Niverville",13,31,26,13,254,1,338,562
46008,"Provencher/Provencher"," 52","Niverville",30,23,44,10,307,2,416,867
46008,"Provencher/Provencher"," 53","New Bothwell",7,15,17,15,201,3,258,486
46008,"Provencher/Provencher"," 54","Oak Island Settlement",9,32,16,4,122,1,184,303
46008,"Provencher/Provencher"," 55","Ile des Chênes",12,44,55,6,156,2,275,508
46008,"Provencher/Provencher"," 56","Ile des Chênes",19,60,43,1,139,0,262,479
46008,"Provencher/Provencher"," 57","Ile des Chênes",22,54,54,3,164,2,299,572
46008,"Provencher/Provencher"," 58","Ile des Chênes",16,66,44,5,131,0,262,476
46008,"Provencher/Provencher"," 59","Lorette",21,36,40,3,123,1,224,411
46008,"Provencher/Provencher"," 60","Lorette",39,73,123,19,262,0,516,991
46008,"Provencher/Provencher"," 61","Lorette",10,27,42,2,86,0,167,346
46008,"Provencher/Provencher"," 62","Lorette",11,31,23,2,63,0,130,263
46008,"Provencher/Provencher"," 63","Lorette",Void/Supprimé,,,,,,,
46008,"Provencher/Provencher"," 64","Lorette",6,29,41,4,105,0,185,354
46008,"Provencher/Provencher"," 65","Rosewood",15,30,54,8,134,1,242,485
46008,"Provencher/Provencher"," 66","Lorette",15,44,47,9,138,1,254,391
46008,"Provencher/Provencher"," 67","Landmark",23,20,49,13,267,4,376,704
46008,"Provencher/Provencher"," 68","Taché",15,21,32,5,173,1,247,414
46008,"Provencher/Provencher"," 69","Linden",10,8,17,10,77,0,122,223
46008,"Provencher/Provencher"," 70","Ste. Anne",9,15,12,10,71,1,118,336
46008,"Provencher/Provencher"," 71","Ste. Anne",10,37,21,4,38,1,111,243
46008,"Provencher/Provencher"," 72","Ste. Anne",18,72,54,6,127,7,284,522
46008,"Provencher/Provencher"," 73","Ste. Anne",6,57,38,5,87,2,195,436
46008,"Provencher/Provencher"," 74","Ste. Anne",15,36,19,7,45,0,122,206
46008,"Provencher/Provencher"," 75","Ste-Geneviève",36,67,102,8,180,0,393,685
46008,"Provencher/Provencher"," 76","Paradise Village",10,51,62,5,234,0,362,470
46008,"Provencher/Provencher"," 77","Ste. Anne",29,40,58,5,108,2,242,433
46008,"Provencher/Provencher"," 78","Richer",16,39,66,3,122,0,246,573
46008,"Provencher/Provencher"," 79","Ross",16,26,37,0,89,2,170,359
46008,"Provencher/Provencher"," 80","Sperling",4,7,14,1,46,2,74,184
46008,"Provencher/Provencher"," 81","Rosenort",3,14,1,6,131,1,156,247
46008,"Provencher/Provencher"," 82","Rosenort",9,10,2,12,223,0,256,519
46008,"Provencher/Provencher"," 83","Aubigny",9,5,4,1,47,0,66,114
