Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Abrams,Rick Downes,Peter Milliken,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 220","Kingston",47,22,59,26,1,155,336
35036,"Kingston and the Islands/Kingston et les Îles"," 221A","Kingston",163,50,113,25,0,351,527
35036,"Kingston and the Islands/Kingston et les Îles"," 221B","Kingston",134,51,128,24,1,338,456
35036,"Kingston and the Islands/Kingston et les Îles"," 221-1","Pittsburgh",Merged with No. 221B/Fusionné avec le nº 221B,,,,,,59
35036,"Kingston and the Islands/Kingston et les Îles"," 222","Kingston",170,70,116,33,1,390,584
35036,"Kingston and the Islands/Kingston et les Îles"," 222-1","Pittsburgh",34,11,30,11,1,87,161
35036,"Kingston and the Islands/Kingston et les Îles"," 223","Kingston",117,51,106,25,1,300,464
35036,"Kingston and the Islands/Kingston et les Îles"," 223-1","Pittsburgh",37,10,14,2,0,63,102
35036,"Kingston and the Islands/Kingston et les Îles"," 224","Howe Island",124,30,128,28,0,310,450
35036,"Kingston and the Islands/Kingston et les Îles"," 225","Wolfe Island",108,33,109,29,0,279,412
35036,"Kingston and the Islands/Kingston et les Îles"," 226","Wolfe Island",98,26,142,47,0,313,487
35036,"Kingston and the Islands/Kingston et les Îles"," 400","Kingston",10,10,30,2,1,53,180
35036,"Kingston and the Islands/Kingston et les Îles"," 401","Kingston",31,23,50,7,4,115,205
35036,"Kingston and the Islands/Kingston et les Îles"," 402","Kingston",101,59,151,71,3,385,507
35036,"Kingston and the Islands/Kingston et les Îles"," 403","Kingston",Merged with No. 206-1D/Fusionné avec le nº 206-1D,,,,,,88
35036,"Kingston and the Islands/Kingston et les Îles"," 404","Kingston",24,8,59,6,5,102,235
35036,"Kingston and the Islands/Kingston et les Îles"," 405","Kingston",Merged with No. 148B/Fusionné avec le nº 148B,,,,,,120
35036,"Kingston and the Islands/Kingston et les Îles"," 406","Kingston",Merged with No. 206/Fusionné avec le nº 206,,,,,,108
35036,"Kingston and the Islands/Kingston et les Îles"," 407","Kingston",13,16,20,6,1,56,131
35036,"Kingston and the Islands/Kingston et les Îles"," 408","Kingston",29,40,34,7,0,110,196
35036,"Kingston and the Islands/Kingston et les Îles"," 409","Kingston",22,33,21,3,0,79,199
35036,"Kingston and the Islands/Kingston et les Îles"," 500","Mobile poll/Bureau itinérant",35,20,57,3,1,116,183
35036,"Kingston and the Islands/Kingston et les Îles"," 501","Mobile poll/Bureau itinérant",31,4,30,2,1,68,95
35036,"Kingston and the Islands/Kingston et les Îles"," 502","Mobile poll/Bureau itinérant",55,23,85,6,1,170,69
35036,"Kingston and the Islands/Kingston et les Îles"," 503","Mobile poll/Bureau itinérant",23,5,24,5,1,58,170
35036,"Kingston and the Islands/Kingston et les Îles"," 504","Mobile poll/Bureau itinérant",15,8,73,3,1,100,209
35036,"Kingston and the Islands/Kingston et les Îles"," 600","Kingston",53,13,21,9,2,98,
35036,"Kingston and the Islands/Kingston et les Îles"," 601","Kingston",333,58,237,53,2,683,
35036,"Kingston and the Islands/Kingston et les Îles"," 602","High Gate Park",411,122,359,52,0,944,
35036,"Kingston and the Islands/Kingston et les Îles"," 603","Rideau Heights",213,133,215,42,1,604,
