Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Szilvia Barna,John Cummins,Matthew Laine,Dana L. Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Delta--Richmond East/Delta--Richmond-Est"," 155","Delta",23,168,20,52,0,263,415
59006,"Delta--Richmond East/Delta--Richmond-Est"," 156","Delta",30,78,29,40,0,177,272
59006,"Delta--Richmond East/Delta--Richmond-Est"," 157","Delta",35,171,20,29,0,255,457
59006,"Delta--Richmond East/Delta--Richmond-Est"," 158","Delta",23,150,13,28,0,214,361
59006,"Delta--Richmond East/Delta--Richmond-Est"," 159","Delta",22,201,13,57,2,295,464
59006,"Delta--Richmond East/Delta--Richmond-Est"," 160","Delta",27,142,15,42,0,226,376
59006,"Delta--Richmond East/Delta--Richmond-Est"," 161","Delta",27,171,27,50,0,275,446
59006,"Delta--Richmond East/Delta--Richmond-Est"," 162","Delta",23,146,19,49,2,239,405
59006,"Delta--Richmond East/Delta--Richmond-Est"," 163","Delta",33,105,25,46,0,209,367
59006,"Delta--Richmond East/Delta--Richmond-Est"," 164","Delta",27,162,19,50,0,258,413
59006,"Delta--Richmond East/Delta--Richmond-Est"," 165","Delta",27,164,30,57,1,279,427
59006,"Delta--Richmond East/Delta--Richmond-Est"," 166","Delta",17,137,23,43,1,221,412
59006,"Delta--Richmond East/Delta--Richmond-Est"," 167","Delta",21,162,18,50,0,251,391
59006,"Delta--Richmond East/Delta--Richmond-Est"," 168","Delta",24,188,22,45,0,279,412
59006,"Delta--Richmond East/Delta--Richmond-Est"," 169","Delta",32,176,31,62,1,302,441
59006,"Delta--Richmond East/Delta--Richmond-Est"," 170","Delta",12,184,22,40,0,258,445
59006,"Delta--Richmond East/Delta--Richmond-Est"," 171","Delta",9,127,11,26,0,173,306
59006,"Delta--Richmond East/Delta--Richmond-Est"," 172","Delta",32,140,37,58,0,267,421
59006,"Delta--Richmond East/Delta--Richmond-Est"," 173","Delta",19,216,23,46,0,304,434
59006,"Delta--Richmond East/Delta--Richmond-Est"," 174","Delta",15,133,28,50,0,226,342
59006,"Delta--Richmond East/Delta--Richmond-Est"," 500A","Mobile poll/Bureau itinérant",16,33,8,28,0,85,75
59006,"Delta--Richmond East/Delta--Richmond-Est"," 500B","Mobile poll/Bureau itinérant",19,29,3,8,7,66,44
59006,"Delta--Richmond East/Delta--Richmond-Est"," 501","Mobile poll/Bureau itinérant",17,135,13,28,4,197,279
59006,"Delta--Richmond East/Delta--Richmond-Est"," 502","Mobile poll/Bureau itinérant",12,22,8,11,1,54,79
59006,"Delta--Richmond East/Delta--Richmond-Est"," 503","Mobile poll/Bureau itinérant",12,20,4,5,0,41,75
59006,"Delta--Richmond East/Delta--Richmond-Est"," 600","Richmond",72,253,11,74,1,411,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 601","Richmond--Delta",24,51,6,25,0,106,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 602","Richmond",44,159,17,62,0,282,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 603","Richmond",34,160,15,80,2,291,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 604","Richmond",46,146,21,67,0,280,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 605","Richmond",33,187,24,81,1,326,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 606","Delta",61,294,29,78,3,465,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 607","Delta",35,267,27,46,0,375,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 608","Delta",53,385,31,85,1,555,
59006,"Delta--Richmond East/Delta--Richmond-Est"," 609","Delta",37,381,40,86,1,545,
59006,"Delta--Richmond East/Delta--Richmond-Est",,Group 1/Groupe 1,7,43,8,21,2,81,121
59006,"Delta--Richmond East/Delta--Richmond-Est",,Group 2/Groupe 2,55,309,28,89,14,495,

