Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Dianne Musgrove,Lorraine Rekmans,Brent St. Denis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 123","Elliot Lake",89,23,10,35,0,157,319
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 124","Elliot Lake",73,29,4,37,0,143,330
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 125","Elliot Lake",119,41,16,93,2,271,499
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 126","Elliot Lake",106,42,7,73,2,230,371
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 127","Elliot Lake",81,49,9,48,0,187,332
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 128","Elliot Lake",90,28,8,56,4,186,422
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 129","Elliot Lake",66,26,8,41,1,142,359
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 130","Elliot Lake",44,37,8,52,1,142,309
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 131","Elliot Lake",63,25,4,37,0,129,329
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 132","Elliot Lake",76,28,6,48,0,158,402
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 133","Elliot Lake",67,32,8,44,2,153,322
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 134","Elliot Lake",55,30,3,58,0,146,325
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 135","Elliot Lake",55,22,1,41,0,119,293
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 136","Elliot Lake",56,21,7,24,0,108,324
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 137","Elliot Lake",63,14,3,37,0,117,268
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 138","Elliot Lake",126,47,9,76,0,258,533
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 139","Elliot Lake",83,84,14,38,1,220,477
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 140","Elliot Lake",81,62,14,55,2,214,476
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 141","Elliot Lake",70,55,8,38,1,172,429
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 142","Massey",69,9,9,19,0,106,192
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 143","Spanish",79,31,5,84,0,199,374
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 144","Serpent River 7",51,3,36,35,2,127,256
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 145","Serpent River",36,14,1,14,0,65,118
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 146","Spanish",49,11,8,45,0,113,219
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 147","Walford",64,28,5,59,0,156,299
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 148","Sagamok",91,5,1,67,0,164,392
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 149","May--Harrow",70,50,6,59,1,186,527
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 150","Massey",70,26,5,32,1,134,265
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 151","Massey",42,14,4,28,0,88,198
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 152","Massey",59,11,6,35,0,111,270
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 153","Webbwood",98,46,10,47,0,201,399
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 154","Webbwood",59,16,2,26,0,103,199
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 155","Hallam--Lee Valley",50,12,1,16,0,79,161
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 156","Nairn Centre",79,32,9,36,0,156,339
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 157","McKerrow",112,41,13,38,0,204,456
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 158","Espanola",99,30,16,75,1,221,434
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 159","Espanola",90,26,6,72,1,195,398
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 160","Espanola",105,38,10,61,0,214,430
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 161","Espanola",97,31,12,52,1,193,378
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 162","Espanola",80,23,8,46,1,158,379
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 163","Espanola",110,21,1,36,0,168,380
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 164","Espanola",97,29,8,30,1,165,316
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 165","Espanola",86,32,7,47,0,172,390
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 166","Espanola",80,26,4,40,0,150,351
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 167","Espanola",74,28,6,41,0,149,454
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 168","Anderson Lake",97,36,23,40,1,197,369
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 169","Killarney TWP",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 170","Whitefish Falls",41,38,12,42,0,133,248
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 171","Birch Island--Whitefish River 4",76,15,4,43,1,139,259
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 172","Little Current",49,35,10,36,0,130,284
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 173","Honora--Rockville",26,30,6,38,1,101,216
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 174","Sucker Creek 23",33,2,3,33,0,71,175
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 175","Howland",31,26,13,47,1,118,295
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 176","Little Current",36,25,7,36,0,104,235
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 177","Little Current",123,57,8,78,1,267,623
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 178","Little Current",Void/Supprimé,,,,,,
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 179","Sheguiandah",101,32,19,58,0,210,472
