Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Jamie McGarvey,David Rowland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 121","Baxter",19,133,10,42,0,0,204,352
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 121-1","Georgian Bay",7,86,11,31,0,0,135,209
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 122","Baxter",24,121,27,46,1,0,219,453
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 123","Honey Harbour",18,75,11,46,2,2,154,306
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 124","Gravenhurst",17,70,21,61,1,0,170,308
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 125","Gravenhurst",34,69,26,39,3,0,171,447
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 126A","Gravenhurst",18,40,22,21,1,0,102,257
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 126B","Gravenhurst",31,50,8,28,0,0,117,246
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 127","Gravenhurst",27,60,13,40,0,0,140,354
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 128","Gravenhurst",34,70,19,47,0,0,170,393
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 129","Gravenhurst",37,67,17,20,5,0,146,395
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 130","Gravenhurst",24,59,22,52,0,0,157,344
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 131A","Bala",15,96,24,50,0,0,185,276
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 131B","Bala",12,88,20,56,1,2,179,259
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 131-1A","Muskoka Lakes",Merged with No. 131A/Fusionné avec le nº 131A,,,,,,,31
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 131-1B","Muskoka Lakes",Merged with No. 131B/Fusionné avec le nº 131B,,,,,,,19
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 132","Bala",30,94,26,49,0,2,201,319
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 133","Walkers Point",16,64,16,47,1,0,144,233
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 134","Gravenhurst",24,79,25,33,0,0,161,379
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 134-1","Gravenhurst",14,81,11,29,1,0,136,330
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 135","Gravenhurst",4,46,6,21,2,0,79,146
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 136","Gravenhurst",18,78,29,61,0,0,186,341
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 137A","Gravenhurst",18,95,29,38,0,0,180,332
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 137B","Gravenhurst",22,90,20,43,0,1,176,351
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 137-1A","Gravenhurst",Merged with No. 137A/Fusionné avec le nº 137A,,,,,,,46
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 137-1B","Gravenhurst",Merged with No. 137B/Fusionné avec le nº 137B,,,,,,,40
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 138A","Gravenhurst",27,53,8,23,1,0,112,290
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 138B","Gravenhurst",14,74,12,17,1,0,118,286
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 139A","Gravenhurst",7,59,9,51,2,0,128,274
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 139B","Gravenhurst",14,62,11,42,0,0,129,289
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 140","Gravenhurst",7,42,12,26,2,2,91,215
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 141","Southwood",9,46,10,21,1,0,87,236
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 142A","Gravenhurst",20,83,16,38,2,0,159,290
