Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Carroll,Margaret Chandler,Jason Kenney,Chris Willott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Southeast/Calgary-Sud-Est"," 153","Calgary",20,31,118,25,0,194,387
48007,"Calgary Southeast/Calgary-Sud-Est"," 154","Calgary",Void/Supprimé,,,,,,
48007,"Calgary Southeast/Calgary-Sud-Est"," 155","Calgary",21,25,165,6,0,217,372
48007,"Calgary Southeast/Calgary-Sud-Est"," 156","Calgary",25,23,188,6,0,242,398
48007,"Calgary Southeast/Calgary-Sud-Est"," 157","Calgary",19,31,205,12,0,267,444
48007,"Calgary Southeast/Calgary-Sud-Est"," 158","Calgary",31,15,194,8,0,248,391
48007,"Calgary Southeast/Calgary-Sud-Est"," 159","Calgary",25,22,194,17,0,258,400
48007,"Calgary Southeast/Calgary-Sud-Est"," 160","Calgary",20,25,252,14,0,311,517
48007,"Calgary Southeast/Calgary-Sud-Est"," 161","Calgary",11,17,156,10,0,194,338
48007,"Calgary Southeast/Calgary-Sud-Est"," 162","Calgary",20,9,138,9,1,177,362
48007,"Calgary Southeast/Calgary-Sud-Est"," 163","Calgary",22,11,212,13,0,258,428
48007,"Calgary Southeast/Calgary-Sud-Est"," 164","Calgary",6,26,126,16,0,174,329
48007,"Calgary Southeast/Calgary-Sud-Est"," 165","Calgary",16,19,221,14,0,270,448
48007,"Calgary Southeast/Calgary-Sud-Est"," 166","Calgary",20,21,157,11,0,209,378
48007,"Calgary Southeast/Calgary-Sud-Est"," 167","Calgary",34,33,251,20,0,338,590
48007,"Calgary Southeast/Calgary-Sud-Est"," 168","Calgary",13,17,190,9,0,229,403
48007,"Calgary Southeast/Calgary-Sud-Est"," 169","Calgary",30,17,211,22,0,280,498
48007,"Calgary Southeast/Calgary-Sud-Est"," 170","Calgary",22,26,194,23,0,265,448
48007,"Calgary Southeast/Calgary-Sud-Est"," 171","Calgary",8,6,110,11,0,135,301
48007,"Calgary Southeast/Calgary-Sud-Est"," 171-1","Calgary",8,7,121,9,0,145,254
48007,"Calgary Southeast/Calgary-Sud-Est"," 172","Calgary",21,27,281,18,0,347,575
48007,"Calgary Southeast/Calgary-Sud-Est"," 172-1A","Calgary",16,7,128,13,0,164,297
48007,"Calgary Southeast/Calgary-Sud-Est"," 172-1B","Calgary",16,7,126,6,0,155,341
48007,"Calgary Southeast/Calgary-Sud-Est"," 173A","Calgary",12,19,226,20,0,277,572
48007,"Calgary Southeast/Calgary-Sud-Est"," 173B","Calgary",20,27,215,10,0,272,531
48007,"Calgary Southeast/Calgary-Sud-Est"," 173-1","Calgary",12,20,144,9,0,185,386
48007,"Calgary Southeast/Calgary-Sud-Est"," 173-2","Calgary",9,11,122,15,0,157,372
48007,"Calgary Southeast/Calgary-Sud-Est"," 173-3","Calgary",13,16,100,9,0,138,211
48007,"Calgary Southeast/Calgary-Sud-Est"," 174A","Calgary",7,14,103,15,0,139,301
48007,"Calgary Southeast/Calgary-Sud-Est"," 174B","Calgary",7,13,109,11,0,140,328
48007,"Calgary Southeast/Calgary-Sud-Est"," 175","Calgary",22,15,204,14,1,256,486
48007,"Calgary Southeast/Calgary-Sud-Est"," 176","Calgary",31,32,232,17,0,312,567
48007,"Calgary Southeast/Calgary-Sud-Est"," 177","Calgary",14,20,166,29,1,230,486
48007,"Calgary Southeast/Calgary-Sud-Est"," 178","Calgary",23,11,146,11,1,192,376
48007,"Calgary Southeast/Calgary-Sud-Est"," 179","Calgary",4,5,95,0,0,104,189
48007,"Calgary Southeast/Calgary-Sud-Est"," 180","Calgary",9,17,195,13,0,234,392
48007,"Calgary Southeast/Calgary-Sud-Est"," 181","Calgary",27,18,147,13,0,205,346
48007,"Calgary Southeast/Calgary-Sud-Est"," 182","Calgary",24,14,177,5,0,220,400
48007,"Calgary Southeast/Calgary-Sud-Est"," 183","Calgary",16,14,208,10,0,248,425
48007,"Calgary Southeast/Calgary-Sud-Est"," 184","Calgary",16,19,141,8,0,184,312
48007,"Calgary Southeast/Calgary-Sud-Est"," 185","Calgary",24,18,205,22,0,269,529
48007,"Calgary Southeast/Calgary-Sud-Est"," 186","Calgary",12,13,111,22,1,159,321
48007,"Calgary Southeast/Calgary-Sud-Est"," 187","Calgary",8,22,105,10,1,146,294
48007,"Calgary Southeast/Calgary-Sud-Est"," 188","Calgary",6,19,138,19,0,182,365
48007,"Calgary Southeast/Calgary-Sud-Est"," 189","Calgary",24,22,187,13,1,247,415
48007,"Calgary Southeast/Calgary-Sud-Est"," 190","Calgary",16,14,164,6,1,201,381
48007,"Calgary Southeast/Calgary-Sud-Est"," 191","Calgary",14,25,161,20,0,220,476
48007,"Calgary Southeast/Calgary-Sud-Est"," 192","Calgary",20,30,151,26,1,228,432
48007,"Calgary Southeast/Calgary-Sud-Est"," 193A","Calgary",16,12,119,5,2,154,331
48007,"Calgary Southeast/Calgary-Sud-Est"," 193B","Calgary",15,13,139,5,0,172,374
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-1","Calgary",19,20,178,9,1,227,561
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-2A","Calgary",23,8,113,12,1,157,389
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-2B","Calgary",17,16,116,16,0,165,388
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-3","Calgary",8,20,151,32,1,212,498
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-4","Calgary",9,9,98,2,0,118,239
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-5","Calgary",11,5,137,15,0,168,418
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-6A","Calgary",19,9,94,22,0,144,402
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-6B","Calgary",11,15,109,10,0,145,368
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-7","Calgary",18,14,145,10,0,187,459
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-8","Calgary",14,10,151,14,0,189,462
48007,"Calgary Southeast/Calgary-Sud-Est"," 193-9","Calgary",20,14,195,14,2,245,553
48007,"Calgary Southeast/Calgary-Sud-Est"," 194A","Calgary",25,17,183,15,0,240,466
48007,"Calgary Southeast/Calgary-Sud-Est"," 194B","Calgary",23,28,186,28,0,265,511
48007,"Calgary Southeast/Calgary-Sud-Est"," 194-1A","Calgary",14,16,79,11,0,120,276
48007,"Calgary Southeast/Calgary-Sud-Est"," 194-1B","Calgary",15,15,108,15,0,153,293
48007,"Calgary Southeast/Calgary-Sud-Est"," 194-2","Calgary",27,38,207,32,0,304,552
48007,"Calgary Southeast/Calgary-Sud-Est"," 195","Calgary",21,4,74,7,0,106,328
48007,"Calgary Southeast/Calgary-Sud-Est"," 195-1","Calgary",21,37,180,31,2,271,541
48007,"Calgary Southeast/Calgary-Sud-Est"," 195-2A","Calgary",16,19,110,22,0,167,418
48007,"Calgary Southeast/Calgary-Sud-Est"," 195-2B","Calgary",23,20,115,25,0,183,447
48007,"Calgary Southeast/Calgary-Sud-Est"," 195-3","Calgary",16,17,89,10,0,132,286
48007,"Calgary Southeast/Calgary-Sud-Est"," 195-4","Calgary",17,20,113,17,0,167,396
48007,"Calgary Southeast/Calgary-Sud-Est"," 196","Calgary",13,17,120,10,0,160,353
48007,"Calgary Southeast/Calgary-Sud-Est"," 197A","Calgary",13,14,101,12,0,140,307
48007,"Calgary Southeast/Calgary-Sud-Est"," 197B","Calgary",9,16,114,14,0,153,317
48007,"Calgary Southeast/Calgary-Sud-Est"," 197-1","Calgary",19,27,158,19,0,223,459
