Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Terry Christopher Butler,Greg Byrne,Ryan Cleary,Siobhan Coady,Ted Warren,Merv Wiseman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 121","Mount Pearl",1,1,35,91,1,18,0,147,276
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 122","St. John's",0,1,77,63,1,16,0,158,323
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 123","St. John's",5,1,64,65,1,17,0,153,267
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 124","Mount Pearl",0,2,89,71,0,14,1,177,382
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 125","Mount Pearl",2,5,98,105,5,30,2,247,458
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 126","Mount Pearl",0,1,117,149,4,23,0,294,499
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 127","Mount Pearl",1,5,128,137,11,56,0,338,577
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 128","Mount Pearl",2,2,91,95,4,23,0,217,336
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 128-1","Mount Pearl",0,2,52,37,1,14,0,106,166
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 129A","Mount Pearl",1,1,40,94,7,31,0,174,299
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 129B","Mount Pearl",1,1,41,108,1,36,0,188,322
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 130","Mount Pearl",0,1,84,110,1,25,0,221,409
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 131","Mount Pearl",1,1,53,65,2,27,0,149,317
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 132","Mount Pearl",1,1,108,121,9,39,0,279,485
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 133","St. John's",2,1,82,49,3,22,0,159,379
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 134","St. John's",0,1,83,59,0,21,0,164,451
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 135","St. John's",0,4,72,45,0,30,0,151,358
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 136","St. John's",0,0,57,42,5,11,0,115,284
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 137","St. John's",0,0,94,126,8,41,0,269,453
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 138","St. John's",1,0,49,90,3,19,0,162,280
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 139","St. John's",1,1,108,176,6,60,2,354,542
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 140","St. John's",0,0,55,106,2,6,0,169,314
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 141","St. John's",1,1,121,161,4,46,0,334,571
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 142","St. John's",6,8,145,105,8,27,2,301,574
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 143","St. John's",2,2,74,81,4,15,0,178,465
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 144","St. John's",0,3,52,76,2,18,0,151,291
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 145","St. John's",1,1,76,70,3,31,2,184,363
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 146","St. John's",1,1,55,78,2,19,0,156,282
