Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alina Abbott,Ron Cadotte,Matt Daudlin,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 164","Chatham",9,37,65,133,1,245,395
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 165","Chatham",11,35,58,77,1,182,299
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 166","Chatham",13,27,57,93,3,193,342
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 167","Chatham",8,34,21,55,2,120,330
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 168","Chatham",9,21,60,158,0,248,424
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 169","Chatham",9,23,45,111,0,188,360
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 170","Chatham",15,21,61,160,0,257,445
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 171","Chatham",11,5,51,67,1,135,238
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 172","Chatham",13,14,64,123,0,214,364
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 173","Charing Cross",11,17,20,75,0,123,240
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 174","Blenheim",13,17,42,115,0,187,346
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 175","Cedar Springs",10,26,49,80,0,165,321
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 176","Blenheim",17,54,40,84,1,196,441
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 177","Blenheim",8,20,33,60,0,121,330
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 178","Blenheim",15,34,45,108,0,202,414
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 179","Blenheim",13,42,49,76,2,182,374
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 180","Blenheim",15,27,39,66,0,147,279
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 181","Blenheim",12,74,48,84,2,220,439
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 182","Blenheim",8,39,26,73,0,146,292
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 183","Blenheim",0,19,31,94,0,144,290
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 184","Blenheim",17,49,76,131,2,275,487
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 185","Blenheim",10,14,28,112,1,165,333
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 186","Blenheim",24,46,53,97,2,222,499
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 187","Blenheim",13,21,36,70,0,140,327
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 188A","Cedar Springs",13,34,35,59,0,141,261
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 188B","Cedar Springs",18,19,50,68,0,155,251
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 189","Cedar Springs",Void/Supprimé,,,,,,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 190","Erieau",30,36,58,96,0,220,349
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 191","Morpeth",17,18,58,144,1,238,415
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 192","Kent Bridge",19,16,52,96,0,183,319
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 193","Kent Bridge",19,22,65,94,0,200,337
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 194","Ridgetown",15,25,40,79,2,161,288
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 195","Ridgetown",14,40,65,73,0,192,369
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 196","Ridgetown",18,39,48,78,0,183,365
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 197","Ridgetown",15,29,33,48,1,126,293
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 198","Ridgetown",9,22,50,96,0,177,363
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 199","Ridgetown",25,29,50,111,1,216,382
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 200","Ridgetown",10,30,36,73,0,149,293
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 201","Ridgetown",12,26,52,88,0,178,302
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 202","Morpeth",14,24,61,122,1,222,366
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 203","Morpeth",20,40,28,59,1,148,282
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 204","Moraviantown",4,34,20,5,0,63,176
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 205","Highgate",13,20,51,84,1,169,311
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 206","Highgate",10,54,43,54,0,161,288
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 207","Highgate",18,17,34,60,0,129,222
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 208","Highgate",16,22,51,82,0,171,303
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 400","Leamington",5,7,20,25,3,60,166
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 401","Chatham",4,2,36,74,2,118,191
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 402","Chatham",0,7,17,19,3,46,153
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 403","Chatham",2,16,22,38,2,80,318
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 500","Mobile poll/Bureau itinérant",3,7,31,61,3,105,157
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 501","Mobile poll/Bureau itinérant",1,10,28,37,2,78,172
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 502","Mobile poll/Bureau itinérant",5,7,16,17,2,47,123
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 503","Mobile poll/Bureau itinérant",2,6,28,9,3,48,101
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 504","Mobile poll/Bureau itinérant",8,1,13,19,0,41,148
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 505","Mobile poll/Bureau itinérant",3,6,25,39,0,73,138
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 506","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,106
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 507","Mobile poll/Bureau itinérant",5,2,27,35,1,70,108
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 600","Leamington",26,46,124,244,2,442,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 601","Leamington",32,64,159,318,4,577,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 602","Wheatley",14,20,48,126,1,209,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 603","Tilbury",18,77,148,168,0,411,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 604","Raleigh",19,36,68,208,0,331,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 605","Chatham",13,46,139,225,0,423,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 606","Chatham",28,47,168,284,1,528,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 607","Chatham",19,46,71,136,3,275,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 608","Chatham",29,51,121,309,0,510,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 609","Blenheim",46,71,170,341,2,630,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 610","Ridgetown",23,65,134,249,0,471,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex",,Group 1/Groupe 1,3,5,16,49,1,74,157
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex",,Group 2/Groupe 2,34,56,150,221,2,463,

