Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bellavance,François Fillion,Gwyneth Helen Grant,Jean Landry,Éric Lefebvre,Stéphane Ricard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 167","Ulverton",74,11,59,0,31,23,0,198,313
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 168","Cleveland",17,6,74,2,48,5,3,155,269
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 169","Cleveland",107,12,68,0,69,36,2,294,478
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 170","Cleveland",96,14,76,2,60,20,6,274,489
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 171","Richmond",83,9,44,1,25,17,1,180,336
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 172","Richmond",69,4,41,1,20,20,4,159,330
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 173","Richmond",82,2,63,0,57,11,6,221,448
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 174","Richmond",65,12,60,1,40,25,1,204,388
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 175","Richmond",62,9,65,1,61,13,3,214,401
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 176","Richmond",44,12,45,0,32,15,3,151,354
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 177","Richmond",47,7,71,3,52,32,3,215,382
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 178","Melbourne",98,9,92,1,47,29,2,278,422
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 179","Melbourne",44,0,24,1,34,21,2,126,213
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 180","Kingsbury",45,10,31,1,31,18,7,143,216
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 181","Val-Joli",44,0,13,1,22,18,2,100,172
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 182","Val-Joli",111,10,38,0,47,26,3,235,387
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 183","Val-Joli",170,2,38,1,49,32,9,301,501
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 184","Windsor",64,2,15,0,40,27,6,154,302
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 185","Windsor",95,5,20,0,41,29,6,196,318
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 186","Windsor",125,4,23,1,39,20,3,215,373
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 187","Windsor",120,10,33,2,47,26,1,239,416
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 188","Windsor",79,13,16,2,23,19,3,155,330
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 189","Windsor",125,13,33,3,37,29,3,243,439
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 190","Windsor",Void/Supprimé,,,,,,,,
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 191","Windsor",107,4,24,2,40,26,3,206,477
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 192","Windsor",111,8,23,1,37,28,3,211,444
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 193","Windsor",93,4,29,1,26,27,5,185,362
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 194","Windsor",53,1,22,1,30,15,1,123,223
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 195","Saint-Grégoire-de-Greenlay",108,6,29,0,55,34,5,237,475
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 196","Saint-François-Xavier-de-Brompton",124,4,18,0,43,22,2,213,342
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 197A","Saint-François-Xavier-de-Brompton",83,6,16,0,32,21,4,162,259
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 197B","Saint-François-Xavier-de-Brompton",79,3,24,0,26,29,4,165,266
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 198","Saint-François-Xavier-de-Brompton",164,11,24,1,53,25,2,280,483
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 199","Saint-François-Xavier-de-Brompton",111,9,21,1,23,21,1,187,302
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 200","Saint-Denis-de-Brompton",149,10,32,3,38,33,2,267,472
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 201","Saint-Denis-de-Brompton",159,7,57,1,54,45,2,325,493
24055,"Richmond--Arthabaska/Richmond--Arthabaska"," 201-1A","Saint-Denis-de-Brompton",87,4,17,0,28,22,4,162,258
