Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Dufort,Marc Garneau,Claude William Genest,Anne Lagacé Dowson,Charles Larivée,David Sommer Rovins,Bill Sloan,Linda Sullivan,Judith Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 170","Montréal",18,86,16,75,11,0,1,0,2,2,211,371
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 171","Montréal",12,62,16,78,3,0,0,0,0,1,172,269
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 172","Montréal",15,124,25,88,37,0,0,0,3,3,295,533
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 173","Montréal",13,93,21,105,14,0,1,1,0,1,249,495
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 174","Montréal",35,143,19,62,7,1,0,0,0,2,269,568
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 175","Montréal",15,58,15,49,11,0,0,0,0,1,149,396
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 400","Montréal",13,45,5,13,4,0,0,0,0,0,80,295
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 401","Montréal",8,23,1,15,11,0,2,0,0,0,60,179
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 402","Montréal",46,68,3,8,16,0,0,0,0,0,141,190
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 403","Montréal",18,68,7,29,31,0,0,0,0,0,153,230
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 404","Montréal",Merged with No. 402/Fusionné avec le nº 402,,,,,,,,,,,83
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 405","Montréal",Merged with No. 406/Fusionné avec le nº 406,,,,,,,,,,,47
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 406","Westmount",27,59,6,11,0,0,0,0,0,0,103,420
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 407","Mobile poll/Bureau itinérant",13,36,3,3,4,0,1,1,0,0,61,109
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 500","Mobile poll/Bureau itinérant",7,36,2,3,5,0,0,1,1,1,56,214
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 501","Mobile poll/Bureau itinérant",11,86,6,5,1,0,0,0,1,0,110,255
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 502","Mobile poll/Bureau itinérant",24,83,4,4,2,0,0,1,0,4,122,281
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 600","Montréal",57,229,23,151,89,0,1,3,4,2,559,
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 601","Montréal",34,123,17,55,44,0,0,0,1,1,275,
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 602","Montréal",189,301,15,42,15,0,0,0,0,0,562,
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 603","Montréal",176,437,35,101,36,0,2,1,1,3,792,
24075,"Westmount--Ville-Marie/Westmount--Ville-Marie"," 604","Westmount",235,514,44,92,8,0,0,0,1,4,898,
