Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Boudria,Jean-Sébastien Caron,Pierre Lemieux,Sylvie Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 130-1","The Nation / La Nation",92,42,113,12,2,261,392
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 131","Benoit",54,21,69,3,1,148,264
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 132","Forest Park",71,36,119,25,2,253,406
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 133","Benoit",77,22,101,15,3,218,459
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 134","Longtinville",51,43,66,7,1,168,307
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 134-1","The Nation / La Nation",47,19,55,12,0,133,239
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 135","St-Albert",55,19,38,6,2,120,167
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 135-1","The Nation / La Nation",103,43,67,18,0,231,356
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 136","Mayerville",71,19,78,4,0,172,341
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 137","Cambridge",92,29,79,13,5,218,368
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 138","Riceville",61,20,130,13,4,228,351
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 139","Ste-Rose-de-Prescott",92,37,133,7,3,272,459
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 140","Fournier",89,32,142,16,0,279,445
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 141","St. Isidore",83,33,96,16,0,228,325
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 142","St. Isidore",58,13,72,13,0,156,246
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 143","Casselman",83,32,88,16,0,219,382
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 144","Casselman",63,17,74,5,1,160,334
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 144-1","Casselman",103,18,72,4,0,197,304
35025,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 145","Casselman",63,23,68,5,3,162,336
