Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rod Bruinooge,David Cosby,John Loewen,Heidi Loewen-Steffano,Sean Robert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South/Winnipeg-Sud"," 112","Winnipeg",73,10,60,1,26,0,170,341
46013,"Winnipeg South/Winnipeg-Sud"," 113","Winnipeg",65,10,48,0,23,1,147,313
46013,"Winnipeg South/Winnipeg-Sud"," 114A","Winnipeg",91,12,57,0,23,3,186,283
46013,"Winnipeg South/Winnipeg-Sud"," 114B","Winnipeg",78,11,59,2,22,0,172,281
46013,"Winnipeg South/Winnipeg-Sud"," 115","Winnipeg",81,5,40,1,27,1,155,332
46013,"Winnipeg South/Winnipeg-Sud"," 116","Winnipeg",91,8,56,0,37,1,193,347
46013,"Winnipeg South/Winnipeg-Sud"," 117A","Winnipeg",75,3,36,1,17,0,132,250
46013,"Winnipeg South/Winnipeg-Sud"," 117B","Winnipeg",88,13,40,0,14,1,156,305
46013,"Winnipeg South/Winnipeg-Sud"," 118","Winnipeg",126,12,83,1,42,2,266,439
46013,"Winnipeg South/Winnipeg-Sud"," 119","Winnipeg",115,17,97,0,43,0,272,467
46013,"Winnipeg South/Winnipeg-Sud"," 120A","Winnipeg",32,2,28,1,15,0,78,124
46013,"Winnipeg South/Winnipeg-Sud"," 120B","Mobile poll/Bureau itinérant",72,12,58,5,32,5,184,203
46013,"Winnipeg South/Winnipeg-Sud"," 120-1","Winnipeg",131,14,71,0,53,1,270,496
46013,"Winnipeg South/Winnipeg-Sud"," 121","Winnipeg",71,16,51,0,59,0,197,354
46013,"Winnipeg South/Winnipeg-Sud"," 122","Winnipeg",122,9,60,3,28,1,223,343
46013,"Winnipeg South/Winnipeg-Sud"," 123","Winnipeg",61,6,69,0,45,1,182,303
46013,"Winnipeg South/Winnipeg-Sud"," 124","Winnipeg",113,14,62,1,39,1,230,404
46013,"Winnipeg South/Winnipeg-Sud"," 125","Winnipeg",88,12,33,2,24,0,159,315
46013,"Winnipeg South/Winnipeg-Sud"," 126","Winnipeg",163,16,118,2,46,0,345,513
46013,"Winnipeg South/Winnipeg-Sud"," 127","Winnipeg",71,12,69,2,37,0,191,303
46013,"Winnipeg South/Winnipeg-Sud"," 128","Winnipeg",75,10,47,0,33,1,166,275
46013,"Winnipeg South/Winnipeg-Sud"," 129","Winnipeg",153,16,105,1,42,1,318,494
46013,"Winnipeg South/Winnipeg-Sud"," 130A","Winnipeg",115,2,47,3,18,1,186,283
46013,"Winnipeg South/Winnipeg-Sud"," 130B","Winnipeg",106,13,58,0,26,1,204,348
46013,"Winnipeg South/Winnipeg-Sud"," 130C","Mobile poll/Bureau itinérant",Merged with No. 120B/Fusionné avec le nº 120B,,,,,,,43
46013,"Winnipeg South/Winnipeg-Sud"," 131","Winnipeg",104,14,67,1,16,1,203,289
46013,"Winnipeg South/Winnipeg-Sud"," 132","Winnipeg",121,8,54,1,23,1,208,314
46013,"Winnipeg South/Winnipeg-Sud"," 133","Winnipeg",99,23,75,1,35,2,235,381
46013,"Winnipeg South/Winnipeg-Sud"," 134","Winnipeg",102,18,85,2,53,1,261,413
46013,"Winnipeg South/Winnipeg-Sud"," 135","Winnipeg",109,13,65,2,21,0,210,306
46013,"Winnipeg South/Winnipeg-Sud"," 136","Winnipeg",82,4,61,2,34,0,183,275
46013,"Winnipeg South/Winnipeg-Sud"," 137","Winnipeg",113,16,63,1,26,3,222,365
46013,"Winnipeg South/Winnipeg-Sud"," 137-1","Winnipeg",95,6,55,0,35,1,192,323
46013,"Winnipeg South/Winnipeg-Sud"," 138A","Winnipeg",133,10,114,1,35,3,296,434
46013,"Winnipeg South/Winnipeg-Sud"," 138B","Winnipeg",141,13,52,1,36,0,243,402
