Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Jacques Gourde,Marie-Thérèse Hovington,Shirley Picknell,Antoine Sarrazin-Bourgoin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 96","Saint-Jean-Chrysostome",37,103,26,11,53,1,231,385
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 97","Saint-Jean-Chrysostome",43,77,46,8,68,2,244,374
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 98","Saint-Jean-Chrysostome",31,104,33,8,62,3,241,371
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 98-1","Saint-Jean-Chrysostome",32,74,19,11,29,0,165,247
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 99","Saint-Jean-Chrysostome",38,92,23,5,58,7,223,374
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 100","Saint-Jean-Chrysostome",42,102,37,4,74,3,262,464
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 101","Saint-Jean-Chrysostome",53,98,45,7,80,5,288,499
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 102","Saint-Jean-Chrysostome",33,67,19,8,73,3,203,398
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 103","Saint-Jean-Chrysostome",49,164,44,4,66,7,334,569
24036,"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 104","Saint-Jean-Chrysostome",43,82,29,9,51,8,222,386
