District,Poll Number,Poll Name,Almaz Aladass,Fernand Deschamps,Stéphane Dion,William Fayad,Ken Fernandez,Zaid Mahayni,Alex Neron,Marc Rahmé,Nilda Vargas,Rejected Ballots,Total Vote,Electors
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,141,Saint-Laurent,1,0,72,9,0,9,1,6,0,3,101,269
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,142,Saint-Laurent,0,0,233,9,0,18,4,15,0,0,279,581
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,143,Saint-Laurent,6,0,220,12,0,6,3,25,1,1,274,557
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,144,Saint-Laurent,1,0,150,3,0,12,0,17,0,1,184,409
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,145,Saint-Laurent,7,0,261,3,0,5,7,21,0,2,306,570
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,146,Montréal,8,0,130,88,2,11,4,17,1,3,264,584
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,147,Montréal,2,1,106,46,1,20,2,21,1,4,204,471
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,148,Saint-Laurent,5,0,89,42,0,14,1,14,0,1,166,355
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,149,Saint-Laurent,8,0,148,18,0,11,0,6,0,1,192,405
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,150,Montréal,6,0,192,28,0,11,2,25,0,2,266,528
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,151,Saint-Laurent,6,0,198,16,0,16,1,4,0,0,241,447
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,152,Saint-Laurent,1,1,153,16,0,19,2,1,0,2,195,393
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,153,Saint-Laurent,2,1,180,31,1,14,1,9,2,3,244,556
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,154,Saint-Laurent,2,0,166,23,0,9,0,6,0,0,206,432
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,155,Saint-Laurent,5,0,189,24,1,11,2,13,0,2,247,442
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,156,Montréal,3,2,161,27,0,15,1,9,0,4,222,371
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,157,Montréal,10,2,217,49,0,17,1,16,0,1,313,512
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,158,Montréal,6,0,181,26,0,14,1,18,0,2,248,417
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,159,Montréal,0,0,169,43,0,18,1,17,0,1,249,439
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,160,Saint-Laurent,4,0,151,54,0,17,2,24,0,1,253,392
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,161,Saint-Laurent,4,0,193,40,0,15,1,25,0,2,280,485
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,162,Saint-Laurent,7,0,191,41,0,6,2,13,0,2,262,414
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,163,Montréal,2,0,198,45,1,5,1,13,0,4,269,477
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,164,Montréal,3,2,193,61,0,11,1,10,1,9,291,368
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,165,Montréal,8,0,164,70,1,5,1,14,0,2,265,454
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,166,Saint-Laurent,6,0,149,39,0,19,0,13,1,2,229,542
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,167,Saint-Laurent,7,0,150,50,1,12,4,12,2,4,242,486
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,168,Saint-Laurent,2,1,100,22,0,14,3,4,0,0,146,299
Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,169,Saint-Laurent,7,0,239,37,0,19,2,20,1,5,330,613
