District,Poll Number,Poll Name,Ed Broadbent,David Chernushenko,Carla Marie Dancey,Michael Foster,Robert G. Gauthier,Louis Lang,Richard Mahoney,Mike Murphy,Stuart Ryan,Rejected Ballots,Total Vote,Electors
Ottawa Centre/Ottawa-Centre,419,Ottawa,1,0,0,0,0,0,3,1,0,0,5,27
Ottawa Centre/Ottawa-Centre,420,Ottawa,36,5,3,7,5,2,46,38,4,4,150,395
Ottawa Centre/Ottawa-Centre,421,Ottawa,24,2,1,0,0,0,77,29,0,3,136,210
Ottawa Centre/Ottawa-Centre,422,Ottawa,8,2,0,0,0,0,12,15,0,1,38,237
Ottawa Centre/Ottawa-Centre,500,Mobile poll/Bureau itinérant,27,0,0,1,0,0,27,24,1,0,80,209
Ottawa Centre/Ottawa-Centre,501,Mobile poll/Bureau itinérant,13,2,1,0,0,1,22,11,0,5,55,125
Ottawa Centre/Ottawa-Centre,600,Ottawa,390,53,2,5,3,1,318,298,1,6,1077,
Ottawa Centre/Ottawa-Centre,601,Ottawa,351,48,1,6,1,0,234,187,1,3,832,
Ottawa Centre/Ottawa-Centre,602,Ottawa,192,28,1,3,0,0,131,73,1,5,434,
Ottawa Centre/Ottawa-Centre,603,Ottawa,413,49,1,6,0,1,245,141,1,3,860,
Ottawa Centre/Ottawa-Centre,604,Ottawa,467,58,2,4,1,0,300,163,0,1,996,
Ottawa Centre/Ottawa-Centre,605,Ottawa,458,56,0,4,0,0,321,151,0,0,990,
Ottawa Centre/Ottawa-Centre,606,Ottawa,273,30,0,2,1,1,236,189,3,5,740,
Ottawa Centre/Ottawa-Centre,607,Ottawa,129,29,0,1,0,0,127,115,1,1,403,
Ottawa Centre/Ottawa-Centre,608,Ottawa,104,9,0,1,1,0,81,97,0,1,294,
Ottawa Centre/Ottawa-Centre,609,Ottawa,112,24,0,4,0,0,126,159,2,1,428,
Ottawa Centre/Ottawa-Centre,610,Ottawa,469,62,0,0,0,1,289,219,1,2,1043,
Ottawa Centre/Ottawa-Centre,,Group 1/Groupe 1,226,14,1,6,4,0,180,107,1,8,547,860
Ottawa Centre/Ottawa-Centre,,Group 2/Groupe 2,937,111,0,10,1,0,536,291,2,8,1896,
