District,Poll Number,Poll Name,Roy Cullen,Anna Di Carlo,Mir Kamal,Cesar Martello,Rupinder Nannar,George Szebik,William Ubbens,Rejected Ballots,Total Vote,Electors
Etobicoke North/Etobicoke-Nord,415,Etobicoke,40,1,1,11,23,3,5,0,84,229
Etobicoke North/Etobicoke-Nord,416,Etobicoke,48,0,2,19,20,0,0,0,89,246
Etobicoke North/Etobicoke-Nord,417,Etobicoke,64,0,0,6,4,1,3,3,81,192
Etobicoke North/Etobicoke-Nord,418,Etobicoke,76,0,1,6,56,0,1,0,140,251
Etobicoke North/Etobicoke-Nord,419,Etobicoke,105,1,3,4,35,0,1,1,150,252
Etobicoke North/Etobicoke-Nord,420,Etobicoke,196,1,4,21,22,0,3,2,249,549
Etobicoke North/Etobicoke-Nord,421,Etobicoke,59,0,3,11,14,1,1,1,90,249
Etobicoke North/Etobicoke-Nord,422,Etobicoke,145,1,6,32,37,1,2,0,224,613
Etobicoke North/Etobicoke-Nord,423,Etobicoke,188,0,7,22,21,2,4,1,245,633
Etobicoke North/Etobicoke-Nord,424,Etobicoke,55,1,2,15,21,0,1,0,95,279
Etobicoke North/Etobicoke-Nord,425,Etobicoke,156,1,5,28,23,2,2,2,219,540
Etobicoke North/Etobicoke-Nord,600,Etobicoke,305,1,5,30,148,2,4,2,497,
Etobicoke North/Etobicoke-Nord,601,Etobicoke,307,6,5,42,142,4,2,10,518,
Etobicoke North/Etobicoke-Nord,602,Etobicoke,195,0,8,35,101,11,7,0,357,
Etobicoke North/Etobicoke-Nord,603,Etobicoke,168,0,6,21,75,3,8,1,282,
Etobicoke North/Etobicoke-Nord,604,Etobicoke,201,2,7,76,128,4,13,2,433,
Etobicoke North/Etobicoke-Nord,605,Etobicoke,249,0,6,41,165,4,6,0,471,
Etobicoke North/Etobicoke-Nord,,Group 1/Groupe 1,17,0,0,8,8,1,0,0,34,69
Etobicoke North/Etobicoke-Nord,,Group 2/Groupe 2,163,1,4,48,61,5,4,10,296,
