District,Poll Number,Poll Name,Joe Fontana,Tim Gatten,Gustavo Granados-Ocon,Bronagh Joyce Morgan,Rod Morley,Joe Swan,Rejected Ballots,Total Vote,Electors
London North Centre/London-Centre-Nord,175,London,25,24,0,5,0,44,0,98,350
London North Centre/London-Centre-Nord,176,London,49,19,2,8,1,47,0,126,243
London North Centre/London-Centre-Nord,177,London,29,13,0,4,1,28,1,76,281
London North Centre/London-Centre-Nord,178,London,2,0,0,3,0,14,0,19,60
London North Centre/London-Centre-Nord,179,London,65,40,0,8,0,105,1,219,467
London North Centre/London-Centre-Nord,180,London,44,40,1,9,0,71,3,168,371
London North Centre/London-Centre-Nord,181,London,68,53,0,11,6,93,1,232,495
London North Centre/London-Centre-Nord,182,London,61,25,0,16,0,95,1,198,423
London North Centre/London-Centre-Nord,183,London,46,27,0,12,0,50,1,136,364
London North Centre/London-Centre-Nord,184,London,55,28,1,11,0,57,0,152,344
London North Centre/London-Centre-Nord,185,London,56,22,1,17,0,57,0,153,329
London North Centre/London-Centre-Nord,186,London,54,25,1,11,1,69,1,162,323
London North Centre/London-Centre-Nord,187,London,46,23,0,13,0,59,0,141,455
London North Centre/London-Centre-Nord,188,London,34,50,0,9,0,61,2,156,348
London North Centre/London-Centre-Nord,189,London,73,47,0,17,0,91,2,230,450
London North Centre/London-Centre-Nord,190,London,72,25,1,10,2,61,3,174,432
London North Centre/London-Centre-Nord,191,London,47,39,0,7,2,51,0,146,384
London North Centre/London-Centre-Nord,192,London,53,25,0,11,3,80,0,172,322
London North Centre/London-Centre-Nord,193,London,37,27,0,16,4,98,1,183,342
London North Centre/London-Centre-Nord,194,London,54,36,0,10,3,69,0,172,378
London North Centre/London-Centre-Nord,195A,London,57,41,0,14,2,65,0,179,403
London North Centre/London-Centre-Nord,195B,Mobile poll/Bureau itinérant,Merged with No. 84C,,,,,,,,46
London North Centre/London-Centre-Nord,196,London,42,34,0,16,1,76,1,170,439
London North Centre/London-Centre-Nord,197,London,35,47,0,8,1,68,2,161,433
London North Centre/London-Centre-Nord,198,London,41,24,0,10,3,44,0,122,308
London North Centre/London-Centre-Nord,199,London,45,27,0,6,1,36,1,116,262
