District,Poll Number,Poll Name,Mark de Pelham,Daria Fox,Stephen J. Harper,Larry R. Heather,Darcy Kraus,Avalon Roberts,Rejected Ballots,Total Vote,Electors
Calgary Southwest/Calgary-Sud-Ouest,194,Calgary,3,7,215,2,11,49,1,288,448
Calgary Southwest/Calgary-Sud-Ouest,195,Calgary,1,7,215,0,10,37,0,270,413
Calgary Southwest/Calgary-Sud-Ouest,196,Calgary,1,12,143,1,12,39,2,210,399
Calgary Southwest/Calgary-Sud-Ouest,197,Calgary,1,6,178,3,12,42,1,243,395
Calgary Southwest/Calgary-Sud-Ouest,198A,Calgary,0,8,100,1,4,40,0,153,304
Calgary Southwest/Calgary-Sud-Ouest,198B,Calgary,3,13,128,1,5,30,0,180,356
Calgary Southwest/Calgary-Sud-Ouest,198C,Calgary,3,10,109,1,12,29,0,164,331
Calgary Southwest/Calgary-Sud-Ouest,199A,Calgary,3,11,131,0,14,33,1,193,337
Calgary Southwest/Calgary-Sud-Ouest,199B,Calgary,5,18,144,1,11,39,0,218,407
Calgary Southwest/Calgary-Sud-Ouest,199C,Calgary,3,16,147,3,9,42,0,220,377
Calgary Southwest/Calgary-Sud-Ouest,199D,Calgary,0,10,131,0,8,33,0,182,331
Calgary Southwest/Calgary-Sud-Ouest,199E,Calgary,3,15,141,0,6,36,0,201,362
Calgary Southwest/Calgary-Sud-Ouest,500,Mobile poll/Bureau itinérant,1,4,96,3,4,30,1,139,193
Calgary Southwest/Calgary-Sud-Ouest,501,Mobile poll/Bureau itinérant,3,1,76,2,0,22,3,107,134
Calgary Southwest/Calgary-Sud-Ouest,502,Mobile poll/Bureau itinérant,0,3,46,1,0,15,0,65,178
Calgary Southwest/Calgary-Sud-Ouest,600,Calgary,2,34,254,2,21,62,3,378,
Calgary Southwest/Calgary-Sud-Ouest,601,Calgary,2,14,460,1,39,109,3,628,
Calgary Southwest/Calgary-Sud-Ouest,602,Calgary,4,15,180,1,15,60,0,275,
Calgary Southwest/Calgary-Sud-Ouest,603,Calgary,2,26,352,6,33,87,2,508,
Calgary Southwest/Calgary-Sud-Ouest,604,Calgary,1,35,475,1,35,115,0,662,
Calgary Southwest/Calgary-Sud-Ouest,605,Calgary,3,28,325,3,24,62,0,445,
Calgary Southwest/Calgary-Sud-Ouest,606,Calgary,3,20,417,0,20,65,0,525,
Calgary Southwest/Calgary-Sud-Ouest,607,Calgary,0,13,271,1,12,40,0,337,
Calgary Southwest/Calgary-Sud-Ouest,,Group 1/Groupe 1,4,6,66,0,7,33,8,124,208
Calgary Southwest/Calgary-Sud-Ouest,,Group 2/Groupe 2,4,45,556,4,17,107,23,756,
