District,Poll Number,Poll Name,Giorgio Cattabeni,Morgan DuFord,Steve Garland,Art Hanger,Dale Muti,Rejected Ballots,Total Vote,Electors
Calgary Northeast/Calgary-Nord-Est,31A,Calgary,12,0,0,80,44,0,136,296
Calgary Northeast/Calgary-Nord-Est,31B,Calgary,9,2,0,88,36,0,135,305
Calgary Northeast/Calgary-Nord-Est,32,Calgary,16,7,1,76,24,0,124,251
Calgary Northeast/Calgary-Nord-Est,33,Calgary,11,7,2,104,33,0,157,314
Calgary Northeast/Calgary-Nord-Est,34,Calgary,11,3,4,91,40,1,150,304
Calgary Northeast/Calgary-Nord-Est,35A,Calgary,13,5,0,96,36,1,151,324
Calgary Northeast/Calgary-Nord-Est,35B,Calgary,11,15,0,110,25,0,161,343
Calgary Northeast/Calgary-Nord-Est,36A,Calgary,6,1,1,72,31,1,112,279
Calgary Northeast/Calgary-Nord-Est,36B,Calgary,15,5,2,53,21,0,96,254
Calgary Northeast/Calgary-Nord-Est,37,Calgary,13,10,1,73,55,0,152,416
Calgary Northeast/Calgary-Nord-Est,38,Calgary,17,8,1,119,38,0,183,467
Calgary Northeast/Calgary-Nord-Est,39,Calgary,16,6,0,84,40,0,146,403
Calgary Northeast/Calgary-Nord-Est,40,Calgary,3,10,0,78,40,1,132,361
Calgary Northeast/Calgary-Nord-Est,41,Calgary,9,3,0,83,20,0,115,261
Calgary Northeast/Calgary-Nord-Est,42,Calgary,8,0,1,82,33,0,124,370
Calgary Northeast/Calgary-Nord-Est,43,Calgary,21,4,3,107,43,3,181,494
Calgary Northeast/Calgary-Nord-Est,44,Calgary,14,4,2,95,47,2,164,447
Calgary Northeast/Calgary-Nord-Est,45,Calgary,15,11,0,135,43,0,204,467
Calgary Northeast/Calgary-Nord-Est,46,Calgary,12,6,1,66,59,1,145,306
Calgary Northeast/Calgary-Nord-Est,47,Calgary,14,11,1,98,24,0,148,355
Calgary Northeast/Calgary-Nord-Est,48A,Calgary,12,3,2,86,24,0,127,273
Calgary Northeast/Calgary-Nord-Est,48B,Calgary,6,6,0,84,11,0,107,269
Calgary Northeast/Calgary-Nord-Est,49A,Calgary,11,4,1,112,31,1,160,324
Calgary Northeast/Calgary-Nord-Est,49B,Calgary,15,6,0,85,30,0,136,312
Calgary Northeast/Calgary-Nord-Est,49-1A,Calgary,12,8,0,82,34,0,136,319
Calgary Northeast/Calgary-Nord-Est,49-1B,Calgary,14,7,1,70,34,0,126,317
Calgary Northeast/Calgary-Nord-Est,50A,Calgary,4,1,0,61,71,0,137,344
Calgary Northeast/Calgary-Nord-Est,50B,Calgary,5,4,0,56,66,0,131,342
Calgary Northeast/Calgary-Nord-Est,51A,Calgary,9,4,0,87,32,0,132,294
Calgary Northeast/Calgary-Nord-Est,51B,Calgary,7,2,1,67,39,1,117,307
Calgary Northeast/Calgary-Nord-Est,52,Calgary,10,6,1,109,49,0,175,461
Calgary Northeast/Calgary-Nord-Est,53,Calgary,15,6,1,92,65,0,179,461
Calgary Northeast/Calgary-Nord-Est,54,Calgary,4,2,0,104,90,0,200,503
Calgary Northeast/Calgary-Nord-Est,54-1,Calgary,13,9,0,122,67,4,215,439
Calgary Northeast/Calgary-Nord-Est,55,Calgary,14,4,4,91,118,1,232,477
Calgary Northeast/Calgary-Nord-Est,56,Calgary,8,5,0,36,24,0,73,286
Calgary Northeast/Calgary-Nord-Est,57,Calgary,6,8,1,103,29,0,147,378
Calgary Northeast/Calgary-Nord-Est,58,Calgary,15,9,1,98,53,0,176,423
Calgary Northeast/Calgary-Nord-Est,59,Calgary,21,8,1,90,40,3,163,408
Calgary Northeast/Calgary-Nord-Est,60,Calgary,12,11,1,72,40,1,137,314
Calgary Northeast/Calgary-Nord-Est,61,Calgary,11,7,0,91,52,0,161,400
Calgary Northeast/Calgary-Nord-Est,62,Calgary,15,5,0,92,35,2,149,351
Calgary Northeast/Calgary-Nord-Est,63,Calgary,12,10,3,128,59,0,212,480
Calgary Northeast/Calgary-Nord-Est,64,Calgary,17,8,2,89,48,0,164,408
Calgary Northeast/Calgary-Nord-Est,65,Calgary,5,9,7,91,46,1,159,377
Calgary Northeast/Calgary-Nord-Est,66,Calgary,6,6,1,72,38,0,123,310
Calgary Northeast/Calgary-Nord-Est,67,Calgary,14,5,3,86,31,1,140,352
Calgary Northeast/Calgary-Nord-Est,68,Calgary,7,8,1,70,29,1,116,320
Calgary Northeast/Calgary-Nord-Est,69,Calgary,9,3,0,112,93,1,218,495
Calgary Northeast/Calgary-Nord-Est,70,Calgary,18,10,2,90,16,1,137,314
