District,Poll Number,Poll Name,Blaine Armstrong,Carol Hughes,Lindsay Killen,Brent St. Denis,Rejected Ballots,Total Vote,Electors
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,105,Mississagi River 8,2,36,3,68,1,110,186
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,106,Blind River,11,25,4,35,1,76,187
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,107,Blind River,19,32,1,60,0,112,295
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,108,Blind River,25,33,3,48,0,109,239
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,109,Blind River,22,36,7,85,3,153,485
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,110,Blind River,20,28,3,39,0,90,213
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,111,Blind River,25,34,6,62,0,127,319
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,112,Blind River,42,29,8,64,1,144,309
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,113,Blind River,44,29,10,91,0,174,309
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,114,Algoma Mills,34,45,3,47,2,131,234
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,115,Spragge,25,14,5,23,0,67,111
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,116,Elliot Lake,50,45,13,90,0,198,403
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,117,Elliot Lake,44,57,9,77,2,189,468
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,118,Elliot Lake,26,60,13,58,0,157,290
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,119,Elliot Lake,28,38,15,51,0,132,262
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,120,Elliot Lake,30,68,9,65,2,174,301
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,121,Elliot Lake,20,49,10,51,1,131,351
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,122,Elliot Lake,20,50,4,54,0,128,246
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,123,Elliot Lake,41,63,9,72,1,186,326
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,124,Elliot Lake,31,54,7,62,2,156,324
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,125,Elliot Lake,50,79,7,119,2,257,480
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,126,Elliot Lake,36,76,2,98,1,213,364
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,127,Elliot Lake,45,48,15,89,3,200,341
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,128,Elliot Lake,32,78,11,66,3,190,433
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,129,Elliot Lake,35,68,10,59,1,173,365
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,130,Elliot Lake,33,55,11,63,1,163,339
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,131,Elliot Lake,29,56,10,75,0,170,343
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,132,Elliot Lake,38,67,6,76,0,187,396
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,133,Elliot Lake,42,60,11,60,1,174,329
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,134,Elliot Lake,38,48,7,69,0,162,338
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,135,Elliot Lake,29,59,5,61,0,154,302
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,136,Elliot Lake,39,47,7,52,2,147,387
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,137,Elliot Lake,31,45,8,48,0,132,282
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,138,Elliot Lake,77,53,9,103,1,243,493
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,139,Elliot Lake,83,69,5,74,1,232,470
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,140,Elliot Lake,88,54,7,66,2,217,485
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,141,Elliot Lake,61,75,7,54,1,198,445
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,142,Massey,30,28,4,39,1,102,195
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,143,Spanish,33,72,4,66,1,176,352
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,144,Serpent River 7,10,41,6,82,0,139,285
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,145,Serpent River,17,33,5,27,1,83,117
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,146,Spanish,17,45,5,59,2,128,234
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,147,Walford,57,44,8,53,0,162,316
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,148,Sagamok 5,3,36,4,122,1,166,468
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,149,May--Harrow,100,62,17,61,0,240,410
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,150,Massey,49,39,4,48,1,141,249
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,151,Massey,40,28,8,30,0,106,195
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,152,Massey,23,30,3,44,0,100,253
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,153,Webbwood,48,75,11,65,0,199,373
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,154,Webbwood,29,34,5,36,0,104,190
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,155,Hallam--Lee Valley,17,23,3,34,0,77,148
Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,156,Nairn Centre,35,79,10,39,1,164,334
