District,Poll Number,Poll Name,Bob Kilger,Guy Lauzon,Elaine MacDonald,Tom Manley,Rejected Ballots,Total Vote,Electors
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,194,Bainsville,82,76,13,28,2,201,319
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,195,South Lancaster,100,112,19,23,1,255,404
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,196,Lancaster,59,77,17,11,2,166,301
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,197,Lancaster,70,53,19,11,1,154,262
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,198A,Bainsville,91,76,8,18,1,194,336
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,198B,Bainsville,89,107,20,15,1,232,372
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,500,Mobile poll/Bureau itinérant,59,30,6,2,6,103,220
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,501,Mobile poll/Bureau itinérant,42,40,7,3,6,98,271
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,502,Mobile poll/Bureau itinérant,39,21,7,2,5,74,133
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,503,Mobile poll/Bureau itinérant,46,29,2,5,0,82,191
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,504,Mobile poll/Bureau itinérant,41,47,6,3,9,106,226
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,505,Mobile poll/Bureau itinérant,14,34,2,7,7,64,138
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,600,Dixons Corners,87,248,25,19,0,379,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,601,Winchester,89,347,20,23,2,481,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,602,Finch,67,215,21,33,1,337,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,603,Morrisburg,95,320,39,18,4,476,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,604,St. Andrew's,97,279,23,27,3,429,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,605,Eamers Corners,257,282,73,27,3,642,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,606,Trinity,248,349,64,28,3,692,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,607,McConnell,291,207,42,20,2,562,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,608,St. Felix,396,222,44,22,6,690,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,609,Williamstown,79,152,27,17,2,277,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,610,Lancaster,154,155,20,27,1,357,
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,,Group 1/Groupe 1,48,45,15,12,4,124,277
Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry,,Group 2/Groupe 2,425,357,71,53,3,909,
