District,Poll Number,Poll Name,Ruby Dhalla,Nick Hudson,Sam Hundal,Gurdev Singh Mattu,Kathy Pounder,Rejected Ballots,Total Vote,Electors
Brampton--Springdale/Brampton--Springdale,401,Brampton,72,5,37,1,23,2,140,304
Brampton--Springdale/Brampton--Springdale,402,Brampton,52,11,36,0,29,2,130,255
Brampton--Springdale/Brampton--Springdale,403,Brampton,44,6,33,2,19,1,105,186
Brampton--Springdale/Brampton--Springdale,404,Brampton,120,7,61,0,37,1,226,318
Brampton--Springdale/Brampton--Springdale,405,Brampton,92,7,38,1,39,1,178,282
Brampton--Springdale/Brampton--Springdale,406,Brampton,85,7,51,0,46,2,191,303
Brampton--Springdale/Brampton--Springdale,500,Mobile poll/Bureau itinérant,66,7,30,1,14,3,121,138
Brampton--Springdale/Brampton--Springdale,600,Brampton,384,10,294,0,63,0,751,
Brampton--Springdale/Brampton--Springdale,601,Brampton,357,10,246,1,63,0,677,
Brampton--Springdale/Brampton--Springdale,602,Brampton,248,50,259,1,123,6,687,
Brampton--Springdale/Brampton--Springdale,603,Brampton,212,22,205,1,120,8,568,
Brampton--Springdale/Brampton--Springdale,604,Brampton,339,23,282,0,97,0,741,
Brampton--Springdale/Brampton--Springdale,605,Brampton,285,19,211,0,90,0,605,
Brampton--Springdale/Brampton--Springdale,606,Brampton,110,15,110,2,74,0,311,
Brampton--Springdale/Brampton--Springdale,,Group 1/Groupe 1,22,3,22,0,5,1,53,98
Brampton--Springdale/Brampton--Springdale,,Group 2/Groupe 2,176,12,90,0,68,0,346,
