District,Poll Number,Poll Name,Robert A. Cruise,Paul Forman,David Tremblay,Jeff Watson,Susan Whelan,Rejected Ballots,Total Vote,Electors
Essex/Essex,87,LaSalle,0,6,42,95,70,2,215,441
Essex/Essex,88,LaSalle,0,13,48,68,102,3,234,422
Essex/Essex,89,River Canard,2,4,30,49,34,1,120,228
Essex/Essex,90,Anderdon,2,12,74,126,75,1,290,585
Essex/Essex,91,River Canard,0,13,62,115,117,1,308,561
Essex/Essex,92,River Canard,1,3,41,70,63,0,178,336
Essex/Essex,93,Anderdon,1,12,38,92,69,1,213,391
Essex/Essex,94,Anderdon,0,7,58,100,107,2,274,383
Essex/Essex,95,Anderdon,0,3,47,85,61,2,198,361
Essex/Essex,96,Anderdon,0,2,18,63,73,0,156,225
Essex/Essex,97A,Anderdon,0,8,31,96,102,0,237,413
Essex/Essex,97B,Anderdon,0,1,46,80,112,0,239,415
Essex/Essex,98,Anderdon,0,13,49,100,111,2,275,471
Essex/Essex,99,Anderdon,4,3,41,63,108,10,229,388
Essex/Essex,100,Malden,0,4,24,54,60,1,143,253
Essex/Essex,101,Malden,0,5,35,54,38,1,133,237
Essex/Essex,102,Malden,1,17,28,46,63,1,156,240
Essex/Essex,103,Malden,0,6,38,79,64,2,189,293
Essex/Essex,104,Malden,0,4,36,57,37,1,135,226
Essex/Essex,105,Malden,1,7,47,87,61,2,205,381
Essex/Essex,106,Malden,3,15,82,160,95,3,358,695
Essex/Essex,107,Amherstburg,2,3,46,49,37,0,137,286
Essex/Essex,108,Amherstburg,0,8,53,85,70,2,218,419
Essex/Essex,109,Amherstburg,1,7,64,63,105,1,241,456
Essex/Essex,110,Amherstburg,2,15,94,114,130,1,356,667
Essex/Essex,111,Amherstburg,1,17,73,86,91,1,269,443
Essex/Essex,112,Amherstburg,1,4,49,54,90,4,202,355
Essex/Essex,113,Amherstburg,1,9,63,50,57,0,180,428
Essex/Essex,114,Amherstburg,0,5,57,53,52,0,167,392
