District,Poll Number,Poll Name,John Baloun,Laurie Hawn,Lyle Kenny,Anne McLellan,Meghan McMaster,Peggy Morton,David J. Parker,Sean Tisdall,Rejected Ballots,Total Vote,Electors
Edmonton Centre/Edmonton-Centre,37,Edmonton,0,39,3,19,12,0,9,0,0,82,215
Edmonton Centre/Edmonton-Centre,38,Edmonton,1,59,6,65,21,0,8,2,0,162,431
Edmonton Centre/Edmonton-Centre,39,Edmonton,1,57,2,43,15,0,5,3,2,128,341
Edmonton Centre/Edmonton-Centre,40A,Edmonton,1,68,3,86,27,1,11,0,1,198,436
Edmonton Centre/Edmonton-Centre,40B,Mobile poll/Bureau itinérant,Merged with No. 507,,,,,,,,,,38
Edmonton Centre/Edmonton-Centre,41,Edmonton,0,81,4,107,20,2,18,1,1,234,477
Edmonton Centre/Edmonton-Centre,42,Edmonton,1,57,1,74,11,1,7,3,4,159,348
Edmonton Centre/Edmonton-Centre,43,Edmonton,3,77,1,127,33,0,11,3,0,255,495
Edmonton Centre/Edmonton-Centre,44,Edmonton,2,55,3,90,19,1,5,0,3,178,488
Edmonton Centre/Edmonton-Centre,45,Edmonton,0,62,2,66,17,1,9,3,3,163,374
Edmonton Centre/Edmonton-Centre,46,Edmonton,2,67,4,85,30,0,11,2,2,203,348
Edmonton Centre/Edmonton-Centre,47,Edmonton,4,71,1,102,25,0,10,2,0,215,401
Edmonton Centre/Edmonton-Centre,48,Edmonton,3,89,1,111,32,0,13,2,0,251,435
Edmonton Centre/Edmonton-Centre,49,Edmonton,0,100,1,55,13,1,8,1,0,179,358
Edmonton Centre/Edmonton-Centre,50,Edmonton,1,99,3,49,22,0,11,2,2,189,357
Edmonton Centre/Edmonton-Centre,51,Edmonton,2,101,6,65,27,1,6,6,2,216,357
Edmonton Centre/Edmonton-Centre,52,Edmonton,1,124,2,70,13,0,8,4,0,222,427
Edmonton Centre/Edmonton-Centre,53,Edmonton,0,112,4,43,31,1,6,1,2,200,384
Edmonton Centre/Edmonton-Centre,54,Edmonton,1,90,7,66,23,1,6,2,0,196,423
Edmonton Centre/Edmonton-Centre,55,Edmonton,0,76,4,52,18,0,13,2,2,167,351
Edmonton Centre/Edmonton-Centre,56,Edmonton,0,79,0,56,13,0,8,3,0,159,381
Edmonton Centre/Edmonton-Centre,57,Edmonton,0,114,2,87,37,2,13,1,2,258,466
