District,Poll Number,Poll Name,Rex Barnes,John Lannon,Samuel Robert McLean,Scott Simms,Ed Sailor White,Rejected Ballots,Total Vote,Electors
Bonavista--Exploits/Bonavista--Exploits,500A,Mobile poll/Bureau itinérant,10,3,0,28,0,2,43,42
Bonavista--Exploits/Bonavista--Exploits,500B,Mobile poll/Bureau itinérant,8,1,2,24,3,1,39,21
Bonavista--Exploits/Bonavista--Exploits,501A,Mobile poll/Bureau itinérant,20,2,3,52,0,0,77,100
Bonavista--Exploits/Bonavista--Exploits,501B,Mobile poll/Bureau itinérant,Merged with No. 500A,,,,,,,21
Bonavista--Exploits/Bonavista--Exploits,502,Mobile poll/Bureau itinérant,16,0,4,40,2,3,65,116
Bonavista--Exploits/Bonavista--Exploits,503,Mobile poll/Bureau itinérant,4,0,4,24,0,0,32,96
Bonavista--Exploits/Bonavista--Exploits,504,Mobile poll/Bureau itinérant,41,0,4,48,2,9,104,192
Bonavista--Exploits/Bonavista--Exploits,600,Botwood,70,0,5,77,0,1,153,
Bonavista--Exploits/Bonavista--Exploits,601,Lewisporte,103,1,6,62,1,0,173,
Bonavista--Exploits/Bonavista--Exploits,602,Twillingate,35,1,4,31,1,0,72,
Bonavista--Exploits/Bonavista--Exploits,603,Fogo,14,1,1,22,1,0,39,
Bonavista--Exploits/Bonavista--Exploits,604,Musgrave Harbour,14,2,7,21,0,0,44,
Bonavista--Exploits/Bonavista--Exploits,605,Wesleyville,14,0,5,35,1,0,55,
Bonavista--Exploits/Bonavista--Exploits,606,Grand Falls-Windsor,309,5,23,240,5,3,585,
Bonavista--Exploits/Bonavista--Exploits,607,Bishop's Falls,54,1,5,116,1,0,177,
Bonavista--Exploits/Bonavista--Exploits,608,Gander,166,7,39,154,6,0,372,
Bonavista--Exploits/Bonavista--Exploits,609,Gambo,33,1,13,41,0,1,89,
Bonavista--Exploits/Bonavista--Exploits,610,Glovertown,25,0,4,50,2,0,81,
Bonavista--Exploits/Bonavista--Exploits,611,Buchans,26,0,3,26,0,0,55,
Bonavista--Exploits/Bonavista--Exploits,612,Port Blandford,26,0,6,29,3,0,64,
Bonavista--Exploits/Bonavista--Exploits,613,Bonavista,36,1,3,82,0,0,122,
Bonavista--Exploits/Bonavista--Exploits,614,Catalina,21,0,2,12,1,1,37,
Bonavista--Exploits/Bonavista--Exploits,,Group 1/Groupe 1,105,1,4,57,9,1,177,557
Bonavista--Exploits/Bonavista--Exploits,,Group 2/Groupe 2,204,1,29,222,5,8,469,
