Province,District,Candidate,Residence,Occupation,Number of Votes,Number of Votes Percent,Number Majority,Majority Percent
"Ontario","Kingston and the Islands/Kingston et les Îles","Terry Marshall Christian Heritage Party/Parti de l'Héritage Chrétien","Kingston, Ont/Ont.","Computer Technician/Technicien en informatique",481,.88,,
"Ontario","Kingston and the Islands/Kingston et les Îles","Rosie The Clown Elston Independent/Indépendant","Tamworth, Ont/Ont.","Entertainer/Artiste de spectacle",237,.44,,
"Ontario","Kingston and the Islands/Kingston et les Îles","Don Rogers Canadian Action/Action canadienne","Kingston, Ont/Ont.","Retired/Retraité",179,.33,,
"Ontario","Kingston and the Islands/Kingston et les Îles","Karl Eric Walker Independent/Indépendant","Hartington, Ont/Ont.","/",100,.18,,
"Ontario","Kitchener Centre/Kitchener-Centre","Karen Redman ** Liberal/Libéral","Kitchener, Ont/Ont.","Parliamentarian/Parlementaire",21264,47.13,      8852,  19.6
"Ontario","Kitchener Centre/Kitchener-Centre","Thomas Ichim Conservative/conservateur","Kitchener, Ont/Ont.","Research Associate/Adjoint à la recherche",12412,27.51,,
"Ontario","Kitchener Centre/Kitchener-Centre","Richard Walsh-Bowers N.D.P./N.P.D.","Wallenstein, Ont/Ont.","Professor/Professeur",8717,19.32,,
"Ontario","Kitchener Centre/Kitchener-Centre","Karol Vesely Green Party/Parti Vert","Kitchener, Ont/Ont.","Holistic Naturopath/Naturopathe holistique",2450,5.43,,
"Ontario","Kitchener Centre/Kitchener-Centre","Mark Corbiere Independent/Indépendant","Kitchener, Ont/Ont.","Youth Organizer/Organisateur jeunesse",277,.61,,
"Ontario","Kitchener--Conestoga","Lynn Myers ** Liberal/Libéral","New Hamburg, Ont/Ont.","Parliamentarian/Parlementaire",17819,42.29,      2916,   6.9
"Ontario","Kitchener--Conestoga","Frank Luellau Conservative/conservateur","Elmira, Ont/Ont.","Executive (Retired)/Cadre (retraité)",14903,35.37,,
"Ontario","Kitchener--Conestoga","Len Carter N.D.P./N.P.D.","Kitchener, Ont/Ont.","Consultant/Consultant",6623,15.72,,
"Ontario","Kitchener--Conestoga","Kris Stapleton Green Party/Parti Vert","Kitchener, Ont/Ont.","Unemployed/Sans emploi",2793,6.63,,
"Ontario","Kitchener--Waterloo","Andrew Telegdi ** Liberal/Libéral","Waterloo, Ont/Ont.","Parliamentarian/Parlementaire",28015,48.12,     10860,  18.7
"Ontario","Kitchener--Waterloo","Steve Strauss Conservative/conservateur","Waterloo, Ont/Ont.","Airline Pilot/Pilote de ligne",17155,29.47,,
"Ontario","Kitchener--Waterloo","Edwin Laryea N.D.P./N.P.D.","Waterloo, Ont/Ont.","Vice-Principal (Retired)/Directeur adjoint (retraité)",9267,15.92,,
"Ontario","Kitchener--Waterloo","Pauline Richards Green Party/Parti Vert","Waterloo, Ont/Ont.","Manager/Gestionnaire",3277,5.63,,
"Ontario","Kitchener--Waterloo","Frank Ellis Christian Heritage Party/Parti de l'Héritage Chrétien","Guelph, Ont/Ont.","Clerk/Commis",379,.65,,
"Ontario","Kitchener--Waterloo","Ciprian Mihalcea Independent/Indépendant","Waterloo, Ont/Ont.","Student/Étudiant",124,.21,,
"Ontario","Lanark--Frontenac--Lennox and Addington","Scott Jeffrey Reid ** Conservative/conservateur","Carleton Place, Ont/Ont.","Author/Journalist/Auteur/journaliste",27566,48.77,     10059,  17.8
"Ontario","Lanark--Frontenac--Lennox and Addington","Larry McCormick ** Liberal/Libéral","Camden East, Ont/Ont.","Parliamentarian/Parlementaire",17507,30.97,,
"Ontario","Lanark--Frontenac--Lennox and Addington","Ross Sutherland N.D.P./N.P.D.","Huntington, Ont/Ont.","Registered Nurse/Infirmier autorisé",7418,13.12,,
"Ontario","Lanark--Frontenac--Lennox and Addington","John Baranyi Green Party/Parti Vert","Perth, Ont/Ont.","Business Person/Homme d'affaires",2736,4.84,,
"Ontario","Lanark--Frontenac--Lennox and Addington","Bill Vankoughnet Independent/Indépendant","Napanee, Ont/Ont.","Retired/Retraité",820,1.45,,
"Ontario","Lanark--Frontenac--Lennox and Addington","George Walter Kolaczynski Marijuana Party/Parti Marijuana","Lanark, Ont/Ont.","Postal Worker/Employé des postes",479,.85,,
"Ontario","Leeds--Grenville","Gord Brown Conservative/conservateur","Gananoque, Ont/Ont.","Innkeeper/Aubergiste",26002,50.46,      9035,  17.5
"Ontario","Leeds--Grenville","Joe Jordan ** Liberal/Libéral","Ottawa, Ont/Ont.","Parliamentarian/Parlementaire",16967,32.93,,
"Ontario","Leeds--Grenville","Steve Armstrong N.D.P./N.P.D.","Brockville, Ont/Ont.","Chemical Controller/Régulateur chimique",5834,11.32,,
"Ontario","Leeds--Grenville","Chris Bradshaw Green Party/Parti Vert","Ottawa, Ont/Ont.","Small Business Owner/Propriétaire de petite entreprise",2722,5.28,,
"Ontario","London--Fanshawe","Pat O'Brien ** Liberal/Libéral","London, Ont/Ont.","Parliamentarian/Parlementaire",15664,38.08,      3153,   7.7
"Ontario","London--Fanshawe","Irene Mathyssen N.D.P./N.P.D.","Ilderton, Ont/Ont.","Teacher/Enseignante",12511,30.41,,
"Ontario","London--Fanshawe","John Mazzilli Conservative/conservateur","London, Ont/Ont.","Property Manager/Gestionnaire immobilier",10811,26.28,,
"Ontario","London--Fanshawe","Ed Moore Green Party/Parti Vert","London, Ont/Ont.","Marketing/Financial Services/Marketing/services financiers",1634,3.97,,
"Ontario","London--Fanshawe","Derrall Bellaire PC Party/Parti PC","London, Ont/Ont.","Warehouse Supervisor/Superviseur d'entrepôt",453,1.1,,
"Ontario","London--Fanshawe","Cameron Switzer Marxist-Leninist/Marxiste-Léniniste","Windsor, Ont/Ont.","Student/Étudiant",65,.16,,
"Ontario","London North Centre/London-Centre-Nord","Joe Fontana ** Liberal/Libéral","Arva, Ont/Ont.","Parliamentarian/Parlementaire",21472,43.08,      7795,  15.6
"Ontario","London North Centre/London-Centre-Nord","Tim Gatten Conservative/conservateur","London, Ont/Ont.","Teacher/Enseignant",13677,27.44,,
"Ontario","London North Centre/London-Centre-Nord","Joe Swan N.D.P./N.P.D.","London, Ont/Ont.","Manager/Gestionnaire",12034,24.14,,
"Ontario","London North Centre/London-Centre-Nord","Bronagh Joyce Morgan Green Party/Parti Vert","London, Ont/Ont.","Personal Trainer/Lawyer/Entraîneuse personnelle/avocate",2376,4.77,,
"Ontario","London North Centre/London-Centre-Nord","Rod Morley PC Party/Parti PC","London, Ont/Ont.","Information Technology Sales /Vente de produits de techno. de l'info.",220,.44,,
"Ontario","London North Centre/London-Centre-Nord","Gustavo Granados-Ocon Marxist-Leninist/Marxiste-Léniniste","Windsor, Ont/Ont.","Student/Étudiant",67,.13,,
"Ontario","London West/London-Ouest","Sue Barnes ** Liberal/Libéral","London, Ont/Ont.","Parliamentarian/Parlementaire",25061,45.48,      7726,  14.0
"Ontario","London West/London-Ouest","Mike Menear Conservative/conservateur","London, Ont/Ont.","Lawyer/Avocat",17335,31.46,,
"Ontario","London West/London-Ouest","Gina Barber N.D.P./N.P.D.","London, Ont/Ont.","Professor/Professeure",9522,17.28,,
"Ontario","London West/London-Ouest","Rebecca Bromwich Green Party/Parti Vert","London, Ont/Ont.","Lawyer/Avocate",2611,4.74,,
"Ontario","London West/London-Ouest","Steve Hunter PC Party/Parti PC","London, Ont/Ont.","Information Technology Professional/Spécialiste de la technologie de l'information",511,.93,,
"Ontario","London West/London-Ouest","Margaret Villamizar Marxist-Leninist/Marxiste-Léniniste","Windsor, Ont/Ont.","Language Assessor/Évaluatrice du langage",67,.12,,
"Ontario","Markham--Unionville","John McCallum ** Liberal/Libéral","Oakville, Ont/Ont.","Parliamentarian/Parlementaire",30442,66.31,     20117,  43.8
"Ontario","Markham--Unionville","Joe Li Conservative/conservateur","Scarborough, Ont/Ont.","Financial Consultant/Conseiller financier",10325,22.49,,
"Ontario","Markham--Unionville","Janice Hagan N.D.P./N.P.D.","Markham, Ont/Ont.","Tutor/Tutrice",3993,8.7,,
"Ontario","Markham--Unionville","Ed Wong Green Party/Parti Vert","Toronto, Ont/Ont.","Student/Étudiant",1148,2.5,,
"Ontario","Middlesex--Kent--Lambton","Rose-Marie Ur ** Liberal/Libéral","Strathroy, Ont/Ont.","Parliamentarian/Parlementaire",19452,39.73,       164,   0.3
"Ontario","Middlesex--Kent--Lambton","Bev Shipley Conservative/conservateur","Denfield, Ont/Ont.","Farmer/Agriculteur",19288,39.39,,
"Ontario","Middlesex--Kent--Lambton","Kevin Blake N.D.P./N.P.D.","Wallaceburg, Ont/Ont.","Customer Service Representative/Représentant au service à la clientèle",7376,15.06,,
"Ontario","Middlesex--Kent--Lambton","Allan McKeown Green Party/Parti Vert","Sarnia, Ont/Ont.","Celebrant/Célébrant",1834,3.75,,
"Ontario","Middlesex--Kent--Lambton","Allan James Christian Heritage Party/Parti de l'Héritage Chrétien","Camlachie, Ont/Ont.","Chemical Engineer/Ingénieur chimiste",1015,2.07,,
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","Navdeep Bains Liberal/Libéral","Brampton, Ont/Ont.","Financial Analyst/Analyste financier",24753,57.16,     14320,  33.1
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","Parvinder Sandhu Conservative/conservateur","Brampton, Ont/Ont.","Business Person/Senior Director/Homme d'affaires/directeur principal",10433,24.09,,
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","Larry Taylor N.D.P./N.P.D.","Barrie, Ont/Ont.","Realtor/Courtier en immeubles",6411,14.8,,
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","Paul Simas Green Party/Parti Vert","Mississauga, Ont/Ont.","Flight Attendant/Agent de bord",1525,3.52,,
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","David Gershuny Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont/Ont.","Shipper/Expéditeur",185,.43,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Albina Guarnieri ** Liberal/Libéral","Mississauga, Ont/Ont.","Parliamentarian/Parlementaire",22435,56.7,     12136,  30.7
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Riina DeFaria Conservative/conservateur","Mississauga, Ont/Ont.","Lawyer/Avocate",10299,26.03,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Jim Gill N.D.P./N.P.D.","Brampton, Ont/Ont.","Accounts Receivable Clerk/Commis aux comptes débiteurs",4619,11.67,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Jason Robert Hinchliffe Green Party/Parti Vert","Mississauga, Ont/Ont.","Customer Retention Specialist/Spécialiste de la conservation de la clientèle",1167,2.95,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Sally Wong Christian Heritage Party/Parti de l'Héritage Chrétien","Mississauga, Ont/Ont.","Advertising Director/Directrice de la publicité",778,1.97,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Pierre Chénier Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont/Ont.","Press Operator/Opérateur sur presse",154,.39,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Andrew Seitz Independent/Indépendant","Mississauga, Ont/Ont.","Student/Étudiant",114,.29,,
"Ontario","Mississauga--Erindale","Carolyn Parrish ** Liberal/Libéral","Mississauga, Ont/Ont.","Parliamentarian/Parlementaire",28246,54.37,     11646,  22.4
"Ontario","Mississauga--Erindale","Bob Dechert Conservative/conservateur","Mississauga, Ont/Ont.","Lawyer/Avocat",16600,31.95,,
"Ontario","Mississauga--Erindale","Simon Black N.D.P./N.P.D.","Mississauga, Ont/Ont.","Shelter Worker/Travailleur de refuge",5104,9.82,,
"Ontario","Mississauga--Erindale","Jeff Brownridge Green Party/Parti Vert","Mississauga, Ont/Ont.","Entrepreneur/Entrepreneur",1855,3.57,,
"Ontario","Mississauga--Erindale","David Greig Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont/Ont.","Municipal Worker/Travailleur municipal",145,.28,,
"Ontario","Mississauga South/Mississauga-Sud","Paul John Mark Szabo ** Liberal/Libéral","Mississauga, Ont/Ont.","Chartered Accountant/Comptable agréé",24628,51.67,      8601,  18.0
"Ontario","Mississauga South/Mississauga-Sud","Phil Green Conservative/conservateur","Mississauga, Ont/Ont.","Business Consultant/Statistician/Conseiller en affaires/statisticien",16027,33.62,,
"Ontario","Mississauga South/Mississauga-Sud","Michael James Culkin N.D.P./N.P.D.","Mississauga, Ont/Ont.","Student/Étudiant",5004,10.5,,
"Ontario","Mississauga South/Mississauga-Sud","Neeraj Jain Green Party/Parti Vert","Mississauga, Ont/Ont.","Business Owner/Propriétaire d'entreprise",1899,3.98,,
"Ontario","Mississauga South/Mississauga-Sud","Dagmar Sullivan Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont/Ont.","Film Assembler/Assembleuse de films",107,.22,,
"Ontario","Mississauga--Streetsville","Wajid Khan Liberal/Libéral","Toronto, Ont/Ont.","Business Owner/Propriétaire d'entreprise",22768,50.56,      8481,  18.8
"Ontario","Mississauga--Streetsville","Nina Tangri Conservative/conservateur","Mississauga, Ont/Ont.","Insurance Professional/Professionnelle de l'assurance",14287,31.73,,
"Ontario","Mississauga--Streetsville","Manjinder Rai N.D.P./N.P.D.","Mississauga, Ont/Ont.","Mechanic/Mécanicien",4266,9.47,,
"Ontario","Mississauga--Streetsville","Otto Casanova Green Party/Parti Vert","Mississauga, Ont/Ont.","Business Person/Homme d'affaires",2415,5.36,,
"Ontario","Mississauga--Streetsville","Peter Gibson Creighton PC Party/Parti PC","Mississauga, Ont/Ont.","Business Owner/Propriétaire d'entreprise",1293,2.87,,
"Ontario","Nepean--Carleton","Pierre Poilievre Conservative/conservateur","Ottawa, Ont/Ont.","Business Person/Entrepreneur",30420,45.66,      3736,   5.6
"Ontario","Nepean--Carleton","David Pratt ** Liberal/Libéral","Nepean, Ont/Ont.","Parliamentarian/Parlementaire",26684,40.05,,
"Ontario","Nepean--Carleton","Phil Brown N.D.P./N.P.D.","Nepean, Ont/Ont.","Planner/Planificateur ",6072,9.11,,
"Ontario","Nepean--Carleton","Chris Walker Green Party/Parti Vert","Inverary, Ont/Ont.","Contractor/Entrepreneur",2886,4.33,,
"Ontario","Nepean--Carleton","Brad Powers Marijuana Party/Parti Marijuana","Nepean, Ont/Ont.","Self-employed /Travailleur autonome",561,.84,,
"Ontario","Newmarket--Aurora","Belinda Stronach Conservative/conservateur","Aurora, Ont/Ont.","Business Person/Femme d'affaires",21818,42.42,       689,   1.3
"Ontario","Newmarket--Aurora","Martha Hall Findlay Liberal/Libéral","Newmarket, Ont/Ont.","Lawyer/Executive/Avocate/cadre",21129,41.08,,
"Ontario","Newmarket--Aurora","Ed Chudak N.D.P./N.P.D.","Newmarket, Ont/Ont.","Executive Assistant/Adjoint de direction",5111,9.94,,
"Ontario","Newmarket--Aurora","Daryl Wyatt Green Party/Parti Vert","Newmarket, Ont/Ont.","Student/Étudiant",2298,4.47,,
"Ontario","Newmarket--Aurora","Dorian Baxter PC Party/Parti PC","Newmarket, Ont/Ont.","Anglican Priest/Ministre anglican",1079,2.1,,
"Ontario","Niagara Falls","Rob Nicholson Conservative/conservateur","Niagara Falls, Ont/Ont.","Lawyer/Avocat",19882,38.7,      1137,   2.2
"Ontario","Niagara Falls","Victor Pietrangelo Liberal/Libéral","Niagara Falls, Ont/Ont.","Teacher/Enseignant",18745,36.48,,
"Ontario","Niagara Falls","Wayne Gates N.D.P./N.P.D.","Niagara Falls, Ont/Ont.","Auto Worker/Travailleur de l'automobile",10680,20.79,,
"Ontario","Niagara Falls","Ted Mousseau Green Party/Parti Vert","Fort Erie, Ont/Ont.","Airline Pilot (Retired)/Pilote de ligne (retraité)",2071,4.03,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Dean Allison Conservative/conservateur","Beamsville, Ont/Ont.","Entrepreneur/Entrepreneur",20874,40.29,       664,   1.3
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Debbie Zimmerman Liberal/Libéral","Grimsby, Ont/Ont.","Chief Executive Officer /Présidente-directrice générale ",20210,39.01,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Dave Heatley N.D.P./N.P.D.","Hamilton, Ont/Ont.","Sign Maker/Fabricant d'enseignes",7681,14.82,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Tom Ferguson Green Party/Parti Vert","Vineland Station, Ont/Ont.","Custom Home Builder/Constructeur de maisons personnalisées",1761,3.4,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","David Bylsma Christian Heritage Party/Parti de l'Héritage Chrétien","St. Anns, Ont/Ont.","Cabinetmaker/Ébéniste",1107,2.14,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Phil Rose Canadian Action/Action canadienne","Hamilton, Ont/Ont.","Student/Étudiant",179,.35,,
"Ontario","Nickel Belt","Raymond Bonin ** Liberal/Libéral","Sudbury, Ont/Ont.","Parliamentarian/Parlementaire",17188,42.41,      3208,   7.9
"Ontario","Nickel Belt","Claude Gravelle N.D.P./N.P.D.","Chelmsford, Ont/Ont.","Machinist/Machiniste",13980,34.5,,
"Ontario","Nickel Belt","Mike Dupont Conservative/conservateur","Chelmsford, Ont/Ont.","Business Owner/Photographer/Propriétaire d'entreprise/photographe",7628,18.82,,
"Ontario","Nickel Belt","Steve Lafleur Green Party/Parti Vert","Hanmer, Ont/Ont.","Student/Étudiant",1031,2.54,,
"Ontario","Nickel Belt","Michel D. Ethier Marijuana Party/Parti Marijuana","Sturgeon Falls, Ont/Ont.","Priest/Prêtre",430,1.06,,
"Ontario","Nickel Belt","Don Lavallee Independent/Indépendant","Garson, Ont/Ont.","Plumber/Plombier",217,.54,,
"Ontario","Nickel Belt","Steve Rutchinski Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont/Ont.","Office Worker/Employé de bureau",51,.13,,
"Ontario","Nipissing--Timiskaming","Anthony Rota Liberal/Libéral","North Bay, Ont/Ont.","Advisor/Conseiller",18254,42.31,      2253,   5.2
"Ontario","Nipissing--Timiskaming","Al McDonald Conservative/conservateur","Corbeil, Ont/Ont.","Business Owner/Propriétaire d'entreprise",16001,37.09,,
"Ontario","Nipissing--Timiskaming","Dave Fluri N.D.P./N.P.D.","Sturgeon Falls, Ont/Ont.","Biologist/Biologiste",7354,17.05,,
"Ontario","Nipissing--Timiskaming","Les Wilcox Green Party/Parti Vert","Temagami, Ont/Ont.","Canoeist/Canoéiste",1329,3.08,,
"Ontario","Nipissing--Timiskaming","Ross MacLean Canadian Action/Action canadienne","Callander, Ont/Ont.","Addiction Worker/Intervenant en toxicomanie",204,.47,,
"Ontario","Northumberland--Quinte West","Paul Macklin ** Liberal/Libéral","Cobourg, Ont/Ont.","Parliamentarian/Parlementaire",22989,39.85,       313,   0.5
"Ontario","Northumberland--Quinte West","Doug Galt Conservative/conservateur","Colborne, Ont/Ont.","Veterinarian/Vétérinaire",22676,39.31,,
"Ontario","Northumberland--Quinte West","Russ Christianson N.D.P./N.P.D.","Campbellford, Ont/Ont.","Management Consultant/Conseiller en gestion",9007,15.61,,
"Ontario","Northumberland--Quinte West","Steven Haylestrom Green Party/Parti Vert","Warkworth, Ont/Ont.","Consultant/Consultant",3016,5.23,,
"Ontario","Oak Ridges--Markham","Lui Temelkovski Liberal/Libéral","Markham, Ont/Ont.","Business Person/Homme d'affaires",31964,51.73,     11252,  18.2
"Ontario","Oak Ridges--Markham","Bob Callow Conservative/conservateur","Aurora, Ont/Ont.","President/Business Owner/Président/propriétaire d'entreprise",20712,33.52,,
"Ontario","Oak Ridges--Markham","Pamela Courtot N.D.P./N.P.D.","Stouffville, Ont/Ont.","Communications Specialist/Spécialiste des communications",5430,8.79,,
"Ontario","Oak Ridges--Markham","Bernadette Manning Green Party/Parti Vert","Markham, Ont/Ont.","Homemaker/Femme au foyer",2406,3.89,,
"Ontario","Oak Ridges--Markham","Jim Conrad PC Party/Parti PC","Richmond Hill, Ont/Ont.","Professional Engineer/Ingénieur",820,1.33,,
"Ontario","Oak Ridges--Markham","Maurice G Whittle Christian Heritage Party/Parti de l'Héritage Chrétien","Stouffville, Ont/Ont.","Retired/Retraité",458,.74,,
"Ontario","Oakville","M.A. Bonnie Brown ** Liberal/Libéral","Oakville, Ont/Ont.","Parliamentarian/Parlementaire",28729,52.01,      9205,  16.7
"Ontario","Oakville","Rick Byers Conservative/conservateur","Oakville, Ont/Ont.","Investment Banker/Spécialiste des services bancaires ",19524,35.35,,
"Ontario","Oakville","Alison Myrden N.D.P./N.P.D.","Burlington, Ont/Ont.","Corrections Officer/Agente de correction",4027,7.29,,
"Ontario","Oakville","Tania Orton Green Party/Parti Vert","Rockwood, Ont/Ont.","Architect/Architecte",2861,5.18,,
"Ontario","Oakville","Zeshan Shahbaz Canadian Action/Action canadienne","Oakville, Ont/Ont.","Administrator/Administrateur",95,.17,,
"Ontario","Oshawa","Colin Carrie Conservative/conservateur","Oshawa, Ont/Ont.","Chiropractor/Chiropraticien",15815,33.21,       463,   1.0
"Ontario","Oshawa","Sid Ryan N.D.P./N.P.D.","Whitby, Ont/Ont.","President/Président",15352,32.24,,
"Ontario","Oshawa","Louise V. Parkes Liberal/Libéral","Oshawa, Ont/Ont.","President/Chief Executive Officer/Présidente-directrice générale ",14510,30.47,,
"Ontario","Oshawa","Liisa Whalley Green Party/Parti Vert","Oshawa, Ont/Ont.","Restaurant Owner/Propriétaire de restaurant",1850,3.89,,
"Ontario","Oshawa","Tim Sullivan Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont/Ont.","Truck Driver/Camionneur",91,.19,,
"Ontario","Ottawa Centre/Ottawa-Centre","Ed Broadbent N.D.P./N.P.D.","Ottawa, Ont/Ont.","Professor/Professeur",25734,41.05,      6256,  10.0
"Ontario","Ottawa Centre/Ottawa-Centre","Richard Mahoney Liberal/Libéral","Ottawa, Ont/Ont.","Lawyer/Avocat",19478,31.07,,
"Ontario","Ottawa Centre/Ottawa-Centre","Mike Murphy Conservative/conservateur","Ottawa, Ont/Ont.","Business Person/Homme d'affaires",11933,19.04,,
"Ontario","Ottawa Centre/Ottawa-Centre","David Chernushenko Green Party/Parti Vert","Ottawa, Ont/Ont.","Consultant/Consultant",4730,7.55,,
"Ontario","Ottawa Centre/Ottawa-Centre","Michael Foster Marijuana Party/Parti Marijuana","Ottawa, Ont/Ont.","Retailer/Détaillant",455,.73,,
"Ontario","Ottawa Centre/Ottawa-Centre","Robert G. Gauthier Independent/Indépendant","Ottawa, Ont/Ont.","Publisher/Éditeur",121,.19,,
"Ontario","Ottawa Centre/Ottawa-Centre","Stuart Ryan Communist/Communiste","Ottawa, Ont/Ont.","Union Representative/Représentant syndical",90,.14,,
"Ontario","Ottawa Centre/Ottawa-Centre","Carla Marie Dancey Canadian Action/Action canadienne","Ottawa, Ont/Ont.","Property Manager/Gestionnaire immobilière",76,.12,,
"Ontario","Ottawa Centre/Ottawa-Centre","Louis Lang Marxist-Leninist/Marxiste-Léniniste","Aylmer, QC/Qué.","Postal Clerk/Commis des postes",67,.11,,
"Ontario","Ottawa--Orléans","Marc Godbout Liberal/Libéral","Ottawa, Ont/Ont.","Consultant/Consultant",26383,44.99,      2728,   4.7
"Ontario","Ottawa--Orléans","Walter Robinson Conservative/conservateur","Orléans, Ont/Ont.","Taxpayer Advocate/Défenseur des contribuables",23655,40.34,,
"Ontario","Ottawa--Orléans","Crystal Leblanc N.D.P./N.P.D.","Nepean, Ont/Ont.","Automotive Parts Manager/Gestionnaire des pièces d'automobiles",5905,10.07,,
"Ontario","Ottawa--Orléans","Dan Biocchi Green Party/Parti Vert","Ottawa, Ont/Ont.","Consultant/Consultant",2699,4.6,,
"Ontario","Ottawa South/Ottawa-Sud","David McGuinty Liberal/Libéral","Ottawa, Ont/Ont.","Lawyer/Avocat",25956,43.82,      5334,   9.0
"Ontario","Ottawa South/Ottawa-Sud","Alan Riddell Conservative/conservateur","Ottawa, Ont/Ont.","Lawyer/Avocat",20622,34.82,,
"Ontario","Ottawa South/Ottawa-Sud","Monia Mazigh N.D.P./N.P.D.","Ottawa, Ont/Ont.","Financial Manager/Gestionnaire financière",8080,13.64,,
"Ontario","Ottawa South/Ottawa-Sud","John Ford Green Party/Parti Vert","Ottawa, Ont/Ont.","Consultant/Consultant",3398,5.74,,
"Ontario","Ottawa South/Ottawa-Sud","John Akpata Marijuana Party/Parti Marijuana","Ottawa, Ont/Ont.","Poet/Poète",495,.84,,
"Ontario","Ottawa South/Ottawa-Sud","Brad Thomson PC Party/Parti PC","Ottawa, Ont/Ont.","Greenskeeper/Intendant de terrain",375,.63,,
"Ontario","Ottawa South/Ottawa-Sud","Raymond Aubin Independent/Indépendant","Ottawa, Ont/Ont.","Builder/Constructeur",225,.38,,
"Ontario","Ottawa South/Ottawa-Sud","Saroj Bains Marxist-Leninist/Marxiste-Léniniste","Hull, QC/Qué.","Multimedia Producer/Réalisatrice multimédia",79,.13,,
"Ontario","Ottawa--Vanier","Mauril Bélanger ** Liberal/Libéral","Ottawa, Ont/Ont.","Parliamentarian/Parlementaire",25952,49.17,     13183,  25.0
"Ontario","Ottawa--Vanier","Kevin Friday Conservative/conservateur","Orléans, Ont/Ont.","Insurance Broker/Courtier d'assurance",12769,24.19,,
"Ontario","Ottawa--Vanier","Ric Dagenais N.D.P./N.P.D.","Manotick, Ont/Ont.","Collective Agreement Analyst/Analyste de convention collective",9787,18.54,,
"Ontario","Ottawa--Vanier","Raphaël Thierrin Green Party/Parti Vert","Ottawa, Ont/Ont.","Professor/Professeur",3628,6.87,,
"Ontario","Ottawa--Vanier","Carol Taylor Marijuana Party/Parti Marijuana","Montréal, QC/Qué.","Artist/Artiste",558,1.06,,
"Ontario","Ottawa--Vanier","Françoise Roy Marxist-Leninist/Marxiste-Léniniste","Gatineau, QC/Qué.","Desktop Publisher/Spécialiste de l'éditique",85,.16,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Marlene Catterall ** Liberal/Libéral","Ottawa, Ont/Ont.","Parliamentarian/Parlementaire",23971,41.78,      1380,   2.4
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Sean Casey Conservative/conservateur","Nepean, Ont/Ont.","Political Consultant/Conseiller politique",22591,39.37,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Marlene Rivier N.D.P./N.P.D.","Ottawa, Ont/Ont.","Psychological Associate/Associée en psychologie",7449,12.98,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Neil Adair Green Party/Parti Vert","Ottawa, Ont/Ont.","Self-employed /Travailleur autonome",2748,4.79,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Russell Barth Marijuana Party/Parti Marijuana","Ottawa, Ont/Ont.","/",430,.75,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Mary-Sue Haliburton Canadian Action/Action canadienne","Ottawa, Ont/Ont.","Writer/Editor/Designer/Rédactrice/réviseure/conceptrice",121,.21,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Alexandre Legeais Marxist-Leninist/Marxiste-Léniniste","Ottawa, Ont/Ont.","Operator/Technician/Opérateur/technicien",68,.12,,
"Ontario","Oxford","Dave Mackenzie Conservative/conservateur","Woodstock, Ont/Ont.","Police Chief (Retired)/Chef de police (retraité)",20606,44.89,      6595,  14.4
"Ontario","Oxford","Murray Coulter Liberal/Libéral","Woodstock, Ont/Ont.","Lawyer/Avocat",14011,30.52,,
"Ontario","Oxford","Zoé Dorcas Kunschner N.D.P./N.P.D.","Ingersoll, Ont/Ont.","Talent Agent/Agente artistique",6673,14.54,,
