District,Poll Number,Poll Name,Andrew Faust,Tony J. Karadimas,Jim Karygiannis,D'Arcy Palmer,Wayne Yeechong,Rejected Ballots,Total Vote,Electors
Scarborough--Agincourt/Scarborough--Agincourt,407,Scarborough,45,7,128,14,3,0,197,388
Scarborough--Agincourt/Scarborough--Agincourt,408,Scarborough,18,2,37,7,0,2,66,136
Scarborough--Agincourt/Scarborough--Agincourt,409,Scarborough,22,4,102,22,2,3,155,334
Scarborough--Agincourt/Scarborough--Agincourt,410,Scarborough,16,4,52,8,0,1,81,147
Scarborough--Agincourt/Scarborough--Agincourt,411,Scarborough,29,5,97,15,1,0,147,357
Scarborough--Agincourt/Scarborough--Agincourt,412,Scarborough,66,2,79,10,1,2,160,302
Scarborough--Agincourt/Scarborough--Agincourt,413,Scarborough,40,5,116,11,4,0,176,264
Scarborough--Agincourt/Scarborough--Agincourt,414,Scarborough,77,8,163,9,8,1,266,452
Scarborough--Agincourt/Scarborough--Agincourt,415,Scarborough,78,4,133,17,6,1,239,451
Scarborough--Agincourt/Scarborough--Agincourt,416,Scarborough,24,3,193,18,2,0,240,544
Scarborough--Agincourt/Scarborough--Agincourt,417,Scarborough,30,4,157,30,2,0,223,522
Scarborough--Agincourt/Scarborough--Agincourt,418,Scarborough,2,1,18,2,0,0,23,289
Scarborough--Agincourt/Scarborough--Agincourt,419,Scarborough,27,3,113,15,2,1,161,399
Scarborough--Agincourt/Scarborough--Agincourt,420,Scarborough,33,4,74,11,2,1,125,326
Scarborough--Agincourt/Scarborough--Agincourt,421,Scarborough,15,5,100,24,1,1,146,385
Scarborough--Agincourt/Scarborough--Agincourt,422,Scarborough,3,0,10,0,0,0,13,166
Scarborough--Agincourt/Scarborough--Agincourt,423,Scarborough,14,1,51,16,0,2,84,217
Scarborough--Agincourt/Scarborough--Agincourt,424,Scarborough,204,7,68,10,3,19,311,476
Scarborough--Agincourt/Scarborough--Agincourt,425,Scarborough,13,1,21,5,0,0,40,105
Scarborough--Agincourt/Scarborough--Agincourt,426,Scarborough,10,0,30,10,0,0,50,123
Scarborough--Agincourt/Scarborough--Agincourt,427,Scarborough,22,0,165,23,2,2,214,308
Scarborough--Agincourt/Scarborough--Agincourt,428,Scarborough,30,7,24,12,0,0,73,124
Scarborough--Agincourt/Scarborough--Agincourt,600,Toronto,109,14,403,49,14,3,592,
Scarborough--Agincourt/Scarborough--Agincourt,601,Toronto,210,12,438,55,16,2,733,
Scarborough--Agincourt/Scarborough--Agincourt,602,Toronto,183,14,364,62,10,2,635,
Scarborough--Agincourt/Scarborough--Agincourt,603,Toronto,227,13,417,61,15,0,733,
Scarborough--Agincourt/Scarborough--Agincourt,604,Toronto,89,8,192,35,9,1,334,
Scarborough--Agincourt/Scarborough--Agincourt,605,Toronto,109,10,208,32,13,3,375,
Scarborough--Agincourt/Scarborough--Agincourt,,Group 1/Groupe 1,9,1,21,6,3,1,41,98
Scarborough--Agincourt/Scarborough--Agincourt,,Group 2/Groupe 2,146,14,370,53,10,4,597,
