District,Poll Number,Poll Name,Stéphane Chénier,Laura Colella,Payam Eslami,Ricardo Fellicetti,Paul-Alexis François,Massimo Pacetti,Rejected Ballots,Total Vote,Electors
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,134,Saint-Léonard,2,11,3,3,31,151,3,204,338
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,135,Saint-Léonard,0,16,14,5,24,143,9,211,352
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,136,Saint-Léonard,1,13,9,5,35,162,8,233,393
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,137,Saint-Léonard,1,7,11,4,35,131,2,191,352
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,138,Saint-Léonard,0,8,3,6,23,141,5,186,345
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,139,Saint-Léonard,0,12,22,8,51,139,6,238,414
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,140,Saint-Léonard,1,17,6,3,56,65,4,152,359
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,141,Saint-Léonard,2,11,7,4,60,128,4,216,391
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,142,Saint-Léonard,2,13,11,1,50,79,3,159,371
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,143,Saint-Léonard,0,5,10,9,51,131,0,206,401
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,144,Montréal,1,11,8,2,98,79,8,207,483
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,145,Montréal,2,8,15,5,64,82,4,180,394
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,146,Montréal,1,15,13,10,93,109,5,246,477
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,147,Montréal,0,13,13,7,110,102,8,253,495
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,148,Montréal,1,6,9,2,78,105,5,206,441
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,149,Montréal,1,13,9,5,53,109,5,195,397
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,150,Montréal,3,20,13,3,63,90,1,193,518
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,151,Montréal,0,19,18,6,70,123,6,242,517
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,152,Montréal,3,8,13,0,35,146,2,207,431
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,153,Montréal,0,9,11,6,61,101,2,190,571
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,154,Montréal,1,11,19,6,65,132,4,238,526
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,155,Montréal,2,12,7,1,40,57,4,123,277
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,156,Montréal,1,19,10,2,54,118,0,204,428
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,157,Montréal,1,8,6,2,26,142,2,187,411
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,158,Montréal,4,17,20,2,106,148,8,305,655
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,159,Montréal,3,6,9,0,58,114,5,195,483
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,160,Montréal,1,8,6,4,65,64,8,156,485
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,161,Montréal,4,10,8,5,48,85,3,163,386
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,162,Montréal,2,3,9,3,54,129,10,210,516
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,163,Montréal,9,16,33,4,66,161,7,296,602
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,164,Montréal,3,9,15,3,48,77,3,158,371
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,165,Montréal,2,14,9,3,21,146,4,199,506
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,166,Montréal,4,9,13,1,29,152,8,216,433
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,167,Montréal,1,7,8,4,21,89,3,133,378
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,168,Montréal,1,10,14,3,56,101,5,190,423
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,169,Montréal,6,6,11,6,53,135,8,225,483
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,170,Montréal,6,9,7,6,38,134,2,202,379
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,171,Montréal,3,10,12,3,50,95,7,180,430
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,172,Montréal,2,11,13,5,55,112,5,203,413
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,173,Montréal,0,14,9,7,53,107,5,195,491
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,174,Montréal,3,6,4,1,41,62,3,120,322
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,175,Montréal,3,7,6,1,39,91,4,151,370
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,176,Montréal,2,12,5,3,57,156,12,247,503
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,177,Montréal,3,6,8,1,31,115,4,168,411
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,178,Montréal,1,13,9,2,53,103,5,186,467
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,179,Montréal,3,11,8,10,40,126,4,202,332
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,180,Montréal,1,6,18,4,47,124,2,202,454
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,181,Montréal,2,14,9,7,52,106,4,194,454
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,182,Montréal,1,14,14,5,41,139,6,220,432
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,183,Montréal,1,9,7,3,25,146,2,193,409
Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,184,Montréal,4,8,11,3,27,126,4,183,410
