District,Poll Number,Poll Name,Wayne Gates,Ted Mousseau,Rob Nicholson,Victor Pietrangelo,Rejected Ballots,Total Vote,Electors
Niagara Falls/Niagara Falls,213B,Mobile poll/Bureau itinérant,6,6,23,26,2,63,174
Niagara Falls/Niagara Falls,214,Fort Erie,52,5,91,62,2,212,447
Niagara Falls/Niagara Falls,215,Fort Erie,42,12,78,59,2,193,370
Niagara Falls/Niagara Falls,216,Fort Erie,21,6,66,78,1,172,359
Niagara Falls/Niagara Falls,217,Fort Erie,32,9,84,86,2,213,400
Niagara Falls/Niagara Falls,218,Fort Erie,30,13,83,77,2,205,384
Niagara Falls/Niagara Falls,219,Fort Erie,41,9,86,52,3,191,439
Niagara Falls/Niagara Falls,220,Fort Erie,45,11,82,54,0,192,414
Niagara Falls/Niagara Falls,221,Fort Erie,38,7,88,67,0,200,409
Niagara Falls/Niagara Falls,222,Fort Erie,30,7,64,69,0,170,391
Niagara Falls/Niagara Falls,223,Fort Erie,58,16,101,98,2,275,606
Niagara Falls/Niagara Falls,224,Fort Erie,50,17,122,71,2,262,614
Niagara Falls/Niagara Falls,225,Fort Erie,65,13,93,57,1,229,536
Niagara Falls/Niagara Falls,400,Fort Erie,83,6,137,119,2,347,468
Niagara Falls/Niagara Falls,500,Mobile poll/Bureau itinérant,8,0,16,17,4,45,156
Niagara Falls/Niagara Falls,501,Mobile poll/Bureau itinérant,4,0,21,20,4,49,86
Niagara Falls/Niagara Falls,600,Niagara-on-the-Lake,78,24,407,278,0,787,
Niagara Falls/Niagara Falls,601,Niagara Falls,38,11,171,162,2,384,
Niagara Falls/Niagara Falls,602,Niagara Falls,70,13,246,211,3,543,
Niagara Falls/Niagara Falls,603,Niagara Falls,58,9,212,154,6,439,
Niagara Falls/Niagara Falls,604,Niagara Falls,83,11,196,152,2,444,
Niagara Falls/Niagara Falls,605,Niagara Falls,90,15,110,87,4,306,
Niagara Falls/Niagara Falls,606,Niagara Falls,69,6,143,95,0,313,
Niagara Falls/Niagara Falls,607,Niagara Falls,22,1,69,53,0,145,
Niagara Falls/Niagara Falls,608,Niagara Falls,16,4,73,36,1,130,
Niagara Falls/Niagara Falls,609,Fort Erie,87,16,196,173,2,474,
Niagara Falls/Niagara Falls,610,Fort Erie,96,17,197,188,1,499,
Niagara Falls/Niagara Falls,,Group 1/Groupe 1,11,8,51,44,2,116,237
Niagara Falls/Niagara Falls,,Group 2/Groupe 2,77,9,205,189,8,488,
