District,Poll Number,Poll Name,Marc Bombois,Andrea Goldsmith,Anne Jamieson,John Reynolds,Nicholas Simons,Blair Wilson,Rejected Ballots,Total Vote,Electors
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,84B,Squamish,3,28,1,50,33,47,0,162,418
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,84C,Squamish,0,12,0,31,56,48,2,149,401
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,85,Britannia,1,17,2,75,52,63,0,210,432
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,86,Squamish,2,14,1,42,55,69,0,183,388
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,87,Squamish,5,28,1,61,69,73,0,237,456
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,88,Squamish,3,13,0,55,58,38,0,167,359
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,89,Squamish,0,22,0,68,79,80,1,250,447
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,90,Squamish,7,29,0,100,71,109,0,316,516
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,91,Squamish,0,20,1,45,46,48,3,163,317
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,92,Squamish,1,17,0,46,47,50,1,162,396
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,93,Squamish,2,23,0,52,40,59,0,176,389
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,94,Squamish,4,46,0,119,72,106,0,347,564
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,95,Squamish,6,24,0,93,78,114,0,315,509
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,96,Squamish,4,29,0,46,62,83,0,224,402
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,97,Squamish,3,15,0,78,71,74,0,241,464
West Vancouver--Sunshine Coast/West Vancouver--Sunshine Coast,98A,Squamish,2,15,1,50,53,43,1,165,356
