District,Poll Number,Poll Name,Raymond Bonin,Mike Dupont,Michel D. Ethier,Claude Gravelle,Steve Lafleur,Don Lavallee,Steve Rutchinski,Rejected Ballots,Total Vote,Electors
Nickel Belt/Nickel Belt,122,Nickel Centre,106,20,4,70,1,1,1,2,205,436
Nickel Belt/Nickel Belt,123,Nickel Centre,93,31,1,62,3,0,0,2,192,307
Nickel Belt/Nickel Belt,124,Nickel Centre,89,26,1,54,7,0,0,3,180,294
Nickel Belt/Nickel Belt,125,Nickel Centre,52,17,0,52,3,0,0,1,125,290
Nickel Belt/Nickel Belt,126,Nickel Centre,50,29,3,73,0,2,0,0,157,326
Nickel Belt/Nickel Belt,127,Nickel Centre,39,21,2,47,3,3,0,1,116,265
Nickel Belt/Nickel Belt,128,Nickel Centre,96,25,0,122,3,2,0,2,250,470
Nickel Belt/Nickel Belt,129,Nickel Centre,35,12,2,68,2,5,0,0,124,265
Nickel Belt/Nickel Belt,130,Sudbury,118,91,2,52,8,1,1,1,274,467
Nickel Belt/Nickel Belt,131,Sudbury,123,109,0,50,17,1,0,0,300,521
Nickel Belt/Nickel Belt,132,Sudbury,61,51,0,33,8,0,1,1,155,268
Nickel Belt/Nickel Belt,133,Sudbury,98,64,0,56,11,0,0,0,229,401
Nickel Belt/Nickel Belt,134,Sudbury,123,76,4,82,11,1,0,0,297,483
Nickel Belt/Nickel Belt,135,Sudbury,102,81,2,48,16,0,0,0,249,393
Nickel Belt/Nickel Belt,136,Sudbury,114,57,1,51,12,0,3,0,238,403
Nickel Belt/Nickel Belt,137,Sudbury,175,72,6,35,11,0,1,0,300,471
Nickel Belt/Nickel Belt,138A,Sudbury,71,48,0,23,9,2,0,0,153,280
Nickel Belt/Nickel Belt,138B,Sudbury,73,43,2,48,6,1,1,0,174,300
Nickel Belt/Nickel Belt,139,Sudbury,77,39,3,33,10,2,1,1,166,279
Nickel Belt/Nickel Belt,140,Sudbury,37,42,1,50,12,0,0,0,142,271
Nickel Belt/Nickel Belt,141,Sudbury,78,51,3,45,10,0,0,1,188,340
Nickel Belt/Nickel Belt,142,Whitefish Lake 6,57,1,2,27,4,1,0,0,92,193
Nickel Belt/Nickel Belt,143,Killarney,90,29,4,40,11,3,1,3,181,285
Nickel Belt/Nickel Belt,144,Wanup,53,57,4,87,11,3,0,1,216,447
Nickel Belt/Nickel Belt,145,Wanup,73,43,2,110,11,2,0,1,242,513
Nickel Belt/Nickel Belt,146,Estaire,83,33,1,73,3,0,0,0,193,257
Nickel Belt/Nickel Belt,147A,St. Charles,99,36,5,92,6,2,0,0,240,390
