District,Poll Number,Poll Name,Patrick Brown,Peter Bursztyn,Aileen Carroll,Erich Jacoby-Hawkins,Rejected Ballots,Total Vote,Electors
Barrie/Barrie,193,Barrie,57,25,67,12,1,162,371
Barrie/Barrie,194,Barrie,85,16,89,4,1,195,338
Barrie/Barrie,195,Barrie,103,13,91,15,0,222,427
Barrie/Barrie,196,Barrie,100,8,78,11,1,198,292
Barrie/Barrie,197,Barrie,97,14,99,8,0,218,356
Barrie/Barrie,198,Barrie,97,13,91,16,1,218,371
Barrie/Barrie,199,Barrie,112,10,106,12,0,240,398
Barrie/Barrie,200,Barrie,111,23,118,11,0,263,421
Barrie/Barrie,201,Barrie,134,12,127,14,0,287,450
Barrie/Barrie,202,Barrie,81,16,78,15,0,190,377
Barrie/Barrie,203,Barrie,94,29,85,7,0,215,382
Barrie/Barrie,204,Barrie,74,16,49,10,1,150,280
Barrie/Barrie,205,Barrie,78,13,81,8,0,180,318
Barrie/Barrie,206,Barrie,107,19,120,16,3,265,492
Barrie/Barrie,207,Barrie,104,13,85,10,3,215,404
Barrie/Barrie,208,Barrie,98,16,97,3,0,214,495
Barrie/Barrie,209A,Barrie,95,27,122,10,0,254,443
Barrie/Barrie,209B,Barrie,116,22,84,9,3,234,397
Barrie/Barrie,209C,Barrie,80,21,91,7,1,200,395
Barrie/Barrie,210,Barrie,61,26,71,12,1,171,279
Barrie/Barrie,211,Barrie,63,26,73,14,2,178,289
Barrie/Barrie,212A,Barrie,67,16,72,18,0,173,306
Barrie/Barrie,212B,Barrie,68,6,71,14,0,159,292
Barrie/Barrie,213,Barrie,131,15,118,17,2,283,462
Barrie/Barrie,400,Barrie,54,13,78,4,1,150,197
Barrie/Barrie,500,Mobile poll/Bureau itinérant,47,4,64,2,1,118,170
Barrie/Barrie,501,Mobile poll/Bureau itinérant,45,9,53,0,2,109,180
Barrie/Barrie,502,Mobile poll/Bureau itinérant,39,7,34,4,0,84,200
Barrie/Barrie,503,Mobile poll/Bureau itinérant,28,8,32,1,2,71,140
Barrie/Barrie,504,Mobile poll/Bureau itinérant,37,12,29,7,2,87,168
Barrie/Barrie,600,Barrie,265,61,233,33,1,593,
Barrie/Barrie,601,Barrie,317,99,364,41,2,823,
Barrie/Barrie,602,Barrie,185,74,253,40,3,555,
Barrie/Barrie,603,Barrie,332,52,290,19,5,698,
Barrie/Barrie,604,Barrie,384,79,511,60,0,1034,
Barrie/Barrie,605,Barrie,283,65,301,33,4,686,
Barrie/Barrie,606,Barrie,255,45,189,23,2,514,
Barrie/Barrie,607,Barrie,248,46,151,26,5,476,
Barrie/Barrie,608,Barrie,393,63,329,38,0,823,
Barrie/Barrie,,Group 1/Groupe 1,57,14,40,7,0,118,262
Barrie/Barrie,,Group 2/Groupe 2,287,48,270,22,0,627,
