Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laura Chesnik,Joe Comartin,Bruck Easton,Rick Fuschi,Catherine Pluard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Windsor--Tecumseh/Windsor--Tecumseh"," 121","Windsor",1,81,56,44,9,1,192,336
"Windsor--Tecumseh/Windsor--Tecumseh"," 122","Windsor",2,90,52,45,5,3,197,340
"Windsor--Tecumseh/Windsor--Tecumseh"," 123","Windsor",0,88,28,28,5,0,149,338
"Windsor--Tecumseh/Windsor--Tecumseh"," 124","Windsor",2,108,36,27,12,0,185,371
"Windsor--Tecumseh/Windsor--Tecumseh"," 125","Windsor",0,113,34,31,6,2,186,373
"Windsor--Tecumseh/Windsor--Tecumseh"," 126","Windsor",0,101,40,37,6,0,184,392
"Windsor--Tecumseh/Windsor--Tecumseh"," 127","Windsor",0,76,30,38,4,0,148,254
"Windsor--Tecumseh/Windsor--Tecumseh"," 128","Windsor",0,84,46,35,6,0,171,309
"Windsor--Tecumseh/Windsor--Tecumseh"," 129","Windsor",1,92,47,24,3,2,169,299
"Windsor--Tecumseh/Windsor--Tecumseh"," 130","Windsor",5,112,54,57,5,1,234,377
"Windsor--Tecumseh/Windsor--Tecumseh"," 131","Windsor",1,123,75,65,8,5,277,550
"Windsor--Tecumseh/Windsor--Tecumseh"," 132","Windsor",2,88,21,31,7,0,149,360
"Windsor--Tecumseh/Windsor--Tecumseh"," 133","Windsor",0,67,40,38,3,1,149,367
"Windsor--Tecumseh/Windsor--Tecumseh"," 134","Windsor",0,106,22,41,3,0,172,358
"Windsor--Tecumseh/Windsor--Tecumseh"," 135","Windsor",0,67,21,19,5,4,116,422
"Windsor--Tecumseh/Windsor--Tecumseh"," 136","Windsor",0,43,17,10,3,0,73,204
"Windsor--Tecumseh/Windsor--Tecumseh"," 137","Windsor",0,65,20,27,6,0,118,322
"Windsor--Tecumseh/Windsor--Tecumseh"," 138","Windsor",1,56,25,22,6,0,110,266
"Windsor--Tecumseh/Windsor--Tecumseh"," 139","Windsor",0,94,38,27,8,0,167,323
"Windsor--Tecumseh/Windsor--Tecumseh"," 140","Windsor",0,73,43,36,3,1,156,257
"Windsor--Tecumseh/Windsor--Tecumseh"," 141","Windsor",1,89,73,84,3,1,251,391
"Windsor--Tecumseh/Windsor--Tecumseh"," 142","Windsor",2,116,103,83,12,0,316,482
"Windsor--Tecumseh/Windsor--Tecumseh"," 143","Windsor",0,99,26,35,3,2,165,363
"Windsor--Tecumseh/Windsor--Tecumseh"," 144","Windsor",1,116,60,42,3,2,224,386
"Windsor--Tecumseh/Windsor--Tecumseh"," 145","Windsor",0,104,33,45,4,0,186,392
"Windsor--Tecumseh/Windsor--Tecumseh"," 146","Windsor",3,125,43,50,5,0,226,411
"Windsor--Tecumseh/Windsor--Tecumseh"," 147","Windsor",0,121,66,55,2,0,244,375
"Windsor--Tecumseh/Windsor--Tecumseh"," 148","Windsor",2,63,41,25,9,2,142,270
"Windsor--Tecumseh/Windsor--Tecumseh"," 149","Windsor",2,86,59,29,4,3,183,369
"Windsor--Tecumseh/Windsor--Tecumseh"," 150","Windsor",1,116,59,51,5,0,232,434
"Windsor--Tecumseh/Windsor--Tecumseh"," 151","Windsor",0,40,19,15,2,0,76,260
"Windsor--Tecumseh/Windsor--Tecumseh"," 152","Windsor",2,132,53,52,7,1,247,570
"Windsor--Tecumseh/Windsor--Tecumseh"," 153","Windsor",0,90,41,56,8,1,196,419
"Windsor--Tecumseh/Windsor--Tecumseh"," 154","Windsor",0,106,38,56,9,1,210,401
"Windsor--Tecumseh/Windsor--Tecumseh"," 155","Windsor",3,133,61,50,3,6,256,432
