Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Ashley-Pryce,Ed Fast,Tim Felger,Richard Gebert,Jeffrey Hansen-Carlson,David S. MacKay,David Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Abbotsford/Abbotsford"," 500","Mobile poll/Bureau itinérant",0,32,2,0,5,0,3,1,43,114
"Abbotsford/Abbotsford"," 501","Mobile poll/Bureau itinérant",2,73,0,0,11,0,18,1,105,83
"Abbotsford/Abbotsford"," 502","Mobile poll/Bureau itinérant",0,103,0,1,15,1,11,0,131,205
"Abbotsford/Abbotsford"," 503","Mobile poll/Bureau itinérant",3,58,0,3,7,0,9,1,81,114
"Abbotsford/Abbotsford"," 504","Mobile poll/Bureau itinérant",5,50,3,1,14,1,8,1,83,110
"Abbotsford/Abbotsford"," 505","Mobile poll/Bureau itinérant",6,66,0,1,12,0,9,0,94,135
"Abbotsford/Abbotsford"," 506","Mobile poll/Bureau itinérant",2,19,0,5,7,2,7,1,43,73
"Abbotsford/Abbotsford"," 600","Abbotsford",11,185,1,2,30,0,38,0,267,
"Abbotsford/Abbotsford"," 601","Abbotsford--Matsqui Main 2",17,587,4,1,99,1,82,2,793,
"Abbotsford/Abbotsford"," 602","Abbotsford",12,260,0,2,46,1,28,0,349,
"Abbotsford/Abbotsford"," 603","Abbotsford",17,389,1,2,60,1,98,1,569,
"Abbotsford/Abbotsford"," 604","Abbotsford",6,183,4,0,33,0,18,0,244,
"Abbotsford/Abbotsford"," 605","Abbotsford",43,419,3,1,101,1,53,0,621,
"Abbotsford/Abbotsford"," 606","Abbotsford",19,357,4,1,52,2,48,1,484,
"Abbotsford/Abbotsford"," 607","Abbotsford",14,352,1,3,37,0,39,0,446,
"Abbotsford/Abbotsford",,Group 1/Groupe 1,0,43,4,0,17,0,40,1,105,167
"Abbotsford/Abbotsford",,Group 2/Groupe 2,20,718,0,1,86,0,169,5,999,
