Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steve Armes,Bob Callow,Pamela Courtot,Lui Temelkovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oak Ridges--Markham/Oak Ridges--Markham"," 102","Markham",9,69,31,152,0,261,475
"Oak Ridges--Markham/Oak Ridges--Markham"," 102-1","Markham",3,52,16,129,1,201,360
"Oak Ridges--Markham/Oak Ridges--Markham"," 102-2A","Markham",5,80,16,114,0,215,415
"Oak Ridges--Markham/Oak Ridges--Markham"," 102-2B","Markham",7,89,13,171,0,280,533
"Oak Ridges--Markham/Oak Ridges--Markham"," 103","Markham",8,67,12,114,1,202,369
"Oak Ridges--Markham/Oak Ridges--Markham"," 104","Markham",4,72,11,70,3,160,304
"Oak Ridges--Markham/Oak Ridges--Markham"," 105","Markham",5,62,17,133,0,217,462
"Oak Ridges--Markham/Oak Ridges--Markham"," 106","Markham",4,64,22,173,0,263,507
"Oak Ridges--Markham/Oak Ridges--Markham"," 107","Markham",4,53,5,123,0,185,344
"Oak Ridges--Markham/Oak Ridges--Markham"," 108","Markham",22,71,55,110,1,259,509
"Oak Ridges--Markham/Oak Ridges--Markham"," 109A","Markham",3,53,19,90,0,165,324
"Oak Ridges--Markham/Oak Ridges--Markham"," 109B","Markham",1,41,15,90,1,148,324
"Oak Ridges--Markham/Oak Ridges--Markham"," 109C","Markham",3,66,12,123,0,204,399
"Oak Ridges--Markham/Oak Ridges--Markham"," 110","Markham",0,77,21,154,0,252,466
"Oak Ridges--Markham/Oak Ridges--Markham"," 111","Markham",5,54,13,144,0,216,372
"Oak Ridges--Markham/Oak Ridges--Markham"," 112","Markham",2,70,15,114,0,201,421
"Oak Ridges--Markham/Oak Ridges--Markham"," 113A","Markham",1,82,12,105,0,200,395
"Oak Ridges--Markham/Oak Ridges--Markham"," 113B","Markham",5,59,7,93,0,164,309
"Oak Ridges--Markham/Oak Ridges--Markham"," 114","Markham",3,65,18,143,3,232,433
