Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Arthur,Jérôme Beaulieu,Howard M. Bruce,Guy Côté,Jean-Marie Fiset,Gilles Landry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 156","Saint-Marc-des-Carrières",73,8,96,68,5,11,2,263,434
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 157","Saint-Marc-des-Carrières",85,2,90,60,9,11,1,258,420
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 158","Saint-Marc-des-Carrières",75,3,41,37,5,12,1,174,314
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 159","Deschambault-Grondines",74,8,25,48,8,7,1,171,259
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 160","Deschambault-Grondines",68,7,34,64,6,18,3,200,300
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 161","Saint-Ubalde",72,8,92,78,6,21,0,277,453
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 162","Saint-Ubalde",47,6,64,56,9,7,1,190,301
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 163","Saint-Ubalde",72,2,134,52,6,19,2,287,418
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 164","Saint-Thuribe",59,3,43,38,7,13,0,163,221
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 165","Saint-Casimir",51,9,50,61,7,10,1,189,317
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 166","Saint-Casimir",60,1,59,39,4,15,0,178,343
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 167","Saint-Casimir",45,3,60,41,1,14,3,167,351
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 168","Saint-Casimir",52,3,22,27,1,9,0,114,217
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 500","Mobile poll/Bureau itinérant",40,0,3,7,1,10,2,63,137
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 501","Mobile poll/Bureau itinérant",18,0,14,6,1,12,6,57,215
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 502","Mobile poll/Bureau itinérant",12,1,7,6,0,7,1,34,151
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 503","Mobile poll/Bureau itinérant",31,2,13,11,2,7,7,73,136
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 600","Stoneham-et-Tewkesbury",159,9,105,116,12,31,3,435,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 601","Saint-Gabriel-de-Valcartier",30,2,23,22,10,20,0,107,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 602","Sainte-Brigitte-de-Laval",71,7,31,56,4,11,1,181,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 603","Lac-Beauport",150,11,98,108,27,40,4,438,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 604","Saint-Raymond",285,7,77,78,10,23,0,480,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 605","Saint-Raymond",178,3,56,69,3,16,2,327,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 606","Shannon",49,1,72,17,6,26,2,173,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 607","Sainte-Catherine-de-la-Jacques-Cartier",207,7,93,95,6,26,1,435,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 608","Québec",297,15,146,148,14,39,3,662,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 609","Québec",131,9,137,179,22,54,2,534,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 610","Pont-Rouge",288,4,80,102,13,38,1,526,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 611","Neuville",134,3,42,61,7,18,3,268,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 612","Donnacona",340,7,112,177,10,23,2,671,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 613","Portneuf",126,4,49,48,4,9,0,240,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 614","Saint-Marc-des-Carrières",139,12,78,106,8,36,2,381,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier"," 615","Saint-Casimir",60,3,57,62,3,24,0,209,
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier",,Group 1/Groupe 1,60,10,186,80,25,38,8,407,1123
"Portneuf--Jacques-Cartier/Portneuf--Jacques-Cartier",,Group 2/Groupe 2,276,6,90,163,19,66,10,630,
