Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Denis Blanchette,Hélène Chalifour Scherrer,Roger Clavet,Francis Fortin,Luc Harvey,Robert Hudon,Stefan Jetchick,Frédérick Têtu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Louis-Hébert/Louis-Hébert"," 114","Sainte-Foy",18,30,84,1,65,16,0,5,2,221,346
"Louis-Hébert/Louis-Hébert"," 115","Sainte-Foy",34,25,83,0,53,14,0,9,0,218,317
"Louis-Hébert/Louis-Hébert"," 116","Sainte-Foy",19,38,74,1,75,9,0,1,1,218,335
"Louis-Hébert/Louis-Hébert"," 117","Sainte-Foy",10,42,57,0,55,13,0,4,3,184,262
"Louis-Hébert/Louis-Hébert"," 118","Sainte-Foy",27,28,61,2,61,15,1,1,1,197,313
"Louis-Hébert/Louis-Hébert"," 119","Sainte-Foy",16,48,104,1,69,14,1,5,0,258,408
"Louis-Hébert/Louis-Hébert"," 120","Sainte-Foy",33,38,83,0,66,10,1,2,1,234,395
"Louis-Hébert/Louis-Hébert"," 121","Sainte-Foy",22,20,75,0,58,8,0,4,0,187,292
"Louis-Hébert/Louis-Hébert"," 122","Sainte-Foy",20,30,81,2,72,13,0,6,2,226,340
"Louis-Hébert/Louis-Hébert"," 123","Sainte-Foy",16,33,58,0,70,20,0,2,0,199,278
"Louis-Hébert/Louis-Hébert"," 124","Sainte-Foy",21,32,73,3,74,11,0,3,0,217,392
"Louis-Hébert/Louis-Hébert"," 125","Sainte-Foy",17,39,50,1,62,10,0,1,0,180,312
"Louis-Hébert/Louis-Hébert"," 126A","Sainte-Foy",0,5,8,2,7,0,0,0,0,22,151
"Louis-Hébert/Louis-Hébert"," 126B","Sainte-Foy",10,11,36,0,22,4,0,0,3,86,159
"Louis-Hébert/Louis-Hébert"," 126-1","Sainte-Foy",25,10,69,2,62,9,0,1,0,178,353
"Louis-Hébert/Louis-Hébert"," 127","Sainte-Foy",26,17,61,3,59,7,0,3,2,178,382
"Louis-Hébert/Louis-Hébert"," 128","Sainte-Foy",25,41,84,0,148,11,1,1,2,313,555
