Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alice Brown,Gordon Campbell,Will Hansma,Colin Mayes,Harry Naegel,Neville O'Grady,Darren Seymour,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Okanagan--Shuswap/Okanagan--Shuswap"," 144B","Vernon",37,1,27,47,9,0,0,2,123,261
"Okanagan--Shuswap/Okanagan--Shuswap"," 145","Vernon",38,0,32,88,6,0,3,0,167,354
"Okanagan--Shuswap/Okanagan--Shuswap"," 146A","Vernon",67,2,40,49,9,0,5,0,172,287
"Okanagan--Shuswap/Okanagan--Shuswap"," 146B","Vernon",59,1,49,67,6,0,3,0,185,297
"Okanagan--Shuswap/Okanagan--Shuswap"," 147","Vernon",33,0,29,58,4,1,1,0,126,292
"Okanagan--Shuswap/Okanagan--Shuswap"," 148","Vernon",49,0,55,93,6,0,0,0,203,435
"Okanagan--Shuswap/Okanagan--Shuswap"," 149","Vernon",50,1,49,83,5,1,3,1,193,352
"Okanagan--Shuswap/Okanagan--Shuswap"," 150","Vernon",55,2,37,64,4,2,1,1,166,464
"Okanagan--Shuswap/Okanagan--Shuswap"," 151","Vernon",71,0,30,66,12,3,1,0,183,387
"Okanagan--Shuswap/Okanagan--Shuswap"," 152A","Vernon",41,2,33,46,6,0,2,1,131,293
"Okanagan--Shuswap/Okanagan--Shuswap"," 152B","Vernon",44,0,33,66,2,1,1,0,147,300
"Okanagan--Shuswap/Okanagan--Shuswap"," 153A","Vernon",41,2,29,41,7,1,2,1,124,321
"Okanagan--Shuswap/Okanagan--Shuswap"," 153B","Vernon",51,1,26,34,4,1,3,0,120,318
"Okanagan--Shuswap/Okanagan--Shuswap"," 154","Vernon",52,1,27,73,3,0,0,0,156,363
"Okanagan--Shuswap/Okanagan--Shuswap"," 155","Vernon",58,0,33,70,11,0,2,0,174,406
"Okanagan--Shuswap/Okanagan--Shuswap"," 156","Vernon",53,2,29,54,10,0,0,1,149,347
"Okanagan--Shuswap/Okanagan--Shuswap"," 157A","Vernon",53,2,27,39,11,0,0,0,132,346
"Okanagan--Shuswap/Okanagan--Shuswap"," 157B","Vernon",48,1,30,45,10,0,0,0,134,332
"Okanagan--Shuswap/Okanagan--Shuswap"," 158","Vernon",65,2,52,50,5,0,1,0,175,333
"Okanagan--Shuswap/Okanagan--Shuswap"," 159","Vernon",86,1,39,81,10,0,3,0,220,394
"Okanagan--Shuswap/Okanagan--Shuswap"," 160A","Vernon",52,2,31,77,7,0,1,0,170,271
"Okanagan--Shuswap/Okanagan--Shuswap"," 160B","Vernon",37,0,38,52,6,1,1,0,135,256
"Okanagan--Shuswap/Okanagan--Shuswap"," 161A","Vernon",31,0,32,63,0,0,3,0,129,243
"Okanagan--Shuswap/Okanagan--Shuswap"," 161B","Vernon",46,4,22,57,4,0,0,0,133,249
"Okanagan--Shuswap/Okanagan--Shuswap"," 162","Vernon",39,1,39,91,4,0,1,0,175,359
"Okanagan--Shuswap/Okanagan--Shuswap"," 163","Vernon",15,0,29,67,7,1,2,0,121,297
"Okanagan--Shuswap/Okanagan--Shuswap"," 164","Vernon",27,0,19,45,8,0,1,0,100,282
"Okanagan--Shuswap/Okanagan--Shuswap"," 165A","Vernon",30,0,34,82,2,0,0,0,148,261
