Province,Electoral District/Circonscription,Candidate/Candidat,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","Nirvan Balkissoon N.D.P./N.P.D.","Mississauga, Ont.","Businessman/Homme d'affaires",5521,10.88,,
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","Grace Yogaretnam Green Party/Parti Vert","Mississauga, Ont.","Student/Étudiante",1927,3.8,,
"Ontario","Mississauga--Brampton South/Mississauga--Brampton-Sud","Tim Sullivan Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont.","Truck Driver/Camionneur",319,.63,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Albina Guarnieri ** Liberal/Libéral","Mississauga, Ont.","Parliamentarian/Parlementaire",23530,51.65,      9204,  20.2
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Carl DeFaria Conservative/Conservateur","Mississauga, Ont.","Lawyer/Avocat",14326,31.45,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Jim Gill N.D.P./N.P.D.","Brampton, Ont.","Accounts Receivable Clerk/Commis aux comptes débiteurs",5180,11.37,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Richard Pietro Green Party/Parti Vert","Mississauga, Ont.","Bilingual Marketing Coordinator/Coordonnateur du marketing bilingue",1393,3.06,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Mohamed Elrofaie Independent/Indépendant","Mississauga, Ont.","Business Manager/Directeur des opérations",496,1.09,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Sally Wong Christian Heritage Party/Parti de l'Héritage Chrétien","Mississauga, Ont.","Advertising Director/Directrice publicitaire",467,1.03,,
"Ontario","Mississauga East--Cooksville/Mississauga-Est--Cooksville","Pierre Chénier Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont.","Printer/Imprimeur",164,.36,,
"Ontario","Mississauga--Erindale","Omar Alghabra Liberal/Libéral","Mississauga, Ont.","Engineer/Ingénieur",26852,44.81,      3328,   5.6
"Ontario","Mississauga--Erindale","Bob Dechert Conservative/Conservateur","Mississauga, Ont.","Lawyer/Avocat",23524,39.26,,
"Ontario","Mississauga--Erindale","Rupinder Brar N.D.P./N.P.D.","Mississauga, Ont.","University Instructor/Instructeur à l'université",6644,11.09,,
"Ontario","Mississauga--Erindale","Adam Hunter Green Party/Parti Vert","Mississauga, Ont.","Business Owner/Propriétaire d'entreprise",2613,4.36,,
"Ontario","Mississauga--Erindale","Ronnie Amyotte Independent/Indépendant","Mississauga, Ont.","Partner/Associé",289,.48,,
"Ontario","Mississauga South/Mississauga-Sud","Paul Szabo ** Liberal/Libéral","Mississauga, Ont.","Chartered Accountant/Comptable agréé",23018,44.17,      2130,   4.1
"Ontario","Mississauga South/Mississauga-Sud","Phil Green Conservative/Conservateur","Mississauga, Ont.","Statistician/Statisticien",20888,40.09,,
"Ontario","Mississauga South/Mississauga-Sud","Mark de Pelham N.D.P./N.P.D.","Mississauga, Ont.","Customer Service Representative/Représentant des services à la clientèle",5607,10.76,,
"Ontario","Mississauga South/Mississauga-Sud","Brendan Tarry Green Party/Parti Vert","Mississauga, Ont.","Literacy Specialist/Spécialiste en alphabétisation",2393,4.59,,
"Ontario","Mississauga South/Mississauga-Sud","Paul D.J. McMurray Canadian Action/Action canadienne","Mississauga, Ont.","Cabinetmaker/Ébéniste",129,.25,,
"Ontario","Mississauga South/Mississauga-Sud","Dagmar Sullivan Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont.","Assembler, Film/Assembleuse de films",74,.14,,
"Ontario","Mississauga--Streetsville","Wajid Khan ** Liberal/Libéral","Toronto, Ont.","Business Owner/Propriétaire d'entreprise",23913,45.95,      5792,  11.1
"Ontario","Mississauga--Streetsville","Raminder Gill Conservative/Conservateur","Mississauga, Ont.","Professional Engineer/Ingénieur",18121,34.82,,
"Ontario","Mississauga--Streetsville","James Caron N.D.P./N.P.D.","Mississauga, Ont.","Security Guard/Agent de sécurité",6929,13.31,,
"Ontario","Mississauga--Streetsville","Otto Casanova Green Party/Parti Vert","Mississauga, Ont.","Sales/Vente",2334,4.48,,
"Ontario","Mississauga--Streetsville","Peter Creighton PC Party/Parti PC","Mississauga, Ont.","Vice-President, Sales/Vice-président aux ventes",747,1.44,,
"Ontario","Nepean--Carleton","Pierre Poilievre ** Conservative/Conservateur","Nepean, Ont.","Parliamentarian/Parlementaire",39512,54.97,     19401,  27.0
"Ontario","Nepean--Carleton","Michael Gaffney Liberal/Libéral","Nepean, Ont.","CEO/PDG",20111,27.98,,
"Ontario","Nepean--Carleton","Laurel Gibbons N.D.P./N.P.D.","Greely, Ont.","Business Consultant/Conseillère en affaires",8274,11.51,,
"Ontario","Nepean--Carleton","Lori Gadzala Green Party/Parti Vert","Manotick, Ont.","Marketing Consultant/Consultante en marketing",3976,5.53,,
"Ontario","Newmarket--Aurora","Belinda Stronach ** Liberal/Libéral","Aurora, Ont.","Parliamentarian/Parlementaire",27176,46.21,      4800,   8.2
"Ontario","Newmarket--Aurora","Lois Brown Conservative/Conservateur","Newmarket, Ont.","Consultant/Consultante",22376,38.05,,
"Ontario","Newmarket--Aurora","Ed Chudak N.D.P./N.P.D.","Newmarket, Ont.","Executive Assistant/Adjoint de direction",5639,9.59,,
"Ontario","Newmarket--Aurora","Glenn Hubbers Green Party/Parti Vert","Aurora, Ont.","Professional Engineer/Ingénieur",2813,4.78,,
"Ontario","Newmarket--Aurora","Dorian Baxter PC Party/Parti PC","Newmarket, Ont.","Clergyman/Membre du clergé",729,1.24,,
"Ontario","Newmarket--Aurora","Peter Maloney Canadian Action/Action canadienne","Newmarket, Ont.","Software Developer/Solutions Developer/Développeur de logiciels-Développeur-solutions",79,.13,,
"Ontario","Niagara Falls","Rob Nicholson ** Conservative/Conservateur","Niagara Falls, Ont.","Lawyer/Avocat",23485,40.36,      3393,   5.8
"Ontario","Niagara Falls","Gary Burroughs Liberal/Libéral","Niagara-on-the-Lake, Ont.","Lord Mayor/Lord-maire",20092,34.53,,
"Ontario","Niagara Falls","Wayne Gates N.D.P./N.P.D.","Niagara Falls, Ont.","Auto Worker/Travailleur de l'automobile",12209,20.98,,
"Ontario","Niagara Falls","Kay Green Green Party/Parti Vert","Fort Erie, Ont.","Instructional Designer/Conceptrice d'apprentissage",2402,4.13,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Dean Allison ** Conservative/Conservateur","Beamsville, Ont.","Parliamentarian/Business Owner/Parlementaire-Propriétaire d'entreprise",27351,47.38,      9639,  16.7
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Heather Carter Liberal/Libéral","Fonthill, Ont.","Manager/Gestionnaire",17712,30.68,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Dave Heatley N.D.P./N.P.D.","Hamilton, Ont.","Retired Sign Maker/Fabricant d'enseignes à la retraite",9251,16.02,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","Tom Ferguson Green Party/Parti Vert","Vineland Station, Ont.","Builder/Constructeur",2284,3.96,,
"Ontario","Niagara West--Glanbrook/Niagara-Ouest--Glanbrook","David W. Bylsma Christian Heritage Party/Parti de l'Héritage Chrétien","St. Anns, Ont.","Cabinet Door Manufacturer/Fabricant de portes d'armoires",1132,1.96,,
"Ontario","Nickel Belt","Raymond Bonin ** Liberal/Libéral","Sudbury, Ont.","Parliamentarian/Parlementaire",19775,43.31,      2107,   4.6
"Ontario","Nickel Belt","Claude Gravelle N.D.P./N.P.D.","Chelmsford, Ont.","Machinist/Machiniste",17668,38.7,,
"Ontario","Nickel Belt","Margaret Schwartzentruber Conservative/Conservateur","Monetville, Ont.","Dairy Farmer/Exploitante de ferme laitière",5732,12.55,,
"Ontario","Nickel Belt","Mathieu Péron PC Party/Parti PC","Sudbury, Ont.","Draftsman/Dessinateur",1044,2.29,,
"Ontario","Nickel Belt","Mark McAllister Green Party/Parti Vert","Capreol, Ont.","Graphic Designer/Designer graphique",975,2.14,,
"Ontario","Nickel Belt","Michel D. Ethier Marijuana Party/Parti Marijuana","Field, Ont.","Minister of the Church of the Universe/Ministre de l'Église de l'Univers",421,.92,,
"Ontario","Nickel Belt","Steve Rutchinski Marxist-Leninist/Marxiste-Léniniste","Capreol, Ont.","University Administrative Staff/Employé administratif dans une université",42,.09,,
"Ontario","Nipissing--Timiskaming","Anthony Rota ** Liberal/Libéral","North Bay, Ont.","Parliamentarian/Parlementaire",21393,44.69,      4882,  10.2
"Ontario","Nipissing--Timiskaming","Peter Chirico Conservative/Conservateur","North Bay, Ont.","Banker/Banquier",16511,34.49,,
"Ontario","Nipissing--Timiskaming","Dave Fluri N.D.P./N.P.D.","Sturgeon Falls, Ont.","Biologist/Biologiste",8268,17.27,,
"Ontario","Nipissing--Timiskaming","Meg Purdy Green Party/Parti Vert","Callander, Ont.","Retired Clergy/Membre du clergé à la retraite",1698,3.55,,
"Ontario","Northumberland--Quinte West","Rick Norlock Conservative/Conservateur","Warkworth, Ont.","Retired Police Officer/Policier retraité",25833,41.21,      3267,   5.2
"Ontario","Northumberland--Quinte West","Paul Macklin ** Liberal/Libéral","Cobourg, Ont.","Parliamentarian/Parlementaire",22566,36,,
"Ontario","Northumberland--Quinte West","Russ Christianson N.D.P./N.P.D.","Campbellford, Ont.","Management Consultant/Consultant en gestion",11334,18.08,,
"Ontario","Northumberland--Quinte West","Patricia Lawson Green Party/Parti Vert","Port Hope, Ont.","Homemaker/Maîtresse de maison",2946,4.7,,
"Ontario","Oak Ridges--Markham","Lui Temelkovski ** Liberal/Libéral","Markham, Ont.","Parliamentarian/Parlementaire",35083,47.06,      6400,   8.6
"Ontario","Oak Ridges--Markham","Bob Callow Conservative/Conservateur","Aurora, Ont.","Businessman/Homme d'affaires",28683,38.47,,
"Ontario","Oak Ridges--Markham","Pamela Courtot N.D.P./N.P.D.","Stouffville, Ont.","Business Consultant/Conseillère en affaires",7367,9.88,,
"Ontario","Oak Ridges--Markham","Steve Armes Green Party/Parti Vert","Richmond Hill, Ont.","Software Sales Executive/Directeur des ventes de logiciels",3423,4.59,,
"Ontario","Oakville","M. A. Bonnie Brown ** Liberal/Libéral","Oakville, Ont.","Parliamentarian/Parlementaire",25892,43.35,       744,   1.2
"Ontario","Oakville","Terence Young Conservative/Conservateur","Oakville, Ont.","Consultant/Consultant",25148,42.1,,
"Ontario","Oakville","Tina Agrell N.D.P./N.P.D.","Oakville, Ont.","Psycho-Educational Consultant/Experte-conseil en psychoéducation",5815,9.74,,
"Ontario","Oakville","Laura Domsy Green Party/Parti Vert","Penetang, Ont.","Banker/Banquière",2872,4.81,,
"Ontario","Oshawa","Colin Carrie ** Conservative/Conservateur","Oshawa, Ont.","Parliamentarian/Parlementaire",20657,38.61,      2752,   5.1
"Ontario","Oshawa","Sid Ryan N.D.P./N.P.D.","Whitby, Ont.","Union Leader/Dirigeant syndical",17905,33.47,,
"Ontario","Oshawa","Louise Parkes Liberal/Libéral","Oshawa, Ont.","City Councillor/Conseillère municipale",12831,23.98,,
"Ontario","Oshawa","Adam Jobse Green Party/Parti Vert","Oshawa, Ont.","Sales/Vente",2019,3.77,,
"Ontario","Oshawa","David Gershuny Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont.","Shipper/Expéditionnaire",91,.17,,
"Ontario","Ottawa Centre/Ottawa-Centre","Paul Dewar N.D.P./N.P.D.","Ottawa, Ont.","Teacher/Enseignant",24609,36.94,      5141,   7.7
"Ontario","Ottawa Centre/Ottawa-Centre","Richard Mahoney Liberal/Libéral","Ottawa, Ont.","Lawyer/Avocat",19468,29.22,,
"Ontario","Ottawa Centre/Ottawa-Centre","Keith Fountain Conservative/Conservateur","Ottawa, Ont.","Foreign Service Officer/Agent du service extérieur",15105,22.67,,
"Ontario","Ottawa Centre/Ottawa-Centre","David Chernushenko Green Party/Parti Vert","Ottawa, Ont.","Environmental Consultant/Consultant en environnement",6765,10.15,,
"Ontario","Ottawa Centre/Ottawa-Centre","John Andrew Akpata Marijuana Party/Parti Marijuana","Ottawa, Ont.","Writer/Écrivain",387,.58,,
"Ontario","Ottawa Centre/Ottawa-Centre","Anwar Syed Independent/Indépendant","Ottawa, Ont.","Engineer/Ingénieur",121,.18,,
"Ontario","Ottawa Centre/Ottawa-Centre","Stuart Ryan Communist/Communiste","Ottawa, Ont.","Union Representative/Représentant syndical",102,.15,,
"Ontario","Ottawa Centre/Ottawa-Centre","Christian Legeais Marxist-Leninist/Marxiste-Léniniste","Gatineau, Que./Qc","Documentalist/Documentaliste",69,.1,,
"Ontario","Ottawa--Orléans","Royal Galipeau Conservative/Conservateur","Ottawa, Ont.","Expert Advisor/Expert-conseil",25455,41.06,      1231,   2.0
"Ontario","Ottawa--Orléans","Marc Godbout ** Liberal/Libéral","Orléans, Ont.","Parliamentarian/Parlementaire",24224,39.08,,
"Ontario","Ottawa--Orléans","Mark Andrew Leahy N.D.P./N.P.D.","Ottawa, Ont.","Business Owner/Graphic Designer/Propriétaire d'entreprise-Designer graphique",9354,15.09,,
"Ontario","Ottawa--Orléans","Sarah Samplonius Green Party/Parti Vert","Kanata, Ont.","Writer/Écrivaine",2377,3.83,,
"Ontario","Ottawa--Orléans","Alain Saint-Yves Independent/Indépendant","Ottawa, Ont.","Retired/Retraité",578,.93,,
"Ontario","Ottawa South/Ottawa-Sud","David McGuinty ** Liberal/Libéral","Ottawa, Ont.","Parliamentarian/Parlementaire",27158,44.15,      4130,   6.7
"Ontario","Ottawa South/Ottawa-Sud","Allan Cutler Conservative/Conservateur","Ottawa, Ont.","Consultant/Consultant",23028,37.44,,
"Ontario","Ottawa South/Ottawa-Sud","Henri Sader N.D.P./N.P.D.","Ottawa, Ont.","Federal Legislative Assistant/Adjoint législatif au gouvernement fédéral",8138,13.23,,
"Ontario","Ottawa South/Ottawa-Sud","John Ford Green Party/Parti Vert","Ottawa, Ont.","Consultant/Consultant",2913,4.74,,
"Ontario","Ottawa South/Ottawa-Sud","Brad Thomson PC Party/Parti PC","Ottawa, Ont.","Greenskeeper/Responsable de l'entretien des verts",273,.44,,
"Ontario","Ottawa--Vanier","Mauril Bélanger ** Liberal/Libéral","Ottawa, Ont.","Parliamentarian/Parlementaire",23567,42.31,      7597,  13.6
"Ontario","Ottawa--Vanier","Paul Benoit Conservative/Conservateur","Ottawa, Ont.","Consultant/Consultant",15970,28.67,,
"Ontario","Ottawa--Vanier","Ric Dagenais N.D.P./N.P.D.","Ottawa, Ont.","Analyst/Analyste",12145,21.81,,
"Ontario","Ottawa--Vanier","Raphaël Thierrin Green Party/Parti Vert","Ottawa, Ont.","Executive Director/Directeur exécutif",3675,6.6,,
"Ontario","Ottawa--Vanier","James C. Parsons PC Party/Parti PC","Ottawa, Ont.","Lecturer/Chargé de cours",221,.4,,
"Ontario","Ottawa--Vanier","Alexandre Legeais Marxist-Leninist/Marxiste-Léniniste","Ottawa, Ont.","Truck Driver/Camionneur",117,.21,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","John Baird Conservative/Conservateur","Nepean, Ont.","Politician/Politicien",25607,43.07,      5357,   9.0
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Lee Farnworth Liberal/Libéral","Nepean, Ont.","Educator/Éducatrice",20250,34.06,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Marlene Rivier N.D.P./N.P.D.","Ottawa, Ont.","Psychological Associate/Associée en psychologie",9626,16.19,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Neil Adair Green Party/Parti Vert","Ottawa, Ont.","Web Designer/Concepteur de pages Web",2941,4.95,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","John Pacheco Independent/Indépendant","Ottawa, Ont.","Accountant/Comptable",905,1.52,,
"Ontario","Ottawa West--Nepean/Ottawa-Ouest--Nepean","Randy Bens Canadian Action/Action canadienne","Ottawa, Ont.","Internet Marketing Specialist/Spécialiste du marketing par Internet",121,.2,,
"Ontario","Oxford","Dave MacKenzie ** Conservative/Conservateur","Woodstock, Ont.","Parliamentarian/Parlementaire",23140,46.55,      9179,  18.5
"Ontario","Oxford","Greig Mordue Liberal/Libéral","Drumbo, Ont.","Assistant General Manager, Corporate Planning/Directeur général adjoint (planif. intégrée)",13961,28.08,,
"Ontario","Oxford","Zoé Kunschner N.D.P./N.P.D.","Brownsville, Ont.","Talent Agent/Imprésario",8639,17.38,,
"Ontario","Oxford","Ronnee Sykes Green Party/Parti Vert","Brownsville, Ont.","Student/Étudiante",1566,3.15,,
"Ontario","Oxford","John Markus Christian Heritage Party/Parti de l'Héritage Chrétien","Beachville, Ont.","Farmer/Agriculteur",1434,2.88,,
"Ontario","Oxford","James Bender Marijuana Party/Parti Marijuana","Woodstock, Ont.","Self-employed/Travailleur indépendant",771,1.55,,
"Ontario","Oxford","Kaye Sargent Libertarian/Libertarien","Innerkip, Ont.","Writer/Écrivaine",204,.41,,
"Ontario","Parkdale--High Park","Peggy Nash N.D.P./N.P.D.","Toronto, Ont.","Labour Representative/Représentante syndicale",20790,40.41,      2301,   4.5
"Ontario","Parkdale--High Park","Sarmite Sam Bulte ** Liberal/Libéral","Toronto, Ont.","Parliamentarian/Parlementaire",18489,35.94,,
"Ontario","Parkdale--High Park","Jurij Klufas Conservative/Conservateur","Oro Station, Ont.","Television Producer/Producteur de télévision",8777,17.06,,
"Ontario","Parkdale--High Park","Robert L. Rishchynski Green Party/Parti Vert","Toronto, Ont.","IT Manager/Gestionnaire TI",2840,5.52,,
"Ontario","Parkdale--High Park","Terry Parker Marijuana Party/Parti Marijuana","Toronto, Ont.","Marijuana Advocate/Défenseur de la marijuana",311,.6,,
"Ontario","Parkdale--High Park","Lorne Gershuny Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont.","Lawyer/Avocat",124,.24,,
"Ontario","Parkdale--High Park","Beverly Bernardo No Affiliation/Aucune appartenance","Toronto, Ont.","Garment Worker/Travailleuse du vêtement",119,.23,,
"Ontario","Parry Sound--Muskoka","Tony Clement Conservative/Conservateur","Brampton, Ont.","Small Business Owner/Propriétaire de petite entreprise",18513,40.1,        28,   0.1
"Ontario","Parry Sound--Muskoka","Andy Mitchell ** Liberal/Libéral","Gravenhurst, Ont.","Parliamentarian/Parlementaire",18485,40.04,,
"Ontario","Parry Sound--Muskoka","Jo-Anne Boulding N.D.P./N.P.D.","Bracebridge, Ont.","Lawyer/Avocate",5472,11.85,,
"Ontario","Parry Sound--Muskoka","Glen Hodgson Green Party/Parti Vert","Nobel, Ont.","Teacher/Enseignant",3701,8.02,,
"Ontario","Perth--Wellington","Gary Schellenberger ** Conservative/Conservateur","Sebringville, Ont.","Parliamentarian/Parlementaire",22004,46.14,      9703,  20.3
"Ontario","Perth--Wellington","David Cunningham Liberal/Libéral","St. Marys, Ont.","Manager/Gestionnaire",12301,25.79,,
"Ontario","Perth--Wellington","Keith Dinicol N.D.P./N.P.D.","Stratford, Ont.","Actor/Acteur",8876,18.61,,
"Ontario","Perth--Wellington","John Day Cowling Green Party/Parti Vert","Stratford, Ont.","Salesman/Vendeur",3117,6.54,,
"Ontario","Perth--Wellington","Irma DeVries Christian Heritage Party/Parti de l'Héritage Chrétien","Harriston, Ont.","Farmer/Agricultrice",1396,2.93,,
"Ontario","Peterborough","Dean Del Mastro Conservative/Conservateur","Peterborough, Ont.","Self-employed Auto Dealer/Marchand d'automobiles autonome",22774,35.9,      2242,   3.5
"Ontario","Peterborough","Diane Lloyd Liberal/Libéral","Lakefield, Ont.","Real Estate Sales Representative/Représentante des ventes immobilières",20532,32.37,,
"Ontario","Peterborough","Linda Slavin N.D.P./N.P.D.","Peterborough, Ont.","Education Consultant/Consultante en éducation",16286,25.68,,
"Ontario","Peterborough","Brent Wood Green Party/Parti Vert","Peterborough, Ont.","Professor/Professeur",3205,5.05,,
"Ontario","Peterborough","Aiden Wiechula Marijuana Party/Parti Marijuana","Peterborough, Ont.","Student/Étudiant",455,.72,,
"Ontario","Peterborough","Bob Bowers Independent/Indépendant","Peterborough, Ont.","Retired/Retraité",179,.28,,
"Ontario","Pickering--Scarborough East/Pickering--Scarborough-Est","Dan McTeague ** Liberal/Libéral","Oakville, Ont.","Parliamentarian/Parlementaire",27719,52.68,     11026,  21.0
"Ontario","Pickering--Scarborough East/Pickering--Scarborough-Est","Tim Dobson Conservative/Conservateur","Pickering, Ont.","Chemist/Chimiste",16693,31.73,,
"Ontario","Pickering--Scarborough East/Pickering--Scarborough-Est","Gary Dale N.D.P./N.P.D.","Toronto, Ont.","Systems Consultant/Consultant en systèmes",6090,11.57,,
"Ontario","Pickering--Scarborough East/Pickering--Scarborough-Est","Jeff Brownridge Green Party/Parti Vert","Peterborough, Ont.","Self-employed/Travailleur indépendant",1869,3.55,,
"Ontario","Pickering--Scarborough East/Pickering--Scarborough-Est","Pedro Gonsalves Independent/Indépendant","Pickering, Ont.","Information Technician/Technicien en information",176,.33,,
"Ontario","Pickering--Scarborough East/Pickering--Scarborough-Est","Chai Kalevar Canadian Action/Action canadienne","Toronto, Ont.","Consultant/Consultant",70,.13,,
"Ontario","Prince Edward--Hastings","Daryl Kramp ** Conservative/Conservateur","Madoc, Ont.","Parliamentarian/Parlementaire",27787,48.67,      9753,  17.1
"Ontario","Prince Edward--Hastings","Bob Vaughan Liberal/Libéral","Carrying Place, Ont.","Medical Doctor/Médecin",18034,31.58,,
"Ontario","Prince Edward--Hastings","Michael McMahon N.D.P./N.P.D.","Belleville, Ont.","Teacher, Secondary School/Enseignant au niveau secondaire",8474,14.84,,
"Ontario","Prince Edward--Hastings","Joseph Sahadat Green Party/Parti Vert","Picton, Ont.","Minister of Religion/Ministre du culte",2386,4.18,,
"Ontario","Prince Edward--Hastings","Tim Hickey Independent/Indépendant","Belleville, Ont.","Entrepreneur/Entrepreneur",416,.73,,
"Ontario","Renfrew--Nipissing--Pembroke","Cheryl Gallant ** Conservative/Conservateur","Pembroke, Ont.","Parliamentarian/Parlementaire",29923,57.69,     17391,  33.5
"Ontario","Renfrew--Nipissing--Pembroke","Don Lindsay Liberal/Libéral","Renfrew, Ont.","Businessman/Homme d'affaires",12532,24.16,,
"Ontario","Renfrew--Nipissing--Pembroke","Sue McSheffrey N.D.P./N.P.D.","Renfrew, Ont.","Physiotherapist/Physiothérapeute",6509,12.55,,
"Ontario","Renfrew--Nipissing--Pembroke","Gordon Scott McLeod Green Party/Parti Vert","Eganville, Ont.","Forester/Forestier",1605,3.09,,
"Ontario","Renfrew--Nipissing--Pembroke","Paul Kelly Independent/Indépendant","Pembroke, Ont.","Teacher/Enseignant",1304,2.51,,
"Ontario","Richmond Hill","Bryon Wilfert ** Liberal/Libéral","Richmond Hill, Ont.","Parliamentarian/Parlementaire",27837,53.58,     11273,  21.7
"Ontario","Richmond Hill","Joe Di Paola Conservative/Conservateur","Richmond Hill, Ont.","City Councillor/Conseiller municipal",16564,31.88,,
"Ontario","Richmond Hill","Wess Dowsett N.D.P./N.P.D.","Richmond Hill, Ont.","Union Representative/Représentant syndical",5176,9.96,,
"Ontario","Richmond Hill","Tim Rudkins Green Party/Parti Vert","Richmond Hill, Ont.","Consultant/Consultant",2379,4.58,,
"Ontario","St. Catharines","Rick Dykstra Conservative/Conservateur","St. Catharines, Ont.","Public Affairs/Affaires publiques",21669,37.47,       246,   0.4
"Ontario","St. Catharines","Walt Lastewka ** Liberal/Libéral","St. Catharines, Ont.","Business Executive/Homme d'affaires",21423,37.05,,
"Ontario","St. Catharines","Jeff Burch N.D.P./N.P.D.","St. Catharines, Ont.","Union Representative/Représentant syndical",11848,20.49,,
"Ontario","St. Catharines","Jim Fannon Green Party/Parti Vert","St. Catharines, Ont.","Real Estate Sales/Vente de biens immobiliers",2305,3.99,,
"Ontario","St. Catharines","Bill Bylsma Christian Heritage Party/Parti de l'Héritage Chrétien","St. Catharines, Ont.","Retired/Retraité",481,.83,,
"Ontario","St. Catharines","Elaine Couto Marxist-Leninist/Marxiste-Léniniste","Toronto, Ont.","Office Worker/Employée de bureau",101,.17,,
"Ontario","St. Paul's","Carolyn Bennett ** Liberal/Libéral","Toronto, Ont.","Parliamentarian/Parlementaire",29295,50.26,     14274,  24.5
"Ontario","St. Paul's","Peter Kent Conservative/Conservateur","Toronto, Ont.","Journalist/Journaliste",15021,25.77,,
"Ontario","St. Paul's","Paul Summerville N.D.P./N.P.D.","Toronto, Ont.","Banker/Banquier",11189,19.2,,
"Ontario","St. Paul's","Kevin Farmer Green Party/Parti Vert","Toronto, Ont.","Student/Étudiant",2785,4.78,,
"Ontario","Sarnia--Lambton","Pat Davidson Conservative/Conservateur","Wyoming, Ont.","Retired/Retraitée",21841,40.98,      4192,   7.9
"Ontario","Sarnia--Lambton","Roger Gallaway ** Liberal/Libéral","Point Edward, Ont.","Parliamentarian/Parlementaire",17649,33.11,,
"Ontario","Sarnia--Lambton","Greg Agar N.D.P./N.P.D.","Courtright, Ont.","Process Operator/Opérateur d'appareil de traitement",10673,20.02,,
"Ontario","Sarnia--Lambton","Mike Jacobs Green Party/Parti Vert","Brights Grove, Ont.","Engineer/Ingénieur",1712,3.21,,
"Ontario","Sarnia--Lambton","Gary De Boer Christian Heritage Party/Parti de l'Héritage Chrétien","Wyoming, Ont.","Farmer/Agriculteur",1108,2.08,,
"Ontario","Sarnia--Lambton","John Elliott Independent/Indépendant","Camlachie, Ont.","Process Operator/Opérateur d'appareil de traitement",316,.59,,
"Ontario","Sault Ste. Marie","Tony Martin ** N.D.P./N.P.D.","Sault Ste. Marie, Ont.","Parliamentarian/Parlementaire",17979,38.88,      2154,   4.7
"Ontario","Sault Ste. Marie","Christian Provenzano Liberal/Libéral","Sault Ste. Marie, Ont.","Lawyer/Avocat",15825,34.22,,
"Ontario","Sault Ste. Marie","Ken Walker Conservative/Conservateur","Sault Ste. Marie, Ont.","Barrister/Avocat",11099,24,,
"Ontario","Sault Ste. Marie","Mark Viitala Green Party/Parti Vert","Holland Landing, Ont.","Technical Director/Directeur technique",1056,2.28,,
"Ontario","Sault Ste. Marie","Guy Dumas FPNP/FPNP","Sault Ste. Marie, Ont.","Business Coach/Trainer/Coach-Formateur en entreprise",225,.49,,
"Ontario","Sault Ste. Marie","Mike Taffarel Marxist-Leninist/Marxiste-Léniniste","Sault Ste. Marie, Ont.","Steelworker/Métallo",59,.13,,
"Ontario","Scarborough--Agincourt","Jim Karygiannis ** Liberal/Libéral","Toronto, Ont.","Parliamentarian/Parlementaire",28065,62.59,     17381,  38.8
"Ontario","Scarborough--Agincourt","Bill Redwood Conservative/Conservateur","Scarborough, Ont.","Financial Processing/Traitement financier",10684,23.83,,
"Ontario","Scarborough--Agincourt","David Robertson N.D.P./N.P.D.","Toronto, Ont.","ESL Instructor/Professeur d'anglais langue seconde",4969,11.08,,
"Ontario","Scarborough--Agincourt","Casey Maple Green Party/Parti Vert","Toronto, Ont.","Entrepreneur/Entrepreneur",1120,2.5,,
"Ontario","Scarborough Centre/Scarborough-Centre","John Cannis ** Liberal/Libéral","Scarborough, Ont.","Parliamentarian/Parlementaire",23332,55.38,     11810,  28.0
"Ontario","Scarborough Centre/Scarborough-Centre","Roxanne James Conservative/Conservateur","Scarborough, Ont.","IT Professional/Professionnelle de la technologie de l'information",11522,27.35,,
"Ontario","Scarborough Centre/Scarborough-Centre","Dorothy Laxton N.D.P./N.P.D.","Scarborough, Ont.","Administrative Assistant/Adjointe administrative",5884,13.96,,
