Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ulric DeGrâce,Yvon Godin,Eric Landry,Marcelle Mersereau,Philippe Rousselle,Serge Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Acadie--Bathurst/Acadie--Bathurst"," 26C","Mobile poll/Bureau itinérant",Merged with No. 26B/Fusionné avec le nº 26B,,,,,,,,14
"Acadie--Bathurst/Acadie--Bathurst"," 27","Beresford",5,50,0,52,3,27,2,139,200
"Acadie--Bathurst/Acadie--Bathurst"," 28A","Beresford",12,111,0,56,0,34,3,216,326
"Acadie--Bathurst/Acadie--Bathurst"," 28B","Mobile poll/Bureau itinérant",1,8,0,20,0,9,0,38,19
"Acadie--Bathurst/Acadie--Bathurst"," 29","Beresford",0,111,2,114,5,69,3,304,479
"Acadie--Bathurst/Acadie--Bathurst"," 30A","Beresford",1,75,0,57,3,13,0,149,245
"Acadie--Bathurst/Acadie--Bathurst"," 30B","Beresford",0,47,0,59,4,25,1,136,240
"Acadie--Bathurst/Acadie--Bathurst"," 31","Beresford",2,115,0,75,3,41,0,236,451
"Acadie--Bathurst/Acadie--Bathurst"," 32","Beresford",0,83,0,99,3,29,0,214,349
"Acadie--Bathurst/Acadie--Bathurst"," 33","Beresford",4,73,1,68,2,43,2,193,370
"Acadie--Bathurst/Acadie--Bathurst"," 34","Bathurst",0,61,0,130,9,50,1,251,449
"Acadie--Bathurst/Acadie--Bathurst"," 35","Bathurst",0,65,0,94,3,37,1,200,371
"Acadie--Bathurst/Acadie--Bathurst"," 36","Bathurst",1,72,0,41,5,23,1,143,268
"Acadie--Bathurst/Acadie--Bathurst"," 37","Bathurst",0,79,0,77,4,35,4,199,374
"Acadie--Bathurst/Acadie--Bathurst"," 38A","Bathurst",0,67,0,44,0,17,0,128,318
"Acadie--Bathurst/Acadie--Bathurst"," 38B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,,,5
"Acadie--Bathurst/Acadie--Bathurst"," 39","Bathurst",1,71,1,67,2,20,1,163,326
"Acadie--Bathurst/Acadie--Bathurst"," 40","Bathurst",1,74,2,77,2,24,0,180,321
"Acadie--Bathurst/Acadie--Bathurst"," 41","Bathurst",0,81,0,65,0,14,1,161,291
"Acadie--Bathurst/Acadie--Bathurst"," 42","Bathurst",0,63,1,59,0,11,2,136,300
"Acadie--Bathurst/Acadie--Bathurst"," 43A","Bathurst",1,72,0,80,1,29,3,186,341
"Acadie--Bathurst/Acadie--Bathurst"," 43B","Mobile poll/Bureau itinérant",Merged with No. 508/Fusionné avec le nº 508,,,,,,,,23
"Acadie--Bathurst/Acadie--Bathurst"," 44","Bathurst",1,70,0,45,2,17,1,136,334
"Acadie--Bathurst/Acadie--Bathurst"," 45","Bathurst",0,57,0,38,3,9,0,107,262
