Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Saul Andersen,Robin Baird,Bruce Burnett,Ariel Lade,Fred Mallach,David Mulroney,Denise Savoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Victoria/Victoria"," 219","Oak Bay",0,46,0,12,1,62,63,0,184,290
"Victoria/Victoria"," 220","Saanich",Void/Supprimé,,,,,,,,,
"Victoria/Victoria"," 400","Victoria",4,27,0,0,0,22,33,0,86,156
"Victoria/Victoria"," 500","Mobile poll/Bureau itinérant",2,13,2,2,2,11,14,0,46,94
"Victoria/Victoria"," 501","Mobile poll/Bureau itinérant",5,16,2,1,0,22,14,5,65,130
"Victoria/Victoria"," 502","Mobile poll/Bureau itinérant",3,46,6,2,1,24,26,0,108,247
"Victoria/Victoria"," 503","Mobile poll/Bureau itinérant",0,31,0,1,0,30,8,1,71,147
"Victoria/Victoria"," 504","Mobile poll/Bureau itinérant",4,29,1,1,1,29,38,2,105,294
"Victoria/Victoria"," 505","Mobile poll/Bureau itinérant",3,29,2,9,5,22,31,2,103,183
"Victoria/Victoria"," 506","Mobile poll/Bureau itinérant",4,81,3,2,3,71,35,2,201,177
"Victoria/Victoria"," 507","Mobile poll/Bureau itinérant",0,14,0,1,0,11,7,0,33,74
"Victoria/Victoria"," 600","Victoria",0,175,0,17,0,107,118,0,417,
"Victoria/Victoria"," 601","Victoria",1,67,0,9,1,49,83,0,210,
"Victoria/Victoria"," 602","Victoria",1,55,0,19,2,58,113,0,248,
"Victoria/Victoria"," 603","Saanich",2,168,0,35,2,122,180,0,509,
"Victoria/Victoria"," 604","Saanich",2,208,1,21,3,101,145,1,482,
"Victoria/Victoria"," 605","Oak Bay",0,230,0,19,0,105,74,1,429,
"Victoria/Victoria"," 606","Victoria",1,388,0,22,2,190,145,0,748,
"Victoria/Victoria"," 607","Victoria",3,128,2,54,3,124,183,2,499,
"Victoria/Victoria"," 608","Victoria",3,122,4,26,2,102,151,1,411,
"Victoria/Victoria"," 609","Victoria",1,326,4,47,1,253,292,2,926,
"Victoria/Victoria"," 610","Oak Bay",2,238,2,48,2,207,324,3,826,
"Victoria/Victoria"," 611","Victoria",1,282,0,42,3,134,206,0,668,
"Victoria/Victoria"," 612","Victoria",3,417,2,30,1,207,168,3,831,
"Victoria/Victoria",,Group 1/Groupe 1,3,115,2,25,4,82,68,9,308,632
"Victoria/Victoria",,Group 2/Groupe 2,4,608,2,103,4,433,560,21,1735,
