Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanne Courville,Mario Laframboise,François-Hugues Liberge,Claude Sabourin,Alain Senécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 601","Saint-André-Avellin",97,241,62,13,13,1,427,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 602","Montebello",48,128,45,10,5,3,239,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 603","Grenville",119,96,112,15,19,0,361,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 604","Brownsburg",179,172,160,22,33,5,571,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 605","Morin-Heights",163,248,182,28,43,3,667,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 606","Lachute--Mirabel",245,309,249,33,22,10,868,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 607","Saint-André-d'Argenteuil",46,83,52,9,6,1,197,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 608","Saint-Placide",48,129,37,5,10,0,229,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 609","Saint-Joseph-du-Lac",111,234,46,15,32,9,447,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 610","Mirabel (secteur Saint-Augustin)",156,344,51,23,53,2,629,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 611","Mirabel (secteur Saint-Canut)",70,125,13,6,15,2,231,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel"," 612","Mirabel (secteur Saint-Janvier)",121,271,80,12,20,8,512,
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel",,Group 1/Groupe 1,26,26,28,5,1,7,93,171
"Argenteuil--Papineau--Mirabel/Argenteuil--Papineau--Mirabel",,Group 2/Groupe 2,200,398,269,25,41,21,954,
