Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Caron,Otto Casanova,Peter Creighton,Raminder Gill,Wajid Khan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga--Streetsville/Mississauga--Streetsville"," 164","Mississauga",26,13,4,122,150,0,315,549
"Mississauga--Streetsville/Mississauga--Streetsville"," 165","Mississauga",24,23,2,107,155,1,312,524
"Mississauga--Streetsville/Mississauga--Streetsville"," 166","Mississauga",53,7,3,75,123,5,266,474
"Mississauga--Streetsville/Mississauga--Streetsville"," 167","Mississauga",12,11,1,65,103,0,192,332
"Mississauga--Streetsville/Mississauga--Streetsville"," 168","Mississauga",18,2,2,36,49,0,107,206
"Mississauga--Streetsville/Mississauga--Streetsville"," 169","Mississauga",51,12,6,96,89,0,254,419
"Mississauga--Streetsville/Mississauga--Streetsville"," 170","Mississauga",49,23,3,41,66,0,182,304
"Mississauga--Streetsville/Mississauga--Streetsville"," 171","Mississauga",19,17,4,72,90,1,203,312
"Mississauga--Streetsville/Mississauga--Streetsville"," 172A","Mississauga",9,10,0,67,76,1,163,287
"Mississauga--Streetsville/Mississauga--Streetsville"," 172B","Mississauga",26,9,1,57,115,0,208,349
"Mississauga--Streetsville/Mississauga--Streetsville"," 173A","Mississauga",32,7,5,92,81,1,218,393
"Mississauga--Streetsville/Mississauga--Streetsville"," 173B","Mississauga",35,12,4,65,130,2,248,455
"Mississauga--Streetsville/Mississauga--Streetsville"," 174A","Mississauga",0,4,0,62,62,0,128,268
"Mississauga--Streetsville/Mississauga--Streetsville"," 174B","Mississauga",4,4,0,72,60,1,141,250
"Mississauga--Streetsville/Mississauga--Streetsville"," 175","Mississauga",7,4,4,103,137,2,257,541
"Mississauga--Streetsville/Mississauga--Streetsville"," 176","Mississauga",12,9,2,115,122,0,260,532
"Mississauga--Streetsville/Mississauga--Streetsville"," 177","Mississauga",7,0,0,80,60,0,147,346
"Mississauga--Streetsville/Mississauga--Streetsville"," 178","Mississauga",10,4,0,42,87,1,144,324
"Mississauga--Streetsville/Mississauga--Streetsville"," 400","Mississauga",19,9,3,43,62,0,136,240
"Mississauga--Streetsville/Mississauga--Streetsville"," 401","Mississauga",17,9,1,50,61,0,138,226
"Mississauga--Streetsville/Mississauga--Streetsville"," 402","Mississauga",16,2,0,19,30,0,67,169
"Mississauga--Streetsville/Mississauga--Streetsville"," 403","Mississauga",38,16,4,54,70,0,182,397
"Mississauga--Streetsville/Mississauga--Streetsville"," 404","Mississauga",13,4,3,28,45,0,93,208
"Mississauga--Streetsville/Mississauga--Streetsville"," 405","Mississauga",24,12,10,53,65,0,164,383
"Mississauga--Streetsville/Mississauga--Streetsville"," 406","Mississauga",3,0,0,10,19,0,32,140
"Mississauga--Streetsville/Mississauga--Streetsville"," 407","Mississauga",20,12,2,27,32,0,93,196
"Mississauga--Streetsville/Mississauga--Streetsville"," 408","Mississauga",30,10,3,35,67,1,146,346
"Mississauga--Streetsville/Mississauga--Streetsville"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
"Mississauga--Streetsville/Mississauga--Streetsville"," 600","Mississauga",93,28,7,319,384,4,835,
"Mississauga--Streetsville/Mississauga--Streetsville"," 601","Mississauga",75,36,20,314,405,1,851,
"Mississauga--Streetsville/Mississauga--Streetsville"," 602","Mississauga",54,41,12,201,209,0,517,
"Mississauga--Streetsville/Mississauga--Streetsville"," 603","Mississauga",83,37,19,267,253,4,663,
"Mississauga--Streetsville/Mississauga--Streetsville"," 604","Mississauga",55,26,15,203,146,0,445,
"Mississauga--Streetsville/Mississauga--Streetsville"," 605","Mississauga",39,15,7,251,429,1,742,
"Mississauga--Streetsville/Mississauga--Streetsville"," 606","Mississauga",49,9,5,228,275,4,570,
"Mississauga--Streetsville/Mississauga--Streetsville"," 607","Mississauga",65,20,4,273,377,4,743,
"Mississauga--Streetsville/Mississauga--Streetsville",,Group 1/Groupe 1,6,1,1,20,29,5,62,139
"Mississauga--Streetsville/Mississauga--Streetsville",,Group 2/Groupe 2,95,33,8,323,495,12,966,
