Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Johan Boyden,Philip Fernandez,Bill Graham,Michel Prairie,Lewis Reford,Michael Shapcott,Chris Tindal,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Toronto Centre/Toronto-Centre"," 436","Toronto",0,1,117,0,27,73,13,0,0,231,379
"Toronto Centre/Toronto-Centre"," 437","Toronto",0,0,185,0,22,114,17,0,0,338,486
"Toronto Centre/Toronto-Centre"," 438","Toronto",0,0,246,1,36,120,25,1,0,429,517
"Toronto Centre/Toronto-Centre"," 439","Toronto",0,0,164,0,12,56,8,0,0,240,323
"Toronto Centre/Toronto-Centre"," 440","Toronto",2,1,176,2,27,135,10,1,1,355,384
"Toronto Centre/Toronto-Centre"," 441","Toronto",0,0,158,0,41,37,15,0,1,252,434
"Toronto Centre/Toronto-Centre"," 442","Toronto",0,0,154,0,51,55,18,0,0,278,440
"Toronto Centre/Toronto-Centre"," 443","Toronto",1,0,98,0,46,44,18,0,3,210,346
"Toronto Centre/Toronto-Centre"," 444","Toronto",0,0,98,0,37,23,6,0,2,166,303
"Toronto Centre/Toronto-Centre"," 445","Toronto",0,0,101,0,16,65,14,0,1,197,305
"Toronto Centre/Toronto-Centre"," 446","Toronto",1,0,174,0,54,80,20,0,1,330,440
"Toronto Centre/Toronto-Centre"," 447","Toronto",0,1,140,0,21,53,7,0,0,222,280
"Toronto Centre/Toronto-Centre"," 448","Toronto",0,0,112,2,33,67,5,0,2,221,303
"Toronto Centre/Toronto-Centre"," 449","Toronto",0,0,72,0,28,23,4,0,1,128,192
"Toronto Centre/Toronto-Centre"," 450","Toronto",0,0,72,0,30,22,5,0,0,129,187
"Toronto Centre/Toronto-Centre"," 451","Toronto",0,0,110,0,18,59,10,0,0,197,274
"Toronto Centre/Toronto-Centre"," 452","Toronto",0,0,99,0,18,40,12,0,0,169,251
"Toronto Centre/Toronto-Centre"," 453","Toronto",0,0,109,0,23,43,8,0,1,184,288
"Toronto Centre/Toronto-Centre"," 454","Toronto",2,0,95,0,14,69,9,0,1,190,296
"Toronto Centre/Toronto-Centre"," 455","Toronto",Merged with No. 47/Fusionné avec le nº 47,,,,,,,,,,149
"Toronto Centre/Toronto-Centre"," 456","Toronto",0,0,90,0,20,31,13,0,0,154,286
"Toronto Centre/Toronto-Centre"," 457","Toronto",3,1,129,2,36,38,2,1,5,217,320
"Toronto Centre/Toronto-Centre"," 458","Toronto",0,1,84,1,34,94,13,2,2,231,396
"Toronto Centre/Toronto-Centre"," 459","Toronto",2,1,183,1,55,150,47,0,3,442,310
"Toronto Centre/Toronto-Centre"," 460","Toronto",2,1,86,0,20,109,26,0,1,245,355
"Toronto Centre/Toronto-Centre"," 461","Toronto",3,0,84,1,10,42,3,1,1,145,300
"Toronto Centre/Toronto-Centre"," 462","Toronto",1,0,127,2,25,60,4,0,0,219,349
"Toronto Centre/Toronto-Centre"," 463","Toronto",1,1,140,2,12,44,1,0,0,201,337
"Toronto Centre/Toronto-Centre"," 464","Toronto",0,1,135,2,17,40,1,0,1,197,360
"Toronto Centre/Toronto-Centre"," 465","Toronto",0,0,139,1,33,51,31,0,0,255,291
"Toronto Centre/Toronto-Centre"," 466","Toronto",Merged with No. 465/Fusionné avec le nº 465,,,,,,,,,,108
"Toronto Centre/Toronto-Centre"," 467","Toronto",0,0,83,0,32,43,10,2,0,170,297
"Toronto Centre/Toronto-Centre"," 468","Toronto",1,1,155,0,43,0,23,1,1,225,482
"Toronto Centre/Toronto-Centre"," 469","Toronto",0,0,84,0,37,30,11,0,0,162,276
"Toronto Centre/Toronto-Centre"," 470","Toronto",0,0,155,0,70,63,21,0,2,311,416
"Toronto Centre/Toronto-Centre"," 471","Toronto",0,0,168,0,62,47,16,1,1,295,440
"Toronto Centre/Toronto-Centre"," 500","Mobile poll/Bureau itinérant",0,0,31,0,8,11,0,0,0,50,117
"Toronto Centre/Toronto-Centre"," 600","Toronto",3,0,339,2,349,54,30,2,2,781,
"Toronto Centre/Toronto-Centre"," 601","Toronto",0,0,333,0,221,79,15,0,1,649,
"Toronto Centre/Toronto-Centre"," 602","Toronto",0,0,226,0,110,71,20,1,0,428,
"Toronto Centre/Toronto-Centre"," 603","Toronto",0,0,431,0,86,209,37,1,3,767,
"Toronto Centre/Toronto-Centre"," 604","Toronto",0,1,278,2,107,127,25,0,3,543,
"Toronto Centre/Toronto-Centre"," 605","Toronto",0,0,220,0,68,124,23,3,2,440,
"Toronto Centre/Toronto-Centre"," 606","Toronto",4,0,365,0,149,184,40,1,3,746,
"Toronto Centre/Toronto-Centre"," 607","Toronto",0,1,137,0,40,71,10,0,0,259,
"Toronto Centre/Toronto-Centre"," 608","Toronto",0,0,282,1,83,202,35,0,4,607,
"Toronto Centre/Toronto-Centre",,Group 1/Groupe 1,0,1,130,0,36,51,7,1,8,234,351
"Toronto Centre/Toronto-Centre",,Group 2/Groupe 2,3,0,607,1,394,213,43,4,16,1281,
