Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Elgersma,Diane Finley,Valya Roberts,Bob Speller,Carolyn Van Nort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haldimand--Norfolk/Haldimand--Norfolk"," 195","Dunnville",7,71,37,59,8,5,187,359
"Haldimand--Norfolk/Haldimand--Norfolk"," 196","Dunnville",0,53,15,33,3,0,104,196
"Haldimand--Norfolk/Haldimand--Norfolk"," 197","Dunnville",4,109,36,48,6,1,204,404
"Haldimand--Norfolk/Haldimand--Norfolk"," 198","Dunnville",5,82,31,45,8,0,171,372
"Haldimand--Norfolk/Haldimand--Norfolk"," 199","Dunnville",3,66,30,54,4,0,157,401
"Haldimand--Norfolk/Haldimand--Norfolk"," 400","Simcoe",3,29,5,30,0,1,68,160
"Haldimand--Norfolk/Haldimand--Norfolk"," 401","Dunnville",2,17,5,19,1,0,44,158
"Haldimand--Norfolk/Haldimand--Norfolk"," 500","Mobile poll/Bureau itinérant",0,14,7,35,1,3,60,128
"Haldimand--Norfolk/Haldimand--Norfolk"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
"Haldimand--Norfolk/Haldimand--Norfolk"," 502","Mobile poll/Bureau itinérant",0,48,8,49,2,0,107,192
"Haldimand--Norfolk/Haldimand--Norfolk"," 503","Mobile poll/Bureau itinérant",1,10,2,15,0,1,29,94
"Haldimand--Norfolk/Haldimand--Norfolk"," 504","Mobile poll/Bureau itinérant",4,26,5,35,0,0,70,158
"Haldimand--Norfolk/Haldimand--Norfolk"," 600","Delhi",4,393,56,325,25,7,810,
"Haldimand--Norfolk/Haldimand--Norfolk"," 601","Langton",1,399,34,110,7,1,552,
"Haldimand--Norfolk/Haldimand--Norfolk"," 602","St. Williams",1,256,26,144,12,1,440,
"Haldimand--Norfolk/Haldimand--Norfolk"," 603","Port Dover",6,387,50,253,13,2,711,
"Haldimand--Norfolk/Haldimand--Norfolk"," 604","Simcoe",6,345,44,241,9,4,649,
"Haldimand--Norfolk/Haldimand--Norfolk"," 605","Simcoe",3,282,49,279,13,2,628,
"Haldimand--Norfolk/Haldimand--Norfolk"," 606","Waterford",4,265,32,182,17,1,501,
"Haldimand--Norfolk/Haldimand--Norfolk"," 607","Hagersville",5,317,40,186,21,0,569,
"Haldimand--Norfolk/Haldimand--Norfolk"," 608","Caledonia",3,399,73,297,15,0,787,
"Haldimand--Norfolk/Haldimand--Norfolk"," 609","Cayuga",4,393,60,205,22,0,684,
"Haldimand--Norfolk/Haldimand--Norfolk"," 610","Dunnville",13,271,32,107,11,0,434,
"Haldimand--Norfolk/Haldimand--Norfolk"," 611","Dunnville",3,226,44,129,11,0,413,
"Haldimand--Norfolk/Haldimand--Norfolk",,Group 1/Groupe 1,0,42,11,34,4,3,94,197
"Haldimand--Norfolk/Haldimand--Norfolk",,Group 2/Groupe 2,16,965,116,869,47,15,2028,
