Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Holland,Russell Korus,Kevin Modeste,Kevin Norng,Rondo Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ajax--Pickering/Ajax--Pickering"," 26","Pickering",200,9,43,2,70,2,326,537
"Ajax--Pickering/Ajax--Pickering"," 27","Pickering",136,12,50,3,84,2,287,516
"Ajax--Pickering/Ajax--Pickering"," 28","Pickering",174,10,40,0,68,2,294,470
"Ajax--Pickering/Ajax--Pickering"," 29","Pickering",162,11,24,7,57,0,261,457
"Ajax--Pickering/Ajax--Pickering"," 30","Pickering",149,7,26,5,74,0,261,412
"Ajax--Pickering/Ajax--Pickering"," 31","Pickering",171,8,26,1,58,4,268,468
"Ajax--Pickering/Ajax--Pickering"," 32A","Pickering",184,4,34,2,73,2,299,529
"Ajax--Pickering/Ajax--Pickering"," 32B","Pickering",Merged with No. 30/Fusionné avec le nº 30,,,,,,,55
"Ajax--Pickering/Ajax--Pickering"," 33","Pickering",97,8,37,5,96,0,243,508
"Ajax--Pickering/Ajax--Pickering"," 34","Pickering",105,7,21,2,48,2,185,344
"Ajax--Pickering/Ajax--Pickering"," 35","Pickering",98,7,31,3,33,0,172,324
"Ajax--Pickering/Ajax--Pickering"," 36A","Pickering",93,14,35,0,54,0,196,406
